name,id,is_area,difficulty,difficulty_modifier,steepest_pitch,vert,length
Roller Coaster,386416243,False,27.2,0,27.2,213.5,575.7
Right wing,386416253,False,26.0,0,26.0,210.2,575.4
Big Bear,386416289,False,24.9,0,24.9,194.0,600.7
Treasure Hill,772029778,False,13.3,0,13.3,100.6,541.9
Easy Slide,772029779,False,11.2,0,11.2,30.3,555.6
Han's Highway,772029780,False,8.4,0,8.4,73.9,1088.5
Gold Chute,772029781,False,11.0,0,11.0,69.8,752.5
Trolley Car,772029782,False,12.3,0,12.3,22.9,143.0
Fool's Gold,772029783,False,10.8,0,10.8,49.8,331.2
Gold Pan,772029784,False,14.2,0,14.2,115.8,624.6
Silver Dollar,772029785,False,15.5,0,15.5,202.2,1126.5
Mahre's Gold,772029786,False,24.6,0,24.6,105.2,339.8
Benandrus Way,772029787,False,24.3,0,24.3,190.3,651.0
Single Jack,772029788,False,19.5,0,19.5,85.8,317.9
Claim Jumper,772029789,False,25.7,0,25.7,192.8,790.9
Tamarack,772029790,False,25.5,0,25.5,195.6,936.5
Hobbit Forrest,772029791,False,12.8,0,12.8,69.4,400.2
 _1,772029792,False,3.7,0,3.7,3.7,56.8
Mahre's Gold_2,772029793,False,26.1,0,26.1,253.9,742.1
Klondike,772029794,False,28.0,0,28.0,321.1,804.3
Silver Ridge,772029795,False,18.2,0,18.2,277.8,1372.4
Tombstone,772029796,False,28.1,0,28.1,251.8,795.0
 _3,772029797,False,30.4,0,30.4,118.8,301.5
Beaver Slide,772029798,False,22.4,0,22.4,82.5,683.7
Silver King,772029799,False,25.2,0,25.2,271.2,973.2
Portal,772029800,False,20.4,0,20.4,278.9,2250.6
Silver Queen,772029801,False,26.3,0,26.3,243.8,726.3
 _4,772029802,False,3.8,0,3.8,2.9,92.8
Silver Jack,772029803,False,27.2,0,27.2,132.6,343.3
Silver Jack_5,772029804,False,20.4,0,20.4,92.9,387.4
Knight,772029805,False,20.3,0,20.3,78.3,292.0
Bishop,772029806,False,20.7,0,20.7,81.0,253.7
Rook,772029807,False,23.6,0,23.6,43.6,127.3
Ursula's Alley,772029808,False,22.3,0,22.3,55.5,155.3
Silver Drife,772029809,False,25.6,0,25.6,62.9,196.5
Powder Keg,772029810,False,27.8,0,27.8,238.6,566.4
Upper Peacemaker,772029811,False,28.0,0,28.0,278.5,667.1
Lower Peacemaker,772029812,False,28.2,0,28.2,95.2,247.9
Hole in the Wall,772029813,False,24.4,0,24.4,145.8,374.9
Blackhawk,772029814,False,25.7,0,25.7,88.5,232.5
Huckleberry Ridge,772029815,False,13.7,0,13.7,149.3,1105.4
Chilkoot Pass,772029816,False,8.4,0,8.4,60.6,1278.9
Little Bear,772029817,False,20.6,0,20.6,74.2,248.4
Moose Track Corner,772029818,False,12.9,0,12.9,78.2,1182.0
Alpine Road,772029819,False,14.0,0,14.0,114.2,1347.8
Bugaboo,772029820,False,24.7,0,24.7,260.8,868.5
Left Wing,772029821,False,26.2,0,26.2,219.8,646.4
Broadway,772029822,False,28.5,0,28.5,221.5,649.8
Classifier,772029823,False,31.0,0,31.0,183.9,625.4
Blastface,772029824,False,26.7,0,26.7,219.6,581.7
Scimitar,772029825,False,33.3,0,33.3,310.2,803.2
Sunrise,772029826,False,31.2,0,31.2,356.5,947.9
Dreamline,772029827,False,29.6,0,29.6,263.3,693.2
Valhalla,772029828,False,27.6,0,27.6,298.7,862.0
Sabre,772029829,False,26.9,0,26.9,156.6,466.9
Single Malt,772029830,False,26.2,0,26.2,115.6,287.7
Tatanka,772029831,False,31.4,0,31.4,217.7,584.6
Boothill,772029832,True,28.2,0,28.2,178.4,410.7
Last Chance,772029833,False,31.7,0,31.7,255.8,632.2
Sluice Box,772029834,False,32.5,0,32.5,261.3,604.5
Tailings,772029835,False,25.9,0,25.9,228.6,891.4
4800 Road,772029836,False,18.3,0,18.3,137.9,1497.6
Flying Dutchman,772029837,False,19.5,0,19.5,216.9,1415.6
Outer Dutchman,772029838,False,21.7,0,21.7,264.1,1675.1
Quartzite Ridge,772029839,False,14.5,0,14.5,71.3,653.0
Wolf,772029840,False,17.1,0,17.1,21.9,75.4
Angel Heart,772029841,False,34.3,0,34.3,346.6,1725.2
Wolf Den,772029842,False,35.2,0,35.2,157.0,317.7
Bakken,772029843,False,31.1,0,31.1,199.0,456.2
Upper Concentrator,772029844,False,27.9,0,27.9,86.1,247.8
Concentrator,772029845,False,27.8,0,27.8,192.0,450.4
Stockholder's,772029846,False,28.9,0,28.9,232.0,550.1
Upper Cy's Glades,772029847,True,27.0,1,27.0,190.2,573.8
Lower Cy's Glades,772029848,True,29.7,1,29.7,128.2,322.7
Northeast Ridge,772029849,False,21.2,0,21.2,117.9,523.1
Separate Reality,772029850,False,20.1,0,20.1,94.9,383.9
Stope,772029851,False,24.6,0,24.6,202.3,646.1
Green Beret,772029852,False,24.6,0,24.6,141.3,446.9
Pipeline,772029853,False,24.2,0,24.2,261.7,918.5
Cherub,772029854,False,22.9,0,22.9,50.2,242.4
Gritz,772029855,False,24.6,0,24.6,133.8,356.5
Lower Dutchman,772029856,False,18.2,0,18.2,135.3,924.6
Crusher,772029857,False,23.7,0,23.7,137.8,406.2
Gold Rush,772029858,False,18.3,0,18.3,99.5,444.7
