name,id,is_area,difficulty,difficulty_modifier,steepest_pitch,vert,length
Exhibition,776370483,False,17.4,0,17.4,128.9,599.5
Ridge Run,776370484,False,16.6,0,16.6,42.8,197.7
High Road,776370485,False,13.0,0,13.0,80.7,564.2
Dream Catcher,776370486,False,15.3,0,15.3,80.7,535.2
Valley,776370487,False,17.2,0,17.2,38.4,274.3
Headin' Home,776370488,False,15.0,0,15.0,402.5,3188.7
Upper Domingo,776370489,False,32.7,0,32.7,260.8,694.0
Lower Domingo,776370490,False,21.1,0,21.1,368.6,2634.9
Glory Hole,776370491,False,29.7,0,29.7,187.5,642.2
Sluice Box,776370492,False,22.3,0,22.3,197.8,646.1
Moe's Road,776370493,False,20.8,0,20.8,61.6,523.0
Free Flight,776370494,False,22.6,0,22.6,186.0,669.6
Lower Free Flight,776370495,False,15.3,0,15.3,187.9,1409.8
I-25,776370496,False,21.6,0,21.6,156.5,744.0
Pinky,776370497,False,7.3,0,7.3,15.2,201.3
Ring,776370498,False,11.8,0,11.8,29.8,192.8
Middle,776370499,False,10.4,0,10.4,38.5,240.6
Index,776370500,False,11.6,0,11.6,28.9,198.5
Thumb,776370501,False,10.7,0,10.7,48.7,342.9
Lower I-25,776370502,False,17.8,0,17.8,75.5,340.8
Prospector,776370503,False,19.1,0,19.1,214.0,1156.9
Lower Prospector,776370504,False,18.4,0,18.4,71.2,271.9
Jasper,776370505,False,15.8,0,15.8,352.7,1755.8
Lower Jasper,776370506,False,9.0,0,9.0,36.4,384.2
Mick's,776370507,False,11.9,0,11.9,17.1,115.9
Bodalicious,776370508,False,28.2,0,28.2,501.5,3047.8
Malpais,776370509,False,10.2,0,10.2,45.0,502.8
Gusto Grande,776370510,False,20.8,0,20.8,200.1,1178.6
Aspen Lane,776370511,False,14.1,0,14.1,64.0,476.6
Crossover,776370512,False,11.6,0,11.6,40.0,601.1
Leon's Lane,776370513,False,8.7,0,8.7,56.1,604.1
Lower Leon's Lane,776370514,False,9.6,0,9.6,24.6,460.8
Old Bo',776370515,False,8.0,0,8.0,35.9,511.9
Bominable,776370516,False,11.4,0,11.4,34.2,386.8
Lucky #7,776370517,False,20.8,0,20.8,100.3,380.9
Fly Home,776370518,False,6.0,0,6.0,11.6,230.2
Fly-Way,776370519,False,13.0,0,13.0,27.1,160.6
Silver Chute,776370520,False,33.0,0,33.0,239.1,647.9
Maxwell's Grant,776370521,False,32.9,0,32.9,179.4,356.4
Liberation Park,776370522,False,16.3,0,16.3,51.6,336.1
Highway,776370523,False,16.8,0,16.8,157.1,1222.5
La Bajada,776370524,False,18.2,0,18.2,172.7,1120.0
El Sol,776370525,False,31.8,0,31.8,54.2,189.2
El Sol_1,776370526,False,22.1,0,22.1,289.5,1261.2
Hully Gully,776370527,False,21.6,0,21.6,274.1,1236.6
Alley,776370528,False,31.7,0,31.7,40.0,332.5
Fat City,776370529,False,20.2,0,20.2,111.8,395.5
Lower Fat City,776370530,False,22.3,0,22.3,58.0,196.1
Fire Escape,776370531,False,18.7,0,18.7,136.1,503.6
Hallelujah,776370532,False,18.3,0,18.3,209.3,1185.1
Heck No,776370533,False,15.3,0,15.3,62.0,390.9
Eagle Glade,776370534,False,18.6,1,18.6,80.8,414.2
Arriba,776370535,False,19.0,0,19.0,106.2,586.9
Arriba Pitch,776370536,False,26.2,0,26.2,88.9,409.9
Go Round,776370537,False,13.8,0,13.8,89.7,460.7
Motherlode,776370538,False,21.2,0,21.2,168.3,905.1
Hell's Bells,776370539,False,28.8,0,28.8,259.3,1105.7
Angel's Plunge,776370540,False,32.8,0,32.8,268.8,1206.7
Nice Day,776370541,False,28.2,0,28.2,204.1,511.3
Lower Nice Day,776370542,False,25.5,0,25.5,139.4,421.4
Ripcord,776370543,False,17.0,0,17.0,46.7,331.6
Minder Grinder,776370544,False,33.3,0,33.3,120.3,268.4
Lower Minder Grinder,776370545,False,20.3,0,20.3,44.4,182.7
Charisma,776370546,False,35.7,0,35.7,121.9,254.9
Hari Kari,776370547,False,33.3,0,33.3,122.9,231.4
Lower Hari Kari,776370548,False,19.2,0,19.2,55.8,192.5
Short Fuse,776370549,False,12.8,0,12.8,70.1,881.4
Baa-da-Boom,776370550,False,22.2,0,22.2,103.4,363.8
Nitro,776370551,False,33.5,0,33.5,315.3,1045.4
C-4,776370552,False,33.5,0,33.5,312.4,1133.2
Detonator,776370553,False,34.5,0,34.5,237.0,910.5
Baa-Da-Bing,776370554,False,30.2,0,30.2,193.2,908.2
 _2,776370555,False,6.2,0,6.2,8.0,192.3
 _3,800290497,False,4.5,0,4.5,14.0,781.0
 _4,800290504,False,20.3,0,20.3,93.2,360.2
 _5,800290547,False,10.6,0,10.6,12.2,502.3
 _6,800290552,False,10.5,0,10.5,27.4,234.9
Headin' Home_7,962998912,False,7.2,0,7.2,93.0,930.3
Ridge Run_8,974428194,False,7.4,0,7.4,5.1,25.8
