name,id,is_area,difficulty,difficulty_modifier,steepest_pitch,vert,length
Upper Big Appal,317572051,False,18.2,0,18.2,46.6,189.9
Lower Big Appal,317572052,False,15.1,0,15.1,30.8,191.5
Strudel,317572053,False,12.7,0,12.7,34.6,200.3
Appaltizer,317572054,False,7.1,0,7.1,9.4,99.1
Appaljack,317572055,False,15.2,0,15.2,33.8,155.4
AppalTop,317572057,False,11.4,0,11.4,14.2,98.5
Hard Core,317572829,False,20.6,0,20.6,44.1,146.8
Thin Slice,317572830,False,18.7,0,18.7,17.8,69.4
Candied Appal,317572831,False,8.1,0,8.1,13.2,115.3
Appal Jam,317572832,False,16.7,0,16.7,33.4,126.0
Orchard Run,317572833,False,14.5,0,14.5,76.8,502.6
