name,id,is_area,difficulty,difficulty_modifier,steepest_pitch,vert,length
Powder Bowl,377705664,False,32.8,0,32.8,170.4,709.5
 _0,579412454,False,30.6,0,30.6,136.3,2291.0
 _1,579412472,False,16.8,0,16.8,30.0,369.4
Wine Ridge,580619671,False,21.2,0,21.2,162.6,524.6
Heather-Bedlam,580619672,False,24.3,0,24.3,157.5,536.4
Scarlett's Run,580619673,False,23.8,0,23.8,254.8,909.3
Gunbarrel,580619674,False,24.2,0,24.2,261.8,920.5
Deane's,580619675,False,24.2,0,24.2,97.9,272.6
Midway,580619676,False,23.7,0,23.7,61.2,485.6
Pyramid Park,580619677,False,19.2,0,19.2,100.0,429.0
Upper Robinson's,580619678,False,20.4,0,20.4,105.0,547.2
Moment of Truth,580619679,False,37.7,0,37.7,171.0,427.2
Robinson's Run,580619680,False,37.3,0,37.3,365.2,1772.6
Bob's Glade,580619683,False,34.9,1,34.9,140.6,316.0
Upper Stein,580619684,False,34.2,0,34.2,153.7,390.7
Prospector,745001953,False,13.3,0,13.3,34.3,170.7
Broadway,745004607,False,26.1,0,26.1,183.2,667.7
Golden Horn,745013805,False,27.9,0,27.9,180.9,606.4
Smuggler,745014708,False,30.6,0,30.6,73.0,214.7
Face of Olly,772755554,False,27.6,0,27.6,113.4,444.8
Upper Robinson's_2,772755555,False,21.3,0,21.3,111.1,443.5
Grand Prix,772755556,False,26.2,0,26.2,190.8,614.1
Willy's,772755557,False,22.0,0,22.0,64.3,210.5
 _3,772755558,False,20.4,0,20.4,36.8,374.5
Meadows,772755559,False,19.9,0,19.9,242.0,1149.4
Kandahar,772755560,False,22.7,0,22.7,182.5,725.0
Hayden,772755561,False,27.0,0,27.0,169.3,595.9
Alps,772755562,False,23.2,0,23.2,75.4,241.5
The Wall,772755563,False,37.9,0,37.9,105.2,220.7
Prospector_4,772755564,False,8.3,0,8.3,12.0,269.2
Prospector Gulch,772755565,False,16.9,0,16.9,201.8,1128.6
T-Lazy Catwalk,772755566,False,12.3,0,12.3,96.3,1300.3
Riverside Drive,772755567,False,20.3,0,20.3,292.0,1641.7
Golden Barrel,772755568,False,19.4,0,19.4,69.4,229.1
Nugget,772755569,False,20.7,0,20.7,48.3,454.5
Exibition,772755570,False,18.2,0,18.2,261.2,1287.7
Red Onion,772755571,False,18.6,0,18.6,295.8,1531.9
Park Avenue,772755572,False,23.3,0,23.3,219.9,1654.2
Thunder Bowl,772755573,False,24.6,0,24.6,176.6,514.1
Upper Jerome,772755574,False,20.3,0,20.3,47.9,174.9
Jerome,772755575,False,22.5,0,22.5,129.8,471.1
Limelight,772755576,False,36.4,0,36.4,89.8,221.3
Jerome Bowl,772755577,False,26.2,0,26.2,88.8,310.6
Lower Stein,772755578,False,36.8,0,36.8,176.1,700.5
Apple Strudel,772755579,False,19.3,0,19.3,230.4,1160.3
Memory Lane,772755580,False,22.0,0,22.0,97.3,358.2
 _5,772755581,False,5.5,0,5.5,3.1,54.3
Troyer's Trail,772755582,False,27.7,0,27.7,62.9,197.1
 _6,772755583,False,7.5,0,7.5,5.5,74.2
Moment Chutes,772755584,False,33.9,0,33.9,148.1,297.3
P-Chutes Road,772755585,False,16.0,0,16.0,50.4,637.4
Separator,772755586,False,32.4,0,32.4,147.1,382.6
Audacious,772755587,False,35.9,0,35.9,130.5,210.1
P-Chutes,772755588,True,39.2,0,39.2,81.6,147.0
Lower Golden Horn,772755589,False,36.1,0,36.1,115.6,233.0
Epicure,772755590,False,37.5,0,37.5,69.0,177.1
Suzi Q,772755591,False,27.1,0,27.1,88.1,223.0
Sherwood Forest,772755592,False,18.5,0,18.5,76.8,320.6
Loge Peak Chutes,772755593,True,40.8,0,40.8,518.1,1034.6
Boomerang,772755594,False,29.1,0,29.1,107.4,299.7
I-70,772755595,False,26.3,0,26.3,60.8,180.5
Le Chamonix,772755596,False,18.7,0,18.7,44.2,142.8
Olympic Bowl,772755597,True,36.1,0,36.1,252.0,892.7
Highland Bowl,772755598,True,40.5,0,40.5,743.9,1698.4
Temerity,772755599,False,37.5,0,37.5,509.2,1100.8
G-3,1015108574,False,40.4,0,40.4,256.1,586.2
G-4,1015108575,False,41.1,0,41.1,342.0,672.1
Be-One,1015108576,False,40.3,0,40.3,299.9,447.5
White Kitchen,1015108577,False,43.4,0,43.4,265.5,365.9
Steep 'N Deep,1015108578,False,46.3,0,46.3,231.1,312.9
B-Fore,1015108579,False,39.1,0,39.1,258.0,406.3
Grahamster's,1015108580,False,39.1,0,39.1,275.4,469.1
Boxcar,1015108581,False,42.0,0,42.0,243.0,401.8
Mosh Pit,1015108582,False,45.7,0,45.7,244.5,404.6
Ballroom,1015108583,False,43.4,0,43.4,231.4,384.2
Flip's Leap,1015108584,False,45.3,0,45.3,242.2,403.2
Whip's Veneration,1015108585,False,43.9,0,43.9,260.2,450.8
South Fork,1015108586,False,30.5,0,30.5,439.3,1445.5
Ozone,1015108587,False,44.7,0,44.7,353.9,534.2
Full Curl,1015108588,False,42.2,0,42.2,327.8,483.8
Hines-Sight,1015108589,False,40.1,0,40.1,319.2,555.3
G-6,1015108590,False,44.9,0,44.9,332.6,522.3
G-8,1015108591,False,46.1,0,46.1,360.9,572.1
G-2,1015108592,False,41.1,0,41.1,231.5,498.7
