name,id,is_area,difficulty,difficulty_modifier,steepest_pitch,vert,length
Upper Saco,255900133,False,15.8,0,15.8,99.3,725.8
Wilfred's Gawm,255900272,False,25.2,0,25.2,149.1,569.3
Humphrey's Ledge,255900412,False,24.5,0,24.5,57.8,214.4
Northwest Passage,255900833,False,23.8,0,23.8,261.6,1070.4
Tightrope,255901734,False,25.0,0,25.0,183.1,635.2
Northwest Passage_0,255901786,False,11.5,0,11.5,8.4,65.1
Tightrope_1,255901787,False,18.5,0,18.5,17.0,141.4
Upper Ptarmigan,255903828,False,28.6,0,28.6,157.6,402.9
Lower Saco,255903922,False,16.8,0,16.8,64.1,243.6
Ammo Pitch,255904496,False,27.8,0,27.8,65.1,198.3
Chicken's Option,255904718,False,20.4,0,20.4,67.1,237.2
Chicken's Option_2,255905170,False,19.0,0,19.0,27.9,94.3
Ammonoosuc,255905291,False,18.5,0,18.5,130.4,584.9
Tim's Trauma,255906211,False,30.8,0,30.8,206.6,517.3
Idiot's Option,255906261,False,27.8,0,27.8,158.8,418.7
Lower Cathedral,255906906,False,17.4,0,17.4,118.1,642.1
Lower Cathedral_3,255906939,False,10.9,0,10.9,12.4,88.3
Upper Highway,255907312,False,9.5,0,9.5,20.6,301.1
Spillway,255907800,False,27.8,0,27.8,255.4,1015.7
White Horse,255908107,False,26.7,0,26.7,210.5,683.8
Middle Highway,255909299,False,15.9,0,15.9,127.7,1059.3
Middle Ptarmigan,255909575,False,32.6,0,32.6,256.0,846.8
Moat,255910672,False,24.0,0,24.0,251.1,853.0
Grandstand,255910983,False,25.5,0,25.5,141.9,409.0
Upper Cathedral,255911118,False,24.4,0,24.4,118.6,430.9
Homeward Bound,255911199,False,19.9,0,19.9,26.7,198.5
Lower Highway,255911315,False,13.1,0,13.1,110.0,664.5
Straight Shot,255911484,False,17.8,0,17.8,75.5,311.6
Tree Skiing,255911620,True,15.5,1,15.5,43.9,199.6
Tree Skiing_4,255911621,True,14.2,1,14.2,40.3,185.0
Tree Skiing_5,255911760,True,22.7,1,22.7,55.1,178.0
Carrigan,255913226,False,23.3,0,23.3,36.8,107.4
Turkey Chute,255913271,False,11.4,0,11.4,22.8,182.3
Thad's Choice,255913443,False,20.2,0,20.2,189.7,808.3
Far Out,255914770,False,17.1,0,17.1,178.6,966.9
Inside Out,255914937,False,18.5,0,18.5,164.3,741.7
Councilor's Run,255915106,False,17.0,0,17.0,159.8,693.8
Alley Way,255915183,False,11.4,0,11.4,22.6,135.0
The Learning Center,255915562,False,16.5,0,16.5,50.5,241.4
Farther Out,255915758,False,17.8,0,17.8,64.3,418.2
Bear Notch Pass,255916011,False,25.0,0,25.0,55.9,156.0
Stoney Brook By Pass,255916191,False,14.1,0,14.1,40.5,330.3
Stoney Brook,255916815,False,10.9,0,10.9,79.0,935.8
Bear Necessity,255917595,False,11.2,0,11.2,49.3,614.2
Illusion,255917720,False,24.9,0,24.9,441.9,1645.7
Wandering Skis,255917908,False,24.2,0,24.2,410.7,2137.9
Crawford Path,255917946,False,12.4,0,12.4,26.9,223.0
Hotel Way,255917960,False,10.6,0,10.6,18.4,143.3
Avenger,255918741,False,26.3,0,26.3,399.2,1375.1
Morning Star,255921036,False,24.2,0,24.2,181.6,715.4
Snowdancer,255921124,False,22.4,0,22.4,264.0,1135.4
Snowdancer_6,255921588,False,12.1,0,12.1,19.7,121.9
Kachina Falls,255921780,False,28.1,0,28.1,49.3,124.5
Upper Kachina,255921842,False,25.1,0,25.1,198.4,650.7
Upper Myth Maker,255921983,False,25.5,0,25.5,171.6,630.7
Lift Line,255922881,False,26.0,0,26.0,157.7,472.7
Cub's Cut,255923019,False,13.3,0,13.3,47.2,444.4
Lower Myth Maker,255923103,False,17.5,0,17.5,104.6,500.9
Pinball Alley,255923785,False,17.0,0,17.0,82.9,489.9
Tilt,255924085,False,9.3,0,9.3,12.8,160.1
Kachina,255924253,False,16.9,0,16.9,112.7,582.3
Moonbeam,255924443,False,18.6,0,18.6,79.8,362.2
Quiver,255924539,False,20.7,0,20.7,101.7,341.0
Reckoning,255924643,False,14.4,0,14.4,76.3,444.8
Blueberrylane,255924705,False,14.8,0,14.8,58.2,328.0
Trillium,255924951,False,22.7,0,22.7,122.6,437.1
Bearfoot,255924973,False,17.8,0,17.8,71.2,391.3
Bearback,255925189,False,4.7,0,4.7,18.8,508.0
Chilly Mac,255925190,False,12.9,0,12.9,46.4,521.0
Billy's BBQ,255925325,False,9.1,0,9.1,14.5,175.5
Bearfoot Creek Trail,255926589,False,14.4,0,14.4,15.1,105.8
Blueberry Boulevard,255926723,False,6.3,0,6.3,6.7,73.8
Tree Skiing_7,255926834,True,16.1,1,16.1,87.4,412.9
Tree Skiing_8,255926996,True,22.0,1,22.0,112.2,401.8
Tree Skiing_9,255927170,True,27.5,1,27.5,55.5,147.9
Tree Skiing_10,255927381,True,21.0,1,21.0,79.9,268.7
Tree Skiing_11,255927483,True,22.1,1,22.1,109.3,493.9
Snowbelt Area,547387269,False,4.7,0,4.7,4.0,57.7
Bear Right,547387271,False,14.5,0,14.5,6.8,60.1
Just Bearly,547387273,False,11.5,0,11.5,21.3,148.2
