name,id,is_area,difficulty,difficulty_modifier,steepest_pitch,vert,length
Mohawk,256735986,False,18.7,0,18.7,164.2,1039.9
Big Chief,256736053,False,23.7,0,23.7,240.5,846.7
Bear Run,256736207,False,15.8,0,15.8,29.6,214.9
East Glades,256736636,True,25.1,1,25.1,66.1,199.6
Big Chief Access,256737380,False,16.1,0,16.1,14.8,64.2
Little Jon,256737381,False,19.4,0,19.4,27.7,87.2
Jug,256744076,False,26.1,0,26.1,106.1,339.5
Tomahawk,256744500,True,24.9,0,24.9,119.8,325.4
Flying Cloud,256744685,False,25.0,0,25.0,250.6,805.3
Roy's Way,256745753,False,18.1,0,18.1,66.0,335.4
Chute,256746038,False,21.2,0,21.2,55.0,182.7
Little Mohawk,256746075,False,15.1,0,15.1,35.5,176.6
Upper Competition,256759754,False,26.6,0,26.6,144.1,389.9
Minnie Dole,256760188,False,26.9,0,26.9,137.8,481.4
Lower Minnie Dole,256760377,False,19.9,0,19.9,120.8,474.2
Competition,256760459,False,21.6,0,21.6,90.8,319.8
Outback,256760539,False,12.4,0,12.4,99.5,874.2
Riva Ridge,256761414,False,12.2,0,12.2,28.1,289.1
Grizzly,256761509,False,12.5,0,12.5,11.0,70.8
U Mass,256762239,False,28.5,0,28.5,133.8,362.2
Beast,256763387,True,31.7,0,31.7,85.3,239.7
Lift Line,256763834,False,27.1,0,27.1,277.9,871.4
Deer Run,256764429,False,15.3,0,15.3,146.7,1041.9
War Dance,256764671,False,18.0,0,18.0,129.8,552.5
Katie's Run,256765302,False,13.7,0,13.7,43.6,269.5
War Dance_0,256765756,False,15.7,0,15.7,27.0,270.7
Snowdance,256765757,False,14.4,0,14.4,20.9,118.8
Exhibition,256765866,False,17.5,0,17.5,129.1,530.2
Danny's Run,256765893,False,7.6,0,7.6,9.2,96.2
Top Notch,256765908,False,7.7,0,7.7,13.6,120.9
Lenny's Leap,256765978,False,14.2,0,14.2,14.2,62.7
Little Mohawk_1,256766451,False,11.5,0,11.5,27.6,231.9
Blizzard Island,256766621,True,17.6,0,17.6,72.3,316.3
Roundabout,256767284,False,15.5,0,15.5,170.0,1371.5
Hemlock,256768085,False,20.3,0,20.3,150.6,586.2
Little Spruce,256768214,False,12.0,0,12.0,38.2,288.9
Bobcat,256768326,False,4.6,0,4.6,4.8,63.3
Thunder,776803402,False,16.1,0,16.1,275.8,2248.6
Bolt,776803403,False,15.0,0,15.0,64.3,293.9
Hawleywood Glades,776803405,False,22.1,1,22.1,96.9,335.6
