name,id,is_area,difficulty,difficulty_modifier,steepest_pitch,vert,length
Crazy Horse,260317109,False,25.3,0,25.3,437.6,2605.6
Buffalo Jump,260318289,False,32.7,0,32.7,228.3,814.3
Swifty Lift Line,260318290,False,34.4,0,34.4,446.2,2061.1
Calamity Jane,260318291,False,25.2,0,25.2,260.5,1693.9
Huntley Hollow,260318292,False,16.7,0,16.7,125.3,780.1
Lobo,260318293,False,24.5,0,24.5,332.7,1494.3
Lobo Meadows,260318294,False,19.2,0,19.2,204.5,1023.4
Stump Farm,260318295,False,31.5,0,31.5,175.0,529.6
Chuck's Run,260318296,False,22.7,0,22.7,183.1,881.4
Middle Road,260318297,False,14.6,0,14.6,151.1,1759.5
Jay Walk,260321760,False,17.9,0,17.9,70.4,611.4
Rice Bowl,260321761,False,37.8,0,37.8,136.4,311.1
Great White,260321762,False,30.8,0,30.8,75.8,203.6
Marmot Meadows,260321763,False,25.8,0,25.8,89.4,343.7
Mr. K,260323391,False,18.5,0,18.5,437.6,2616.9
Lower Morningstar,260351283,False,20.7,0,20.7,330.2,2045.0
White Wing,260351287,False,14.7,0,14.7,58.7,457.5
White Fang,260351289,False,12.8,0,12.8,32.8,229.7
Lone Wolf,260351290,False,15.4,0,15.4,106.5,671.8
Chet's Knob,260351292,False,13.2,0,13.2,86.2,655.5
Turkey Traverse,260351294,False,29.6,0,29.6,101.7,567.0
Silver Knife,260351299,False,24.3,0,24.3,357.5,1809.5
Blackfoot,260351302,False,27.8,0,27.8,216.1,645.0
Tippy's Tumble,260351304,False,25.4,0,25.4,235.3,779.3
Old Tippy's,260351306,False,22.7,0,22.7,97.1,292.5
Ambush,260351308,False,28.9,0,28.9,366.3,1428.8
Ambush Meadow,260351310,False,23.4,0,23.4,182.0,694.3
Ambush Glades,260351311,False,25.6,1,25.6,170.0,607.7
Pipeline,260351313,False,22.0,0,22.0,128.8,469.9
Hangman,260351315,False,24.6,0,24.6,323.3,1167.3
Wounded Knee,260351317,False,29.3,0,29.3,259.6,875.0
 _2,260351318,False,14.4,0,14.4,28.5,137.2
Safari,260354681,False,21.9,0,21.9,243.3,1213.3
Congo,260354682,False,29.9,0,29.9,133.6,346.8
Pacifier,260354683,False,18.8,0,18.8,361.4,3033.5
Upper Affrica,260354684,False,24.0,0,24.0,62.4,227.8
Africa,260354685,False,31.2,0,31.2,153.1,404.5
Blue Room,260354688,False,33.6,0,33.6,163.2,479.4
Colter's Hell,260354689,False,27.1,0,27.1,153.3,650.6
Mine Shaft,260354690,False,25.6,0,25.6,75.2,178.2
War Dance,260354691,False,34.2,1,34.2,216.0,590.8
Low Dog,260354692,False,28.8,0,28.8,245.1,1493.4
Elk Park Ridge,260354693,False,28.4,0,28.4,456.7,1529.4
Mad Wolf,260354694,False,36.7,0,36.7,301.2,733.4
Wolf Den,260354695,False,25.6,0,25.6,171.7,462.0
Madison Avenue,260354696,False,24.9,0,24.9,364.3,1214.1
Broken Arrow,260354697,False,34.9,0,34.9,226.2,745.7
Big Horn,260354698,False,27.6,0,27.6,529.7,2353.9
Bear's Lair,260354699,False,31.3,0,31.3,245.9,674.0
Snake Pit,260354701,False,36.6,0,36.6,328.8,780.4
Crazy Raven,260354702,False,38.5,0,38.5,269.4,680.9
Everett's Anger,260354703,False,27.9,0,27.9,185.5,514.2
Little Calf,260463287,False,23.1,0,23.1,372.9,2551.0
Lone Moose Access,260463290,False,7.1,0,7.1,28.5,647.7
Little Dogie,260463293,False,13.3,0,13.3,133.7,980.0
Grizzly,260463296,False,36.3,0,36.3,205.4,494.8
Bobcat,260463299,False,29.3,0,29.3,326.0,1015.4
Lone Moose,260463301,False,25.9,0,25.9,267.2,714.9
El Dorado,260463303,False,22.2,0,22.2,358.0,1688.1
Freemont's Forest,260463306,False,21.2,0,21.2,214.0,910.4
Deep South,260463308,False,19.7,0,19.7,359.6,2325.9
Sacajawea,260463310,False,19.0,0,19.0,257.9,1126.2
Ponderosa,260463312,False,23.6,0,23.6,219.2,1070.1
Big Horn Cut-Off,260463313,False,13.1,0,13.1,37.5,297.2
Little Ewe,260463314,False,17.3,0,17.3,109.6,533.2
Fast Lane,260467401,False,27.3,0,27.3,256.9,1644.8
Blue Moon,260467402,False,19.5,0,19.5,137.0,720.7
BRT Road,260467403,False,14.1,0,14.1,91.1,824.7
Bad Dog,260467404,False,28.5,0,28.5,147.3,513.8
Iron Maiden,260467405,False,35.5,0,35.5,250.4,794.3
Bad Dog Gully,260467406,False,30.2,0,30.2,117.4,313.2
Lazy Jack,260467407,False,22.5,0,22.5,238.0,1450.0
