name,id,is_area,difficulty,difficulty_modifier,steepest_pitch,vert,length
Upper Villager,235536226,False,12.8,0,12.8,50.5,417.1
Twice as Nice Woods,235536227,False,20.9,1,20.9,165.2,591.9
Lost Boyz,235536228,False,27.1,1,27.1,73.1,190.6
Sure Shot,235536229,False,22.8,0,22.8,52.2,173.2
Wood's Hole,235536230,False,13.1,0,13.1,26.1,318.5
Lower Tattle Tale,235536231,False,21.7,0,21.7,76.1,308.6
Doug's Woods,235536232,False,24.1,1,24.1,160.3,632.7
Intro,235536233,False,22.4,0,22.4,76.9,312.5
Twice as Nice,235536234,False,18.5,0,18.5,206.6,784.9
Brandy Wine,235536235,False,21.6,0,21.6,46.5,186.9
Adam's Solitude,235536237,False,24.7,1,24.7,271.6,1448.9
Spur,235536238,False,10.2,0,10.2,27.2,236.6
Showtime,235536239,False,25.8,0,25.8,213.2,768.9
Spur_0,235536240,False,12.0,0,12.0,37.3,371.5
Spellbinder,235536241,False,28.0,0,28.0,175.7,638.1
Timberline Run,235536242,False,18.6,0,18.6,235.7,1662.5
Lower Brandy Wine,235536244,False,22.4,0,22.4,75.5,309.7
Upper Tattle Tale,235536245,False,29.0,0,29.0,81.5,233.5
Progression,235537174,False,17.3,0,17.3,47.1,266.2
Lower Foxy,235537175,False,14.4,0,14.4,31.0,160.5
Timberline Lane,235537176,False,6.5,0,6.5,16.6,215.2
Lower Bentley,235537177,False,12.3,0,12.3,37.7,293.3
Snowflake Bentley,235537178,False,16.4,0,16.4,35.7,160.3
Foxy,235537179,False,16.1,0,16.1,45.6,252.9
Butterscotch,235537180,False,21.3,0,21.3,55.0,287.3
Lower Villager,235537181,False,12.5,0,12.5,56.8,538.4
Beech Seal,235542434,False,18.5,0,18.5,72.2,322.7
Deer Run,235542435,False,17.1,0,17.1,28.4,354.9
Primer Loop,235542436,False,10.5,0,10.5,73.1,671.0
Bear Run,235542437,False,13.8,0,13.8,79.1,580.2
Enchanted Forest,235542438,False,11.8,0,11.8,19.3,99.2
Jungle Jib,235542439,False,8.6,0,8.6,9.6,73.9
Sprig O 'Pine,235542440,False,12.6,0,12.6,48.7,297.6
Spillway Exit,235542441,False,22.0,0,22.0,55.0,290.6
Five Corners,235560938,False,15.6,0,15.6,40.8,232.2
Glades,235560939,False,18.2,1,18.2,22.4,137.3
Bull Run,235560940,False,19.0,0,19.0,67.7,424.3
Moose Run,235560941,False,18.9,0,18.9,103.8,586.7
Cobrass Woods,235560942,False,23.4,1,23.4,74.5,320.8
Cobrass,235560943,False,22.9,0,22.9,148.9,776.7
Cobrass Run,235560944,False,18.8,0,18.8,73.5,462.3
Cobrass Lane,235560945,False,8.3,0,8.3,30.1,273.6
Devil's Playground,235560946,False,27.0,1,27.0,162.8,692.0
Preacher,235560947,False,25.7,1,25.7,69.5,218.0
Sherman's Pass,235560948,False,16.7,0,16.7,199.7,1475.1
Hard Luck Lane,235562483,False,19.5,0,19.5,34.2,141.1
Mighty Mite,235562485,False,6.8,0,6.8,10.2,103.1
Spillway,235562488,False,29.6,0,29.6,158.6,460.3
Vista Glades,235562491,False,25.0,1,25.0,85.0,390.3
Hard Luck,235562493,False,28.1,0,28.1,115.6,353.5
Alta Vista,235562496,False,20.7,0,20.7,86.8,380.8
Spillway Lane,235562499,False,16.7,0,16.7,27.1,120.4
Upper Show Off,235562501,False,28.3,0,28.3,104.8,255.9
TNT,235562502,False,26.0,1,26.0,36.6,87.9
Lower Show Off,235562503,False,22.1,0,22.1,35.9,147.1
Vermont 200,235562504,False,30.0,0,30.0,90.0,317.3
Schuss,235562505,False,22.1,0,22.1,41.0,140.9
Lower Wilderness,235714524,False,15.4,0,15.4,128.0,800.5
Swing,235714525,False,12.4,0,12.4,27.8,324.5
Fanny Hill,235714526,False,15.5,0,15.5,114.8,642.1
Upper Crossover,235714527,False,18.8,0,18.8,84.3,651.6
Lower Crossover,235714528,False,9.5,0,9.5,20.8,306.6
Upper Fanny Hill,235714530,False,23.7,0,23.7,55.8,197.5
Work Road,235714532,False,11.2,0,11.2,35.2,252.3
Coyote,235714533,False,13.2,0,13.2,48.6,414.5
Mouse Hole,235714534,False,15.3,0,15.3,18.4,115.2
Cougar,235716881,False,24.4,0,24.4,46.8,242.4
Peggy Dow's,235716882,False,18.9,0,18.9,90.4,614.2
Sleepy Hollow,235716883,False,18.0,1,18.0,47.7,266.0
Abenaki Trail,235716884,False,11.3,0,11.3,39.2,338.1
Old Turnpike,235716885,False,18.8,0,18.8,109.1,633.3
Lower Fanny Hill,235716886,False,7.7,0,7.7,45.9,400.3
Wilderness Woods,235716887,False,16.1,1,16.1,46.8,261.7
Wilderness Liftline,235716888,False,22.9,0,22.9,53.0,224.3
Lower Turnpike,235716889,False,11.2,0,11.2,118.5,834.0
Bolton Outlaw,235716890,False,24.6,0,24.6,70.5,218.0
 _1,235716891,False,5.1,0,5.1,5.6,73.7
Wilderness Woods_2,235716892,False,11.0,1,11.0,84.0,537.1
