name,id,is_area,difficulty,difficulty_modifier,steepest_pitch,vert,length
Cascade,258216793,False,14.8,0,14.8,64.2,294.1
Bretton's Wood,258216794,False,17.5,0,17.5,185.4,911.6
Avalon,258216795,False,14.8,0,14.8,213.0,1249.8
Range View,258216796,False,19.1,0,19.1,316.3,1461.0
Crawford Ridge,258216797,False,12.2,0,12.2,59.6,650.9
Big Ben,259583620,False,13.4,0,13.4,66.4,328.8
Bigger Ben,259583621,False,17.8,0,17.8,112.6,505.7
Ben,259583623,False,18.0,0,18.0,121.7,640.6
Outer Bounds,259583624,False,14.3,0,14.3,73.7,425.6
Joseph's Run,259583625,False,20.7,0,20.7,64.4,319.0
High Ridge,259583626,False,16.5,0,16.5,29.2,217.2
Upper In Between,259587718,False,13.1,0,13.1,80.4,432.7
Fabyan's Express,259587719,False,15.3,0,15.3,171.2,807.8
Coos Caper,259587721,False,21.2,0,21.2,301.7,1525.2
Crawford&quot;s Blaze,259587722,False,21.3,0,21.3,199.4,968.5
Dave's Drop,259587723,False,30.9,0,30.9,53.2,143.6
Upper Swoop,259587724,False,21.1,0,21.1,87.5,299.5
Upper Express,259587725,False,28.7,0,28.7,96.8,311.2
No Regrets,259587726,False,16.4,0,16.4,144.7,706.5
Archie&quot;s Alley,259587727,False,12.0,0,12.0,111.7,769.9
Triple Traverse,259587728,False,9.4,0,9.4,13.8,402.9
Water Tank,259593786,False,17.2,0,17.2,136.9,701.4
Panorama,259593787,False,24.6,0,24.6,46.2,178.2
Bode's Run,259593788,False,31.4,0,31.4,171.9,717.9
Carrol,259593789,False,12.2,0,12.2,44.9,292.6
Herb's Secret,259593791,False,14.3,0,14.3,173.9,857.6
Lower Perimeter,259593792,False,16.9,0,16.9,66.0,330.6
Darby's Drop,259593793,False,25.9,0,25.9,68.9,196.3
Sly Fox,259593794,False,25.4,0,25.4,78.5,326.2
Snake,259593795,False,18.9,0,18.9,110.7,446.6
Diamond Ridge,259593796,False,14.4,0,14.4,38.2,250.3
Sawyer's Swoop,259593797,False,18.6,0,18.6,275.4,1342.6
Deception Bowl,259593798,False,23.4,0,23.4,140.2,672.1
Granny's Grit,259593799,False,16.5,0,16.5,310.8,1582.2
Mcintyre's Ride,259593800,False,27.9,0,27.9,182.9,824.4
Mt. Road Traverse,259593801,False,9.3,0,9.3,54.0,998.2
Willey's Slide,259593802,False,15.5,0,15.5,79.6,406.3
Zealand,259593803,False,20.2,0,20.2,115.9,458.6
Minhan Ridge,259603476,False,10.3,1,10.3,41.5,271.6
Down'n Under,259603478,False,17.7,0,17.7,154.6,742.2
Abel's Traverse,259603483,False,7.7,0,7.7,20.0,390.7
Enchanted Bear,259603485,False,23.4,1,23.4,150.9,657.5
Presidential,259603486,False,13.1,0,13.1,51.2,522.2
Starr King,259603487,False,21.6,0,21.6,168.4,774.5
Glade West,259603488,False,21.3,1,21.3,173.9,811.1
Lower Chute,259603490,False,4.1,0,4.1,3.4,60.7
Jacob's Ladder,259603491,False,15.7,0,15.7,125.5,649.1
Fire Tower,259603493,False,27.7,0,27.7,28.4,83.3
Rosebrook Meadow,259603494,False,8.4,0,8.4,26.9,281.9
Oscar Barron's,259603495,False,18.7,0,18.7,188.4,890.7
Waumbek,259603496,False,22.2,0,22.2,187.7,938.1
Snowplay Zone,259603497,False,4.4,0,4.4,3.9,64.1
Alpine Gardens,259603498,False,12.1,0,12.1,33.6,253.9
Black forest Glade,259603499,False,14.8,1,14.8,92.4,596.4
Downspout Glade,259603500,False,22.5,1,22.5,53.3,211.2
Shenanigans,259603501,False,15.6,0,15.6,58.2,337.0
Short Cut,259603502,False,9.7,0,9.7,15.6,135.4
Rag's Run,259603504,False,14.2,1,14.2,61.6,315.6
Go West,259603506,False,15.2,0,15.2,33.0,155.1
Aggassiz,259603507,False,18.5,0,18.5,208.2,1059.3
Little Tuckerman,259603508,False,8.1,0,8.1,13.5,142.5
Almost Home,259603509,False,9.8,0,9.8,25.0,213.2
Roz's,259603510,False,18.1,1,18.1,137.5,605.9
Rosebrook Lane,259603511,False,9.4,0,9.4,24.9,242.5
Condo Cutback,259603615,False,11.4,0,11.4,28.0,165.7
Wild West,259603935,False,15.9,1,15.9,95.5,455.7
Cliff's Cliff,259603936,False,22.4,1,22.4,49.9,149.3
Cherry Mountain Slide,260681839,False,14.5,1,14.5,133.5,677.0
Maple Woods,260681840,False,21.7,1,21.7,126.8,498.8
John Grave's glades,260681841,False,20.0,1,20.0,149.9,600.1
Boundary Line Glades,260681843,False,21.3,1,21.3,52.5,410.5
Among the Clouds,260681844,False,15.3,1,15.3,22.5,116.6
Lizzie Borne Glades,260681845,False,14.3,1,14.3,64.0,308.9
Blowdown Alley,260681861,False,23.5,1,23.5,64.6,360.3
Two Miles Home,770746722,False,19.8,0,19.8,347.9,2403.7
Telegraph Traverse,770746723,False,5.5,0,5.5,17.0,678.8
Lazy Man's,848956568,False,25.1,1,25.1,52.3,186.5
Hemlock,848956569,False,20.8,1,20.8,57.9,197.8
Inferno,848956570,False,21.6,1,21.6,131.3,589.4
Over The Falls,848956571,False,28.1,1,28.1,72.9,228.4
Snowmaker's Gully,848956572,False,24.7,1,24.7,42.0,148.1
Sierra's Crest,848956573,False,23.2,1,23.2,59.4,220.8
Mr. Moose,848956574,False,28.5,1,28.5,43.7,101.8
Dark Star,848956575,False,26.7,1,26.7,35.5,78.2
Crawford's Cutoff,848956576,False,11.2,1,11.2,24.5,155.5
Peboamauk Fall,848956577,False,21.5,1,21.5,58.7,240.0
Millennium Maze,848956578,False,14.1,1,14.1,50.6,258.4
Fast Fall,848956580,False,30.5,1,30.5,44.8,120.3
Jump Turn,848956581,False,23.6,1,23.6,28.9,87.9
Stickney Escape,848956582,False,11.8,0,11.8,41.8,269.8
Stickney 1,848956583,False,13.7,1,13.7,31.3,206.2
Stickney 2,848956584,False,14.5,1,14.5,48.0,275.1
Stickney 3,848956585,False,15.1,1,15.1,78.2,446.4
Stickney 5,848956586,False,23.0,1,23.0,111.9,784.7
Stickney 4,848956587,False,16.4,1,16.4,85.1,363.7
 _0,848956588,False,12.7,0,12.7,16.4,89.5
Two Miles Home_1,1005359977,False,6.5,0,6.5,16.6,352.0
Zealand_2,1005359978,False,8.9,0,8.9,6.4,47.0
Stickney Escape_3,1005359980,False,6.1,0,6.1,4.7,45.7
Stickney Escape_4,1005359981,False,7.4,0,7.4,6.2,80.0
 _5,1005382841,False,1.5,0,1.5,1.5,59.8
 _6,1005382842,False,3.9,0,3.9,3.3,117.5
Nathan's Smile,1005382843,False,19.5,0,19.5,39.6,149.3
 _7,1005382844,False,8.7,0,8.7,9.4,71.8
 _8,1005382845,False,13.4,0,13.4,19.8,102.3
 _9,1005382846,False,7.3,0,7.3,9.5,99.2
 _10,1005386406,False,6.4,0,6.4,5.3,54.6
Upper Perimeter,1005399980,False,12.5,0,12.5,51.1,312.6
 _11,1005399981,False,5.1,0,5.1,2.5,158.6
 _12,1005399982,False,12.5,0,12.5,33.4,200.2
Lower In Between,1005399983,False,15.1,0,15.1,59.9,278.0
Crawford&quot;s Blaze_13,1005399984,False,12.8,0,12.8,39.6,235.2
 _14,1005399985,False,9.6,0,9.6,10.9,71.8
 _15,1005399986,False,8.9,0,8.9,11.2,90.1
Stillwater,1005405154,False,5.0,0,5.0,12.5,196.2
Carrol_16,1005410901,False,14.4,0,14.4,15.9,79.6
 _17,1005412076,False,7.1,0,7.1,5.9,61.9
 _18,1005458657,False,24.7,0,24.7,48.5,184.0
