name,id,is_area,difficulty,difficulty_modifier,steepest_pitch,vert,length
 _1,422522331,False,12.1,0,12.1,36.8,255.8
 _2,422522332,False,12.0,0,12.0,35.4,261.3
Thor,422522333,False,21.7,0,21.7,387.3,2319.1
Sunshine,422522334,False,19.0,0,19.0,289.2,1728.6
Western Trail,422522335,False,17.9,0,17.9,130.3,1016.6
Pacific Highway,422522337,False,26.4,0,26.4,358.1,1928.3
Thunder Road,422522338,False,21.3,0,21.3,159.3,1012.0
Thunder Road_3,422522339,False,20.7,0,20.7,84.0,514.7
Snake Creek Access,422522340,False,16.7,0,16.7,83.6,557.2
Pioneer,422522341,False,21.7,0,21.7,173.0,908.3
Deer Park,422522342,False,16.3,0,16.3,75.7,490.8
Lone Star,422522343,False,20.1,0,20.1,144.5,852.7
Thunderhead,422522344,False,27.2,0,27.2,91.0,348.5
Golden Needle,422527636,False,22.3,0,22.3,141.7,490.3
Elk Park,422527637,False,27.8,0,27.8,209.6,777.2
Aspen Glo,422663196,False,29.7,0,29.7,165.9,518.9
 _4,422663198,False,21.1,0,21.1,64.4,196.5
Wrangler,422663199,False,37.2,0,37.2,286.0,733.0
Endless Winter,422663200,False,39.4,0,39.4,154.7,322.4
Elk Park Ridge,422663201,False,32.5,0,32.5,219.8,1041.0
Rockin' R,422663203,False,30.8,0,30.8,158.6,546.1
Doyle's Dive,422664874,False,36.6,0,36.6,147.2,477.2
Pine Martin,422664875,False,24.9,0,24.9,128.7,704.7
Ziggy,422672264,False,23.4,0,23.4,79.1,234.8
Easy Out,422672267,False,20.0,0,20.0,53.9,293.9
Pioneer_5,422672271,False,27.8,0,27.8,177.6,969.9
Hawkeye Access,422672275,False,11.1,0,11.1,55.5,484.2
Silver Spur,422672279,False,26.8,0,26.8,179.5,731.4
Scout,422672285,False,16.1,0,16.1,43.0,286.0
Scout_6,422672288,False,15.3,0,15.3,62.1,381.8
Desperado,422672290,False,33.3,0,33.3,157.3,547.3
 _7,422672291,False,31.7,0,31.7,113.0,428.3
 _8,422675138,False,19.5,0,19.5,117.8,540.6
Powder Alley,422675139,False,24.5,0,24.5,77.7,401.3
Mary Back,422675140,False,15.0,0,15.0,87.8,609.9
Lost Maid,422675142,False,13.2,0,13.2,85.8,583.3
Lower Mary,422675144,False,14.1,0,14.1,40.5,234.4
Lower Majestic,422675145,False,12.7,0,12.7,73.7,531.6
Cat Track,422675147,False,15.7,0,15.7,30.1,264.9
Snow Drift,422675148,False,18.6,0,18.6,47.7,226.2
Wintergreen,422675149,False,30.5,0,30.5,159.8,837.4
Tantamount,422675150,False,25.4,0,25.4,69.2,221.1
 _9,422675151,False,32.1,0,32.1,49.4,119.3
 _10,422675152,False,28.9,0,28.9,77.5,224.5
Wren Hollow,422675153,False,23.1,0,23.1,131.9,550.6
Milly Access,422675154,False,13.7,0,13.7,64.0,662.6
Rein's Run,422675156,False,45.0,0,45.0,216.1,355.2
True Grit,422675158,False,29.4,0,29.4,141.3,403.8
Clark's Roost,422675159,False,37.7,0,37.7,187.7,306.4
Backdoor,422676872,False,22.0,0,22.0,185.9,914.7
Easy Out_11,422676873,False,32.4,0,32.4,199.5,808.9
Main Street,422676874,False,27.4,0,27.4,106.2,452.6
Backbone,422676875,False,28.4,0,28.4,150.1,569.9
Scree Slope,422678579,False,40.7,0,40.7,262.3,909.4
Lone Pine,422678580,False,37.7,0,37.7,223.9,622.9
Canyon,422678581,False,20.0,0,20.0,143.4,869.0
Majestic Access,422678582,False,14.8,0,14.8,53.8,400.8
Little Milly,422678583,False,35.6,0,35.6,165.7,434.6
Devil's Drop,422678584,False,27.9,0,27.9,101.2,316.3
Chute 2,422679154,False,24.0,0,24.0,63.9,274.6
Wee Willow,422679155,False,29.5,0,29.5,120.6,432.5
Christy Bowl,422679156,False,22.4,0,22.4,60.0,272.1
Perris Bowl,422679157,False,29.0,0,29.0,124.0,446.1
Exhibition,422679158,False,31.3,0,31.3,110.3,450.2
Evergreen,422679159,False,29.8,0,29.8,195.1,896.3
Easy Out_12,422679160,False,28.6,0,28.6,108.1,443.2
Face,911054093,False,23.4,0,23.4,151.7,740.9
Terrain Park,911054094,False,22.6,0,22.6,167.7,767.2
Pee Wee,911054095,False,9.7,0,9.7,20.8,295.8
My oh My,911054096,False,19.9,0,19.9,59.1,281.7
Krista's,911054097,False,16.3,0,16.3,21.9,288.1
Scout_13,976854671,False,22.3,0,22.3,63.8,275.6
Hawkeye Access_14,976859155,False,13.3,0,13.3,53.6,304.6
