name,id,is_area,difficulty,difficulty_modifier,steepest_pitch,vert,length
Midway,235742394,False,6.9,0,6.9,4.0,75.5
Jester,235742397,False,22.3,0,22.3,27.3,187.8
Bunker Hill,235742401,False,15.0,0,15.0,98.8,637.6
Dashney Mile,235742404,False,13.8,0,13.8,130.7,853.9
Enchanted Forest Glade,235742407,False,24.0,1,24.0,56.0,472.3
Condo Connector,235742408,False,15.3,0,15.3,127.7,1661.0
Carter Country,235742409,False,21.1,0,21.1,95.5,664.1
High Meadow Pass,235742410,False,13.6,0,13.6,132.3,1111.0
Upper Bear Den,235763919,False,21.1,0,21.1,123.3,578.7
Lower Bear Den,235763920,False,22.8,0,22.8,174.5,523.2
Ledges,235763921,False,30.6,0,30.6,91.2,198.2
Fox's Folly,235763922,False,30.2,0,30.2,165.4,387.9
The Gap,235763923,False,22.3,0,22.3,132.4,434.2
The Jungle,235763924,False,31.0,1,31.0,257.1,982.0
Upper Fox's Folly,235763925,False,17.2,0,17.2,104.7,472.5
Birches,235763926,False,29.5,1,29.5,190.9,480.1
Wayne's World,235763927,False,23.9,1,23.9,73.7,360.2
 _0,235763928,False,22.0,0,22.0,39.9,126.0
The Shoot,235763929,False,19.9,0,19.9,71.3,300.0
Camper's Carry,235763930,False,15.8,0,15.8,25.1,115.8
 _1,235763931,False,25.4,0,25.4,51.9,134.6
Lower Fox's Folly,235763932,False,25.3,0,25.3,196.2,631.5
Lower Willoughby,235763933,False,25.0,0,25.0,268.9,910.5
Upper Willoughby,235763934,False,25.1,0,25.1,194.4,729.7
Hibernator,235763935,False,29.1,1,29.1,142.2,381.1
Binney Lane,235763941,False,15.1,0,15.1,156.1,1026.3
Little Chief,235764991,False,22.8,1,22.8,93.7,326.0
Open Slope,235764992,False,14.7,0,14.7,98.2,569.3
 _2,235764993,False,21.0,0,21.0,23.4,64.3
Lower Doug's Drop,235764994,False,24.9,0,24.9,182.0,590.3
Lift Line,235764995,False,11.9,0,11.9,105.8,750.3
Deer Run,235764996,False,11.7,0,11.7,83.5,642.8
Scooby Dog,235764997,False,31.1,1,31.1,83.2,169.6
Upper Warren's Way,235764998,False,28.0,0,28.0,155.2,359.0
Marshland,235764999,False,26.1,1,26.1,100.5,298.7
Upper Dipper,235765000,False,27.5,0,27.5,177.1,668.7
Mountain Marsh,235765001,False,23.7,0,23.7,92.8,384.0
Lower Warren's Way,235765002,False,22.3,0,22.3,189.4,654.9
Rerun,235765003,False,27.9,0,27.9,292.3,785.8
 _3,235765004,False,24.1,0,24.1,31.0,93.2
Doug's Drop,235765005,False,26.7,0,26.7,148.9,380.8
McHarg's Cut-Off,235765006,False,23.1,0,23.1,182.0,597.3
Little Dipper,235765007,False,26.0,0,26.0,105.9,412.4
 _4,235765008,False,12.2,0,12.2,27.2,317.7
Carriage Road,235765009,False,21.9,0,21.9,128.7,578.9
Big Dipper,235765010,False,26.1,0,26.1,270.4,1130.0
Dipper Doodle,235765448,False,21.6,0,21.6,79.8,292.4
Flaming Eddie's,235765451,False,24.2,1,24.2,65.6,189.6
Powderhorn,235765454,False,21.8,0,21.8,203.2,843.0
Boarderline,235765457,False,27.9,0,27.9,93.5,294.0
Deer Run_5,235766107,False,14.5,0,14.5,146.9,957.6
Wilderness,235767210,False,25.4,0,25.4,85.9,273.7
Lower Powerline,235767211,False,26.8,0,26.8,123.2,387.3
East Bowl,235767212,False,21.3,0,21.3,375.5,2549.6
Upper Powerline,235767213,False,18.6,0,18.6,72.5,291.6
Sasquatch,235767214,False,17.7,1,17.7,38.9,138.3
Lee's Loop,235767215,False,24.6,1,24.6,92.7,289.7
Lew's Leap,235767216,False,28.1,0,28.1,179.3,902.6
Throbulator,235767217,False,35.7,1,35.7,97.9,237.4
Y-Knot,235767218,False,28.3,1,28.3,55.0,147.1
Dixiland,235767236,False,31.5,1,31.5,220.9,619.3
Caveman,235767237,False,25.0,1,25.0,123.2,337.7
