name,id,is_area,difficulty,difficulty_modifier,steepest_pitch,vert,length
Nile Mile,52014466,False,15.0,0,15.0,237.4,1415.1
Cliffhanger,52050245,False,26.5,0,26.5,220.3,735.4
Bactrain,52113268,False,13.6,0,13.6,149.1,1059.8
Pharaoh,52113269,False,25.4,0,25.4,110.3,361.6
Pocono Raceway,389470522,False,19.3,0,19.3,134.5,624.7
Little Ceasar,389474769,False,5.8,0,5.8,22.2,336.2
Julius Caeser,389474772,False,10.0,0,10.0,67.6,686.5
Upper Marc Antony,389474775,False,8.5,0,8.5,71.1,643.4
Near East,389474779,False,13.9,0,13.9,33.2,165.0
Upper Cleopatra,389477804,False,15.0,0,15.0,63.3,284.5
Uncle Bill's Way,389477805,False,21.7,0,21.7,58.2,191.6
Big Pocono,389477806,False,22.6,0,22.6,80.6,300.0
Marjie's Delight,389477807,False,28.0,0,28.0,114.7,327.8
Rocket,389477808,False,27.5,0,27.5,108.8,289.8
Sullivan Trail,389477809,False,15.2,0,15.2,54.3,289.6
Birches,389481190,False,13.4,0,13.4,100.9,782.9
Laurel Glade,389481194,False,17.7,1,17.7,83.8,370.7
Meadows,389481197,False,14.3,0,14.3,57.8,298.7
King Tut,389481200,False,18.0,0,18.0,120.2,483.8
Hump,389481204,False,28.8,0,28.8,101.3,266.8
Asp,389481207,False,27.1,0,27.1,112.9,295.0
Sphinx,389484359,False,14.2,0,14.2,39.5,191.4
Honeymoon,389484360,False,12.8,0,12.8,102.1,683.5
Rhododendron Trail,389487908,False,17.4,0,17.4,94.8,360.4
Lower Moore's Ramble,389487909,False,12.9,0,12.9,34.8,178.6
Turkey Trot,389556916,False,14.8,0,14.8,76.9,440.2
Upper Moore's Ramble,389556918,False,14.5,0,14.5,56.4,266.6
Oak Groove,389556920,False,16.8,0,16.8,57.1,244.5
Lower Marc Antony,389556923,False,14.8,0,14.8,118.2,651.5
James Way,389556926,False,5.0,0,5.0,8.4,113.6
Lower Cleopatra,389556929,False,14.7,0,14.7,103.5,527.2
Old Main Lane,389556931,False,12.0,0,12.0,17.1,92.5
John Bailey,389556932,False,14.5,0,14.5,42.0,197.8
Sunbowl,389556933,False,8.9,0,8.9,25.7,191.3
SnowTube,389557248,False,9.8,0,9.8,23.7,183.8
