name,id,is_area,difficulty,difficulty_modifier,steepest_pitch,vert,length
Alley Cat,392650004,False,22.0,0,22.0,60.7,215.4
Beginner's Luck,392650005,False,4.7,0,4.7,3.8,56.9
Easy Way,392650006,False,6.7,0,6.7,15.7,184.5
Lower Omigosh,392650007,False,12.7,0,12.7,51.7,326.3
Lower Snowbird,392650008,False,13.7,0,13.7,64.6,399.3
Over Easy,392650009,False,17.1,0,17.1,35.7,315.8
Rabbit Hill,392650010,False,12.4,0,12.4,23.3,158.1
Rock Island Run,392650011,False,16.3,0,16.3,64.0,264.6
Short N Sweet,392650012,False,16.1,0,16.1,31.9,159.9
Turkey Trot,392650013,False,8.4,0,8.4,16.3,144.2
Upper Omigosh,392650014,False,22.5,0,22.5,81.7,228.1
Upper Snowbird,392650015,False,17.0,0,17.0,75.3,435.2
Upper Turkey Trot,392650016,False,9.7,0,9.7,20.9,172.5
Wild Cat Glade,392650017,False,15.1,1,15.1,25.9,140.6
Wolf Creek Hollow,392650018,False,4.9,0,4.9,4.5,79.3
