name,id,is_area,difficulty,difficulty_modifier,steepest_pitch,vert,length
Gold Digger,54674379,False,24.5,0,24.5,193.3,775.3
Highline,73228898,False,36.1,0,36.1,407.1,1118.8
Calendar Chute,73228900,False,37.5,0,37.5,147.3,296.4
Sawtooth,73228906,False,37.5,0,37.5,419.1,1234.1
Crosscut,73228914,False,26.3,0,26.3,321.9,1141.3
Main Vein,87103614,False,21.4,0,21.4,335.0,1334.8
Main Vein_0,87103615,False,25.9,0,25.9,111.4,532.2
Andy's Encore,87103617,False,25.1,0,25.1,592.2,2465.4
Rosi's Run,87103618,False,25.9,0,25.9,337.4,1084.0
Green Acres,87103620,False,8.3,0,8.3,11.2,100.9
Ptarmigan,87103622,False,25.1,0,25.1,254.8,997.7
Collage,87103623,False,24.9,0,24.9,600.1,2433.9
Black Bear Glade,87103624,False,32.5,1,32.5,238.1,592.2
Freefall Glade,87103625,False,31.1,1,31.1,265.8,677.7
Cornice Chute,87104958,False,38.3,0,38.3,157.2,366.2
Marvin Gardens,87104959,False,35.9,0,35.9,143.3,372.2
Park Place,87104960,False,33.7,0,33.7,114.6,260.7
Patrol Chute,87104961,False,37.8,0,37.8,149.3,355.1
Boardwalk,87104962,False,12.6,0,12.6,20.3,197.5
Atlantic Cornice,87104966,False,35.3,0,35.3,121.9,321.1
Pacific Cornice,87104969,False,38.0,0,38.0,109.7,249.7
So Fine,87104971,False,38.0,0,38.0,120.9,278.6
Double Zero,87104979,False,30.4,0,30.4,108.5,259.8
Triple Zero,87104980,False,33.9,0,33.9,116.6,276.9
Drain Pipe,87104981,False,35.4,0,35.4,101.5,275.0
Rhapsody,87886878,False,21.3,0,21.3,97.9,442.1
Upper Sluice,126245103,False,26.7,0,26.7,60.2,207.1
Indian Ridge,126245109,False,32.6,0,32.6,77.4,274.9
Coppertone,126245111,False,18.9,0,18.9,438.4,2778.8
Little Trees,126245122,False,28.6,0,28.6,71.7,220.6
Clear Cut,146976138,False,14.2,0,14.2,54.3,262.4
Copperfield,146976140,False,18.3,0,18.3,333.0,1517.5
Windsong,146976141,False,18.5,0,18.5,336.3,1502.7
Tempo,146976142,False,17.4,0,17.4,89.7,369.4
American Flyer,146976143,False,20.5,0,20.5,295.6,1334.8
Little Burn,146976144,False,23.4,0,23.4,307.9,1208.3
I-Way,146976146,False,13.6,0,13.6,58.0,440.6
Jacque's Pique,146976148,False,22.9,0,22.9,217.5,931.3
The Moz,146976150,False,27.7,0,27.7,318.7,1402.0
Foul Play,146977608,False,21.0,0,21.0,108.0,399.0
Fair Play,146977612,False,24.7,0,24.7,306.0,1115.9
Copperopolis,146977614,False,21.5,0,21.5,169.2,664.4
Skid Road,146977617,False,20.2,0,20.2,242.9,1809.6
Bittersweet,146977619,False,23.1,0,23.1,166.4,557.3
Bouncer,146977620,False,23.5,0,23.5,427.2,1777.2
Frank's Fave,146977621,False,19.4,0,19.4,86.2,484.2
Soliloquy,146990483,False,17.7,0,17.7,325.9,1907.8
Loverly,146991638,False,16.5,0,16.5,84.2,468.5
West Ten Mile,146991639,False,15.7,0,15.7,187.9,1216.0
Woodwinds,146991640,False,16.0,0,16.0,165.5,832.0
High Point,146991641,False,17.1,0,17.1,270.4,1686.7
Woodwinds Traverse,146991642,False,12.2,0,12.2,133.7,1304.5
Fairway,146991643,False,13.9,0,13.9,101.4,670.9
Vein Glory,146991644,False,23.0,0,23.0,297.3,1468.4
Scooter,146991645,False,17.8,0,17.8,213.4,1138.5
Prospector,146991646,False,14.1,0,14.1,93.1,612.8
Hidden Vein,146991647,False,16.8,0,16.8,99.8,500.4
Loverly Lane,146991648,False,13.5,0,13.5,37.9,243.3
Roundabout,146991649,False,17.8,0,17.8,372.1,2940.5
Minor Matter,146991650,False,8.3,0,8.3,66.0,673.5
Catalyst Terrain Park,146991651,False,19.4,0,19.4,194.5,1016.3
Easy Feelin',146991652,False,19.4,0,19.4,267.6,1410.6
I-Dropper,146991657,False,19.9,0,19.9,187.2,727.6
Otto Bahn,149594584,False,12.5,0,12.5,206.6,1891.9
Formidable,149597434,False,27.8,0,27.8,317.7,925.5
B-Traverse,149597438,False,22.8,0,22.8,118.8,565.5
Kaboom,175520627,False,31.5,0,31.5,228.1,859.2
Enchanted Forest,191640046,False,37.2,0,37.2,121.1,966.3
Lower Enchanted Forest,229188259,True,35.3,0,35.3,234.8,675.0
Carefree,268365919,False,18.1,0,18.1,154.1,766.6
Far East,270657514,False,27.9,0,27.9,516.2,1676.5
Too Much,270657518,False,28.6,0,28.6,572.0,1838.5
Triple Threat,270658775,False,25.5,0,25.5,566.7,1790.4
West Encore,270661250,False,16.1,0,16.1,137.7,804.2
17 Glade,270661817,False,32.6,1,32.6,173.5,411.5
Cabin Chute,270662516,False,29.4,0,29.4,314.9,1263.9
Oh No,270662554,False,25.0,0,25.0,280.3,1267.5
Brennan's Grin,270663566,False,25.5,0,25.5,221.5,816.3
CDL's Trail #20,270663567,False,24.9,0,24.9,235.4,873.3
Mine Dump,270663568,False,22.9,0,22.9,230.4,795.0
Hallelujah,270663569,False,28.2,0,28.2,175.8,541.8
