name,id,is_area,difficulty,difficulty_modifier,steepest_pitch,vert,length
East Slope,260125046,False,20.6,0,20.6,156.7,691.5
Lower Beginner's Luck,260125047,False,13.4,0,13.4,116.1,879.7
Gibson Pitch,260125048,False,24.3,0,24.3,72.4,260.7
Snow Train,260125050,False,12.2,0,12.2,47.0,346.3
Jimmy's Run,260125051,False,8.5,0,8.5,23.3,238.3
The Alley,260125052,False,12.1,0,12.1,9.3,90.5
Roundabout,260125053,False,18.2,0,18.2,49.0,259.8
Lucky Pitch,260125054,False,14.8,0,14.8,18.0,83.3
Gibson,260125055,False,14.1,0,14.1,84.3,528.5
Koessler,260125056,False,26.5,0,26.5,143.8,376.0
Beginner's Basin,260125057,False,9.0,0,9.0,11.4,74.6
Schneider,260125058,False,20.5,0,20.5,108.4,445.5
Lower Koessler,260125059,False,17.7,0,17.7,34.0,125.3
Lower Schneider,260125060,False,18.2,0,18.2,49.3,220.2
South Slope,260125061,False,16.8,0,16.8,163.3,802.0
Artist Falls,260125062,False,22.5,0,22.5,143.0,509.3
The Alley_0,260125063,False,18.9,0,18.9,190.5,829.0
The Ledges,260125066,False,26.2,0,26.2,176.8,674.0
Upper Beginner's Luck,260125068,False,9.8,0,9.8,42.1,399.2
Easy Street,260125069,False,16.7,0,16.7,27.0,180.7
South Slope_1,260125070,False,13.9,0,13.9,30.2,197.6
Lower Gibson,260125071,False,13.0,0,13.0,35.6,338.0
Outta Luck,260125072,False,7.3,0,7.3,32.2,523.0
Macaroni,260125073,False,10.5,0,10.5,47.2,337.7
Gentoo,260125074,False,12.5,0,12.5,39.7,338.9
Lower Hurricane,260127649,False,24.0,0,24.0,126.9,440.6
Lower Skimeister,260127650,False,20.9,0,20.9,168.4,861.3
Lower Kandahar,260127651,False,25.4,0,25.4,150.7,589.3
Rockhopper,260127652,False,9.4,0,9.4,15.2,109.4
Middle,260127653,False,25.3,0,25.3,104.1,315.6
Bandit,260127654,False,16.1,0,16.1,77.2,505.3
Zip Trail,260127655,False,20.2,0,20.2,115.5,387.8
Chinstrap,260127656,False,10.9,0,10.9,32.7,215.4
Pine Line Glades,260127657,False,20.2,1,20.2,65.7,219.0
Triple Shot,260127658,False,13.2,0,13.2,21.3,112.0
Lower Arlberg,260127659,False,21.3,0,21.3,126.5,419.6
Hurricane,260127661,False,23.8,0,23.8,167.2,581.1
Lower Tommy's Trail,260127662,False,5.5,0,5.5,5.3,138.1
Jughandle,260127664,False,21.5,0,21.5,80.7,272.3
North Slope,260127667,False,19.4,0,19.4,189.2,802.6
Upper Tommy's Trail,260127670,False,12.0,0,12.0,69.9,757.4
Rattlesnake,260127673,False,16.0,0,16.0,87.8,455.0
Arlberg,260127675,False,22.0,0,22.0,177.3,677.7
Connector,260127677,False,10.3,0,10.3,23.5,170.2
NOrth Conway,260127679,False,23.3,0,23.3,160.3,537.1
Evergreen,260127682,False,19.2,0,19.2,48.7,224.0
Black Forest Glades,260127686,False,19.7,1,19.7,56.2,228.3
Emperor,260127687,False,14.6,0,14.6,47.0,382.6
Tree Meister Glades,260127692,False,24.2,1,24.2,133.5,414.5
Kandahar,260127696,False,21.2,0,21.2,121.5,647.5
Split Decision,260127698,False,18.6,0,18.6,70.4,347.4
Competition Slope,260127699,False,20.1,0,20.1,123.4,469.2
Quad Chute,260127701,False,13.0,0,13.0,35.2,306.3
Skimeister,260127702,False,20.7,0,20.7,162.7,687.8
Beech Glades,260127703,False,14.8,1,14.8,45.0,217.9
Red Pine Glades,260127704,False,18.6,1,18.6,35.2,210.5
Gibson Chutes,260127705,False,23.9,1,23.9,71.2,235.8
Easy Street_2,334084944,False,16.6,0,16.6,59.3,425.5
 _3,334084945,False,9.2,0,9.2,21.8,214.8
Gibson Chutes_4,568782342,False,18.9,0,18.9,78.7,377.2
Gibson Chutes_5,568782343,False,19.1,0,19.1,48.1,184.5
Gibson Chutes_6,568782344,False,16.5,0,16.5,45.8,175.4
Kandahar_7,958685143,False,15.6,0,15.6,31.1,240.3
