name,id,is_area,difficulty,difficulty_modifier,steepest_pitch,vert,length
Solace,261447174,False,24.7,0,24.7,176.7,898.5
Supreme,261447175,False,21.1,0,21.1,361.8,1466.8
Orion,261447176,False,28.3,0,28.3,369.4,1666.7
Nugget,261447177,False,21.8,0,21.8,78.4,307.3
Hillside,261448814,False,33.5,0,33.5,248.0,619.6
Walker,261448815,False,17.0,0,17.0,37.4,412.7
Dakota,261448816,False,21.1,0,21.1,65.7,216.2
Solace_0,261448817,False,29.1,0,29.1,155.8,363.2
Ore Cart,261448818,False,16.7,0,16.7,50.5,226.2
Domingo,261448819,False,29.2,0,29.2,149.2,388.1
 _1,261448820,False,4.8,0,4.8,5.1,95.0
 _2,261448821,False,8.9,0,8.9,5.1,51.2
Conviction,261448822,False,31.2,0,31.2,167.3,348.4
Buckeye,261448823,False,27.8,0,27.8,77.7,366.1
Empire Bowl,261448824,False,31.3,0,31.3,215.8,977.3
Webster,261448825,False,19.4,0,19.4,180.7,1102.2
Argus,261448826,False,33.8,0,33.8,305.7,698.8
Centennial,261448827,False,35.5,1,35.5,329.0,1074.5
Pearl,261448828,False,18.3,0,18.3,213.0,1623.6
Magnet,261448830,False,30.2,0,30.2,282.0,708.2
Lucky Jack,261449725,False,17.4,0,17.4,69.3,485.4
Daly Bowl,261449726,False,36.7,0,36.7,145.8,400.1
 _3,261449727,False,37.8,0,37.8,63.0,132.5
Bandana,261449728,False,17.7,0,17.7,213.4,1207.4
Daly Chutes,261449729,False,44.8,0,44.8,142.1,481.1
 _4,261449730,False,39.4,0,39.4,54.1,82.0
Keetly,261450430,False,9.1,0,9.1,55.1,541.0
Cresent,261450431,False,24.4,0,24.4,93.2,277.1
Fairview,261450432,False,19.0,0,19.0,113.6,413.9
Deer Hollow,261450433,False,17.3,0,17.3,261.6,1622.7
Jordanelle,261450434,False,21.9,0,21.9,68.0,230.4
Mountaineer,261450435,False,25.9,0,25.9,251.4,888.7
Silver Hill,261450436,False,24.8,0,24.8,158.3,492.5
Dynamic,261450437,False,27.8,0,27.8,176.6,434.7
Sunrise,261451464,False,15.8,0,15.8,52.4,451.7
Wide West,261451465,False,10.7,0,10.7,41.6,289.8
Big Stick,261451466,False,25.1,0,25.1,277.7,941.6
White Owl,261451467,False,27.4,0,27.4,137.0,407.8
Champion,261451468,False,29.8,0,29.8,179.6,473.5
Rosebud,261451469,False,14.2,0,14.2,119.4,917.1
Rising Star,261451473,False,13.9,0,13.9,43.3,251.6
Navigator,261451477,False,19.0,0,19.0,118.9,952.0
Last Chance,261451481,False,17.7,0,17.7,152.5,821.1
Silver Link,261451487,False,17.2,0,17.2,75.8,544.4
Little Kate,261451490,False,23.4,0,23.4,92.6,312.6
Roamer,261451493,False,24.8,0,24.8,125.8,642.4
Silver Dollar,261451496,False,8.1,0,8.1,50.6,586.9
Solid Muldoon,261451499,False,26.1,0,26.1,294.5,1041.8
Little Stick,261451503,False,15.0,0,15.0,81.0,550.9
Lucky Bill,261451506,False,28.5,0,28.5,121.4,327.2
Know You Don't,261451508,False,29.8,0,29.8,167.9,410.9
Little Stick_5,261451511,False,18.6,0,18.6,239.5,1643.0
Kimberly,261451517,False,18.9,0,18.9,169.8,805.6
Success,261451520,False,17.9,0,17.9,354.5,1739.3
Dew Drop,261451521,False,18.9,0,18.9,113.0,578.6
Sultan Connection,261451776,False,16.1,0,16.1,116.8,1160.7
McHenry,261451777,False,11.7,0,11.7,64.2,739.4
Trainer,261611764,False,11.8,0,11.8,25.9,288.6
Birdseye,261611765,False,24.6,0,24.6,345.0,1298.2
Gilt Edge,261611766,False,18.1,0,18.1,24.7,181.8
Ontario,261611767,False,14.1,0,14.1,297.6,2119.7
Sunset,261611770,False,9.3,0,9.3,55.5,480.8
Homeward Bound,261611771,False,15.1,0,15.1,347.5,2890.3
Little Reb,261612415,False,21.1,0,21.1,65.1,262.0
Race Course,261612416,False,18.8,0,18.8,104.7,530.9
Nabob,261612417,False,23.9,0,23.9,412.4,1432.2
Sunset Glade,261612418,False,30.2,1,30.2,119.6,361.7
Emerald,261612419,False,28.7,0,28.7,133.0,386.6
North Star,261612420,False,27.9,0,27.9,159.5,538.1
Rattler,261613507,False,29.5,0,29.5,230.3,593.5
Wizard,261613508,False,27.6,0,27.6,324.1,909.8
Legal Tender,261613510,False,25.8,0,25.8,405.4,1168.2
Keno,261613511,False,27.2,0,27.2,400.3,1195.1
Reward,261613818,False,28.8,0,28.8,307.8,985.8
Tycoon,261613820,False,27.8,0,27.8,533.6,1627.4
Hidden Treasure,261871743,False,23.5,0,23.5,264.7,1367.9
Hidden Treasure_6,261871744,False,26.5,0,26.5,61.1,274.9
