name,id,is_area,difficulty,difficulty_modifier,steepest_pitch,vert,length
The Rumor,252165984,False,38.4,0,38.4,178.0,452.3
Hawkeye,252167071,False,28.6,0,28.6,193.8,588.3
Chatiemac,252167357,False,29.5,0,29.5,286.2,919.7
Straight Brook Glades,252168341,True,27.7,1,27.7,147.1,345.1
Chatiemac Glades,252168342,True,28.8,1,28.8,143.7,314.0
Double Barrel,252169150,True,32.3,0,32.3,123.9,308.7
Lies,252170193,False,35.2,0,35.2,150.3,354.5
Upper Steilhang,252172215,False,19.9,0,19.9,87.6,629.6
Cloud,252172216,False,20.7,0,20.7,87.3,650.3
Upper Darby,252177592,False,22.9,0,22.9,68.3,314.0
Open Pit,252177593,False,24.7,0,24.7,74.8,230.2
Headwaters,252178408,False,23.8,0,23.8,169.7,775.8
Dell,252178515,False,14.3,0,14.3,24.4,168.3
The Glen,252178656,False,27.3,0,27.3,27.7,124.5
Mica,252180111,False,19.8,0,19.8,27.7,162.5
Mineshaft Glades,252180368,True,17.6,1,17.6,33.3,136.5
Lower Steilhang,252180626,False,26.8,0,26.8,88.6,410.0
Hullabaloo,252184010,False,24.0,0,24.0,78.9,244.2
Lower Darby,252184134,False,23.1,0,23.1,51.4,166.8
Santanoni,252184260,False,19.0,0,19.0,14.8,57.7
Little Cloud,252184804,False,10.5,0,10.5,16.2,184.8
Wood Lot South,252185284,False,16.4,0,16.4,52.6,287.9
Woodchuck,252185437,False,18.6,0,18.6,50.8,302.0
Lower Cloud Traverse,252189477,False,20.2,0,20.2,77.4,843.9
Darby Woods,252192092,True,19.3,0,19.3,46.5,145.3
Pine Knot,252195508,False,31.1,0,31.1,182.1,707.2
Uncas,252195509,False,33.3,0,33.3,177.0,709.8
Lower Uncas,252195900,False,31.3,0,31.3,72.4,219.7
Tannery,252196724,False,14.1,0,14.1,110.9,818.6
Topridge,252198017,False,32.8,0,32.8,289.8,990.2
High Pines Glades,252198601,True,28.2,1,28.2,186.1,507.0
Pinebrook Glades,252199905,True,20.4,1,20.4,50.9,249.9
Cave Glades,252201780,True,12.8,1,12.8,26.5,159.3
Foxlair,252203458,False,18.0,0,18.0,117.1,628.4
Fairview,252209898,False,20.5,0,20.5,59.2,284.4
Ruby Run,252209902,False,12.2,0,12.2,62.5,605.8
Lower Wood In Traverse,252212618,False,12.3,0,12.3,24.8,334.9
Upper Wood In,252212619,False,7.3,0,7.3,14.5,214.9
The Loop,252212620,False,9.7,0,9.7,30.6,254.2
Pete Gay,252213394,False,17.1,0,17.1,205.5,1231.3
Wood Out,252213590,False,12.7,0,12.7,70.2,729.8
