name,id,is_area,difficulty,difficulty_modifier,steepest_pitch,vert,length
 _2,391691621,True,20.6,1,20.6,86.8,364.4
 _3,391691623,False,5.1,0,5.1,2.8,31.6
Angel's Elbow,391691624,False,14.4,0,14.4,76.5,511.9
Barracuda,391691625,False,9.9,0,9.9,21.5,142.6
Barracuda_4,391691626,False,20.8,0,20.8,88.4,393.9
Blazer,391691627,False,10.2,0,10.2,14.4,150.4
Charger,391691628,False,23.4,0,23.4,53.0,311.4
Cherokee,391691629,False,6.6,0,6.6,16.3,167.7
Cobra,391691630,False,19.8,0,19.8,93.2,460.5
Cobra_5,391691631,False,8.9,0,8.9,6.0,58.0
Comet,391691632,False,20.7,0,20.7,76.5,312.6
Comet_6,391691633,False,8.3,0,8.3,46.9,432.7
Cougar,391691634,False,17.4,0,17.4,30.4,299.4
Firebird,391691635,False,24.5,0,24.5,49.6,220.4
Imperial,391691637,False,20.5,0,20.5,93.9,464.1
Jaguar Half Pipe,391691639,False,12.3,0,12.3,37.9,255.6
Jaguar,391691645,False,18.0,0,18.0,62.5,401.3
Jaguar_7,391691646,False,13.3,0,13.3,8.9,42.1
Lower Continental,391691649,False,11.4,0,11.4,57.8,426.8
Model T,391691651,False,9.3,0,9.3,34.9,391.6
Mustang,391691653,False,14.2,0,14.2,18.6,109.4
Outback,391691655,False,22.0,0,22.0,80.8,478.0
Rambler,391691656,False,15.9,0,15.9,108.7,918.5
Riviera,391691663,False,19.8,0,19.8,54.6,355.8
Road Runner,391691666,False,20.2,0,20.2,94.1,436.8
Stingray,391691669,False,15.7,0,15.7,92.3,488.4
The Bug,391691671,False,7.4,0,7.4,5.2,63.4
Thunderbird,391691672,False,24.3,0,24.3,61.3,293.8
Upper Continental,391691675,False,15.2,0,15.2,50.1,272.0
Viper,391691676,False,16.5,0,16.5,48.3,252.6
Voyager,391691677,False,11.0,0,11.0,74.1,934.4
Voyager_8,391691678,False,9.3,0,9.3,13.7,141.8
