name,id,is_area,difficulty,difficulty_modifier,steepest_pitch,vert,length
Frosty,390159178,False,9.3,0,9.3,25.6,263.4
Snowmonster Alley,390159179,False,2.2,0,2.2,0.8,34.7
Powder Puff,390159180,False,8.2,0,8.2,24.9,250.1
Snowflake,390159181,False,10.0,0,10.0,24.2,254.6
Ski School Slope,390159182,False,2.5,0,2.5,3.7,104.6
Ridge Run,390159183,False,12.8,0,12.8,80.5,608.2
Easy Rider,390159184,False,14.0,0,14.0,60.6,376.0
Jane's Lane,390159185,False,16.9,0,16.9,104.3,671.9
Lehigh,390160773,False,17.6,0,17.6,119.3,783.0
One Park,390160774,False,17.7,0,17.7,119.8,722.3
Exhibition,390160775,False,19.0,0,19.0,118.8,705.6
Dematte's Demise,390160776,False,17.2,0,17.2,124.1,702.8
T-Bolt Blade,390160777,False,18.4,0,18.4,126.6,671.2
The Challenge,390160778,False,20.0,0,20.0,129.9,684.9
Thunderbolt,390160779,False,12.1,0,12.1,26.4,166.9
Sno Chute,390160780,False,6.1,0,6.1,7.3,102.3
River Shot,390160781,False,25.7,0,25.7,103.2,525.4
Floyd's Folly,390160782,False,26.1,0,26.1,102.0,613.2
Telstar,390160783,False,16.3,0,16.3,49.8,366.3
Solitude,390160784,False,20.8,0,20.8,52.9,328.1
Lightning,390160785,False,20.7,0,20.7,54.5,338.7
Snowtubing,390160799,False,15.5,0,15.5,16.9,103.3
