name,id,is_area,difficulty,difficulty_modifier,steepest_pitch,vert,length
Haywood,103288304,False,21.8,0,21.8,171.7,712.8
Spring Dipper,129172087,False,19.3,0,19.3,226.7,1209.7
Wild Irishman,129172088,False,24.4,0,24.4,366.0,1590.9
Frenchman,129172089,False,24.3,0,24.3,448.7,1839.3
Paymaster,129172090,False,21.7,0,21.7,382.4,1801.0
Jackface,129172091,False,28.0,0,28.0,104.5,362.7
Schoolmarm,129172092,False,20.3,0,20.3,711.5,4705.3
Santa Fe,129172135,False,25.9,0,25.9,260.3,1303.7
Go Devil,129172136,False,24.4,0,24.4,292.5,1407.7
Ballhooter,129172137,False,28.0,0,28.0,97.8,459.7
Bullet,129248962,False,28.3,0,28.3,235.7,623.5
Mine Shaft,129248963,False,27.9,0,27.9,309.9,817.5
Diamond Back,129248964,False,27.3,0,27.3,405.7,1389.1
Last Alamo,129248966,False,24.1,0,24.1,296.9,909.8
Powder Cap,129248968,False,27.3,0,27.3,349.4,1062.4
Prospector,129248973,False,20.3,0,20.3,364.5,1634.6
Prospector_0,129248977,False,10.0,0,10.0,11.7,124.1
Ambush,129248979,False,27.5,0,27.5,365.3,1122.3
Endeavor,129248986,False,14.1,0,14.1,57.3,415.2
Mozart,129248987,False,24.1,0,24.1,464.9,2015.5
Scout,129248993,False,14.9,0,14.9,52.4,336.2
Cat Dancer,129282969,False,27.9,0,27.9,486.4,1628.5
Porcupine,129282970,False,22.7,0,22.7,322.8,980.2
Geronimo,129282971,False,27.7,0,27.7,349.2,759.0
"Oh, Bob",129282972,False,21.2,0,21.2,170.8,658.5
Black Hawk,129282973,False,30.3,0,30.3,277.5,609.4
Bighorn,129282974,False,24.3,0,24.3,327.0,1060.9
Anticipation,129282975,False,24.6,0,24.6,341.8,1942.1
Elk Run,129282976,False,23.3,0,23.3,433.6,1556.0
Star Fire,129282977,False,24.7,0,24.7,482.7,1442.8
"Oh, Bob_1",129282978,False,19.4,0,19.4,48.5,178.8
Spillway,129282980,False,23.9,0,23.9,272.3,845.6
The Willows,185017102,False,12.8,0,12.8,114.8,1345.7
Lower Go Devil,185132629,False,26.0,0,26.0,188.7,721.3
Richter,185132642,False,24.3,0,24.3,131.2,486.3
Swandyke,185322947,False,22.2,0,22.2,110.6,374.0
Spring Dipper_2,185322948,False,19.6,0,19.6,261.8,1405.7
Jaybird,185322951,False,20.6,0,20.6,36.3,238.2
Jacques St. James,185322953,False,18.6,0,18.6,47.5,208.0
Modest Girl,185322955,False,20.8,0,20.8,78.4,584.8
River Run,185322957,False,21.6,0,21.6,148.1,472.5
Whipsaw,185322959,False,21.4,0,21.4,258.5,1042.8
Midland,185326812,False,20.1,0,20.1,41.9,166.6
Missouri,185326814,False,17.9,0,17.9,64.4,315.9
Silver Spoon,185326815,False,16.7,0,16.7,336.3,1715.2
 _3,185326816,False,18.6,0,18.6,38.3,221.3
Beger,185326818,False,22.1,0,22.1,147.2,618.1
Dercum's Dash,185326819,False,17.5,0,17.5,94.7,777.6
Two Sled Road,185326820,False,11.6,0,11.6,55.4,506.7
Last Hoot,185326821,False,31.0,0,31.0,300.1,948.0
Schoolmaster,185329710,False,16.1,0,16.1,129.1,707.8
Last Chance,185329712,False,15.0,0,15.0,50.0,310.9
Gassy Thompson,185329713,False,22.5,0,22.5,72.6,302.0
Silver Spoon_4,185329714,False,9.1,0,9.1,30.7,347.0
HooDoo,185329718,False,20.2,0,20.2,96.2,458.3
Flying Dutchman,185333455,False,20.7,0,20.7,255.3,1199.9
Bachelor,185333456,False,27.8,0,27.8,190.9,748.2
Easy Street,185333457,False,15.3,0,15.3,84.0,487.8
Silvermaster,185333458,False,23.8,0,23.8,40.3,213.8
The Alley,185333459,False,12.7,0,12.7,96.3,594.7
Flying Dutchman_5,185336364,False,22.8,0,22.8,201.9,831.4
Bobtail,185336365,False,18.3,0,18.3,71.7,379.3
Jaybird_6,185576796,False,12.3,0,12.3,42.3,383.9
Timberwolf,185576797,False,27.8,0,27.8,235.2,700.7
Coyote Caper,185576798,False,12.9,0,12.9,153.5,1534.6
Orfint Boy,185576799,False,20.4,0,20.4,29.7,127.5
Bear Tree,185576800,False,12.4,0,12.4,27.3,188.6
 _7,185576802,False,13.4,0,13.4,44.9,332.8
Bushwhacker,185576804,False,31.9,0,31.9,304.6,967.4
Badger,185576805,False,26.7,0,26.7,222.6,608.4
Ina's Way,185576807,False,16.7,0,16.7,55.6,453.1
Wildcat,685761629,False,25.3,0,25.3,170.3,688.3
Wildfire,685761630,False,28.1,0,28.1,282.3,896.0
Wolverine,685761631,False,21.9,0,21.9,299.5,1016.0
Pika Glades,685761632,False,26.0,1,26.0,149.3,426.2
Lodgepole,685761633,False,13.3,0,13.3,48.8,436.8
Jackwhacker,685991897,False,20.5,0,20.5,252.3,1228.3
The Window's,771416052,True,31.8,0,31.8,388.8,884.4
Main Street,889064119,False,17.8,0,17.8,141.5,642.6
Park Lane,889064120,False,18.0,0,18.0,131.1,593.0
I-70,889064121,False,23.0,0,23.0,107.3,431.6
Packsaddle Bowl,889064122,False,22.2,0,22.2,106.5,352.9
Learning Area,889064123,False,12.1,0,12.1,30.4,204.7
 _13,889064124,False,6.9,0,6.9,31.5,365.3
The Grizz,889064125,False,22.9,1,22.9,313.4,1002.9
Crosscut,889064666,False,20.5,0,20.5,66.3,344.5
The Edge,889064667,False,21.9,0,21.9,80.3,372.9
Flying Dutchman_14,947762955,False,14.4,0,14.4,33.4,183.3
