name,id,is_area,difficulty,difficulty_modifier,steepest_pitch,vert,length
First Class Area,390261303,False,6.7,0,6.7,28.1,353.6
Sneaky Pete,390274092,False,10.7,0,10.7,27.1,170.5
Lower Blue Streak,390274093,False,9.0,0,9.0,71.8,598.8
Nova,390274094,False,8.3,0,8.3,36.1,402.0
East Side Park,390274095,False,10.7,0,10.7,49.2,365.7
Adventure Alley,390274096,False,11.4,0,11.4,23.9,147.5
Vertigo Park,390274097,False,19.0,0,19.0,76.8,484.3
West Side Park,390274098,False,17.9,0,17.9,37.9,192.7
Sidewinder,390274099,False,17.6,0,17.6,41.0,245.4
Upper Strata,390274100,False,26.4,0,26.4,38.9,99.0
Lower Strata,390274101,False,21.1,0,21.1,111.9,436.2
Upper Ultra,390274102,False,28.8,0,28.8,62.5,185.4
Upper Eastwind,390274103,False,27.1,0,27.1,52.1,134.3
Lower Eastwind,390274104,False,19.0,0,19.0,94.6,349.8
Lower Ultra,390274105,False,18.9,0,18.9,79.4,283.2
Lower Heavenly,390274106,False,17.4,0,17.4,95.5,383.9
Upper Heavenly,390274107,False,17.9,0,17.9,41.9,147.5
Dipsy Doodle,390274108,False,13.2,0,13.2,121.0,930.2
White Lightning,390274109,False,23.0,0,23.0,144.8,674.8
Upper Blue Streak,390274110,False,21.4,0,21.4,95.1,396.1
Whitney's Way,670049358,False,15.7,0,15.7,100.4,482.6
First Class Area_0,670049359,False,5.9,0,5.9,31.9,398.2
Cut Through,670049361,False,3.1,0,3.1,1.7,21.0
