name,id,is_area,difficulty,difficulty_modifier,steepest_pitch,vert,length
Lower Bear Claw,143797776,False,16.4,0,16.4,201.0,1021.9
Exodus,143797777,False,15.8,0,15.8,72.2,393.4
Upper Flume,143797778,False,28.1,0,28.1,189.3,501.8
Lower Flume,143797780,False,27.4,0,27.4,254.7,736.7
Can't Dog,143797781,False,23.0,0,23.0,68.5,286.8
Bear Pause,143797784,False,14.5,0,14.5,94.5,532.5
The Link,143797785,False,13.2,0,13.2,47.5,383.9
Haulback,143797786,False,15.0,0,15.0,125.9,816.2
Grand Junction,143797788,False,13.7,0,13.7,111.9,617.1
Boom Run,143797789,False,23.0,0,23.0,449.6,2418.6
Brookway Extension,143797790,False,12.6,0,12.6,35.3,270.3
Lower Walking Boss,143797794,False,22.9,0,22.9,234.8,828.1
Bear Claw Extension,143797796,False,15.1,0,15.1,51.8,349.1
Upper Walking Boss,143797800,False,26.5,0,26.5,223.4,606.3
Big Dipper,143797801,False,27.2,0,27.2,341.2,967.8
Rolling Bear,143797804,False,21.3,0,21.3,69.0,232.8
Basin Street,143797805,False,21.5,0,21.5,148.7,436.4
Triple Trouble,143797806,False,28.8,0,28.8,279.7,866.8
Sunset,143797808,False,20.9,0,20.9,114.6,737.2
Upper Bear Claw,143797809,False,14.5,0,14.5,165.3,1091.3
Brookway,143797811,False,10.9,0,10.9,120.7,1066.6
Angel Street,143797812,False,29.0,0,29.0,216.7,495.1
Escape Route,143798182,False,19.5,0,19.5,166.5,1226.2
Rip Saw,143798183,False,32.0,0,32.0,386.4,1309.4
Upper Speakeasy,143800450,False,17.9,0,17.9,143.7,861.2
Blue Ox,143800604,False,17.7,0,17.7,291.7,1204.3
Bear Island Bypass,143800605,False,17.6,0,17.6,63.0,314.7
 _0,143800694,False,15.1,0,15.1,22.7,107.3
 _1,143800745,False,5.3,0,5.3,4.9,86.1
Flying Fox,143801112,False,24.9,0,24.9,258.1,1152.5
 _2,143801113,False,7.6,0,7.6,15.6,253.0
Upper Picked Rock,143801114,False,20.9,0,20.9,206.5,914.8
Slash,143801115,False,13.2,0,13.2,54.7,365.6
Hannah's Bypass,143801116,False,10.3,0,10.3,6.1,35.4
Crosscut,143801169,False,17.1,0,17.1,71.5,320.7
Lower Speakeasy,143801365,False,20.1,0,20.1,251.7,1121.9
 _3,143801366,False,11.3,0,11.3,8.4,44.6
Upper Rumrunner,143801367,False,25.7,0,25.7,150.7,551.4
Coolidge Street,143801376,False,22.7,0,22.7,165.2,560.5
Lower Rumrunner,143801377,False,22.2,0,22.2,152.3,551.1
Upper Northstar,143801384,False,19.7,0,19.7,117.8,427.0
Rampasture,143801385,False,19.1,0,19.1,302.9,1146.2
Lower Northstar,143801386,False,19.1,0,19.1,174.1,604.4
Lower Picked Rock,143801540,False,18.2,0,18.2,305.3,1443.3
Picaroon,143801541,False,17.9,0,17.9,246.0,1126.1
Snubber,143801543,False,11.8,0,11.8,12.5,93.9
Snubber_4,143801545,False,12.5,0,12.5,96.3,709.0
Springboard,143801546,False,14.8,0,14.8,94.5,515.2
Seven Brothers,143801547,False,17.8,0,17.8,220.1,992.0
 _5,143801548,False,5.9,0,5.9,8.1,112.4
Loon Mountain Park,143801549,False,16.9,0,16.9,265.2,1225.1
Little Sister,143801582,False,14.0,0,14.0,58.8,317.6
Jobber,143801771,False,23.2,0,23.2,238.5,755.0
Lower Twitcher,143801772,False,24.4,0,24.4,238.6,800.9
Upper Twitcher,143801773,False,26.8,0,26.8,131.3,398.0
Ken's Way,143801774,False,16.8,0,16.8,20.0,162.5
 _6,234166430,False,12.7,0,12.7,81.1,721.5
 _7,234168393,False,9.4,0,9.4,10.1,121.0
 _8,262948656,False,7.4,0,7.4,16.6,183.8
 _9,289481808,False,13.7,0,13.7,36.1,629.9
Cruiser,289481809,False,22.3,0,22.3,448.8,2080.5
Undercut,455840038,False,30.4,1,30.4,205.3,800.0
 _10,459890023,False,14.5,0,14.5,53.7,299.7
 _11,461623136,False,14.2,0,14.2,23.8,226.8
 _12,461623137,False,11.8,0,11.8,26.9,223.5
 _13,461623138,False,11.1,0,11.1,47.3,375.5
Air Site,466214761,False,27.4,0,27.4,134.6,438.0
Dropline,471934564,False,13.0,0,13.0,46.1,234.1
Missing Link,471934565,False,15.3,1,15.3,49.0,217.1
Off The Grid,472156017,False,28.4,1,28.4,126.9,482.3
Lil' Stash,472156018,False,15.3,1,15.3,57.6,390.3
Upper Walking Boss Woods,472177143,False,32.9,1,32.9,203.7,529.5
Lower Walking Boss Woods,472177145,False,22.1,1,22.1,236.2,1067.6
Haulback_14,761808939,False,8.5,0,8.5,7.6,112.3
Cruiser_15,761808940,False,14.6,0,14.6,27.3,141.8
Bail Out,761808941,False,4.2,0,4.2,2.4,65.7
Haulback_16,761915120,False,8.5,0,8.5,7.6,112.3
Cruiser_17,761915121,False,14.6,0,14.6,27.3,141.8
Bail Out_18,761915122,False,4.2,0,4.2,2.4,65.7
Skidder,880270440,False,26.8,1,26.8,115.6,300.5
Mike's Way,880270441,False,28.2,1,28.2,177.5,488.1
Harder Way,880270442,False,18.8,0,18.8,20.5,142.8
