name,id,is_area,difficulty,difficulty_modifier,steepest_pitch,vert,length
Boomerang,102019582,False,16.0,0,16.0,103.9,628.6
Nix Nox,208425171,False,26.0,0,26.0,185.6,576.0
Spillway,208425173,False,22.6,0,22.6,77.3,203.4
Richard's Run,208425175,False,26.9,0,26.9,222.5,770.2
Busy Gully,208425178,False,33.5,0,33.5,129.8,277.8
Cat's Meow,208425179,False,36.4,0,36.4,198.6,554.1
Holy Cat,208425182,False,32.4,0,32.4,72.9,232.1
Cat Walk,208426162,False,11.2,0,11.2,60.0,485.1
Excelleration,208426167,False,24.9,0,24.9,86.8,335.7
Mambo,208426170,False,17.2,0,17.2,160.4,722.1
Fire Cut,208426792,False,22.1,0,22.1,145.2,565.2
North Turtle Creek,208426793,False,17.6,0,17.6,103.7,449.7
The Face,208428061,False,22.7,0,22.7,11.2,63.3
The Face_1,208428065,False,28.2,0,28.2,92.7,357.1
Chet's Run,208428069,False,18.4,0,18.4,129.3,598.5
The Face_2,208428070,False,10.3,0,10.3,9.5,59.2
All Smiles,377602617,False,12.0,0,12.0,40.5,314.1
Avalanche Bowl,377602618,False,37.1,0,37.1,162.4,475.8
Double Dip,377602619,False,22.9,0,22.9,170.6,632.0
Over the Rainbow,377602620,False,37.7,0,37.7,294.9,627.6
Switchback,377602621,False,22.5,0,22.5,187.5,669.5
Take Off,377602622,False,14.7,0,14.7,40.5,326.6
Tempest,377602623,False,20.2,0,20.2,147.7,638.6
Tiger's Tail,377602624,False,32.6,0,32.6,122.4,352.5
Twist,377602625,False,24.7,0,24.7,201.8,765.3
Zig-Zag,377602626,False,13.9,0,13.9,101.3,820.0
Zig-Zag_4,377602627,False,17.8,0,17.8,147.4,1068.3
Zoom,377602628,False,37.2,0,37.2,173.7,360.3
Keno,377703478,False,19.8,0,19.8,104.9,489.3
Blackjack,377703479,False,19.1,0,19.1,154.9,692.2
Dealer's Choice,377703480,False,19.4,0,19.4,111.9,618.5
Forest Meadow,377703481,False,14.4,0,14.4,71.8,610.2
Roulette,377703482,False,22.9,0,22.9,144.3,616.3
Rock Chutes,624120258,False,24.3,0,24.3,43.3,286.5
Hook 'em Horns,624120259,False,20.3,0,20.3,175.5,747.9
In The Mood,624120260,False,24.6,0,24.6,152.3,616.6
Zip Basin Street,624120261,False,23.6,0,23.6,263.7,1107.4
The Plunge,624120262,False,24.8,0,24.8,65.0,308.6
Awesome,624120263,False,20.7,0,20.7,262.1,1710.6
Sunburst Chutes,624124512,False,26.1,0,26.1,123.7,363.5
Splashdown,624124513,False,30.8,0,30.8,189.3,522.2
Scrub,624124514,False,29.1,0,29.1,150.8,372.6
Perfect Bowl,624124515,False,16.2,0,16.2,92.7,464.4
Telestar,624124516,False,25.4,0,25.4,84.5,393.3
Zip Trail,624124517,False,16.7,0,16.7,117.3,957.5
Sunburst Bowl,624124518,False,19.1,0,19.1,85.1,696.7
Super Nova,624124519,False,37.3,0,37.3,97.7,365.7
Super Nova_5,624124520,False,37.4,0,37.4,132.6,532.1
Velvet Hammer,624124521,False,38.2,0,38.2,244.9,918.0
Tickler Gulch,624124522,False,21.5,0,21.5,213.6,951.1
