name,id,is_area,difficulty,difficulty_modifier,steepest_pitch,vert,length
Trudys Run,230916036,False,18.1,0,18.1,45.8,169.2
Lower Red Line,230916084,False,18.1,0,18.1,133.3,637.9
Upper Red Line,230916161,False,32.0,0,32.0,293.9,746.5
Upper Magic Carpet,230916338,False,10.2,0,10.2,24.9,243.7
Lower Magic Carpet,230916339,False,20.1,0,20.1,75.1,302.3
Vertigo,230916417,False,23.4,0,23.4,75.4,256.5
Betwixt,231011093,False,18.0,0,18.0,47.1,234.4
Up Your Sleeve,231012319,False,20.5,0,20.5,134.7,601.9
Medium,231013439,False,21.2,0,21.2,67.6,255.1
Wand,231017281,False,15.1,0,15.1,20.3,172.7
Mystery,231018831,False,31.1,0,31.1,97.8,291.9
 _0,231018834,False,14.0,0,14.0,19.8,84.2
Green Line,231019102,False,23.6,0,23.6,68.6,211.8
 _1,231019375,False,2.2,0,2.2,2.9,103.7
 _2,231019379,False,0.9,0,0.9,1.1,94.2
33 &amp; 3rd,231019602,False,27.4,0,27.4,42.6,206.4
Phoenix,231019953,False,22.0,0,22.0,64.3,317.1
Kinderspiel,231020205,False,21.4,0,21.4,128.4,481.0
Carumba,231021025,False,20.8,0,20.8,55.5,186.8
Show Off,231022216,False,21.0,0,21.0,174.7,741.0
 _3,231022964,False,13.3,0,13.3,12.0,79.4
 _4,231022965,False,19.2,0,19.2,22.1,86.6
 _5,231022966,False,12.5,0,12.5,12.0,70.2
Trick,231025596,False,22.6,0,22.6,61.5,177.2
Twilight Zone,231026070,False,25.0,1,25.0,202.3,555.1
Black Magic,231026071,False,35.3,0,35.3,126.4,328.7
Black Line,231026072,False,26.9,0,26.9,187.1,482.8
 _6,231026393,False,5.3,0,5.3,3.8,71.6
Witch,231026802,False,30.7,0,30.7,120.8,373.8
White Out,231026906,False,25.6,0,25.6,64.3,315.5
Hocus Pocus,231027033,False,16.3,0,16.3,111.8,545.9
 _7,231027417,False,17.4,0,17.4,26.0,170.1
Goniff Glade,231027736,False,31.1,1,31.1,119.9,284.6
 _8,231027906,False,18.9,0,18.9,28.8,140.6
Lower Wizard,231029071,False,25.3,0,25.3,321.0,1800.8
Upper Wizard,231029074,False,20.9,0,20.9,118.3,926.9
 _9,231029123,False,3.5,0,3.5,2.1,77.9
Broomstick,231029835,False,23.9,0,23.9,57.7,193.9
Broomstick_10,231029883,False,17.6,0,17.6,45.6,244.4
Master Magician,231030515,False,40.1,0,40.1,65.4,134.5
Lower Magician,231031018,False,26.4,0,26.4,169.1,703.1
Heart of Magician,231031019,False,29.4,0,29.4,141.2,377.7
Slide Of Hans,231031761,False,28.1,0,28.1,77.3,243.4
Sorcerer,231032916,False,27.6,0,27.6,177.4,477.1
Talisman,231033271,False,29.5,0,29.5,255.7,803.6
Potter,231033494,False,23.0,1,23.0,35.8,122.0
 _11,231035288,False,28.0,0,28.0,42.1,161.5
Bail Out,231035373,False,22.6,0,22.6,32.4,133.3
 _12,231035431,False,17.5,0,17.5,27.7,142.7
 _13,231035739,False,11.4,0,11.4,33.2,240.8
Little Dipper,231035740,False,10.6,0,10.6,53.5,404.6
Link,231036639,False,16.8,0,16.8,23.6,202.5
 _14,231036640,False,8.4,0,8.4,10.6,190.1
Enchanted Forest,231037222,False,10.9,0,10.9,7.2,46.8
The Wardrobe,231037223,False,28.5,1,28.5,216.5,595.7
Disappearing Act,231037224,False,18.9,1,18.9,41.0,153.5
The Hallows,231037225,False,21.5,1,21.5,126.6,482.7
Lower Magic Carpet_15,233003694,False,22.8,0,22.8,202.5,1255.5
 _16,233075039,False,16.8,0,16.8,14.9,55.0
Upper Magic Carpet_17,233407383,False,23.4,0,23.4,57.9,251.7
Upper Magic Carpet_18,233407384,False,20.6,0,20.6,79.7,495.1
Wand_19,233407385,False,8.6,0,8.6,9.1,78.7
Wand_20,233407386,False,17.8,0,17.8,52.7,232.3
Kinderspiel_21,233408242,False,15.4,0,15.4,44.1,243.8
Phoenix_22,233408246,False,14.4,0,14.4,43.3,258.6
Wand_23,233526506,False,22.4,0,22.4,22.9,97.5
Wand_24,233527284,False,17.4,0,17.4,56.4,328.0
Mystery_25,233527633,False,19.0,0,19.0,113.0,545.3
Trick_26,452504328,False,27.4,0,27.4,118.9,389.1
Upper Magic Carpet_27,655693910,False,7.2,0,7.2,3.9,20.5
Upper Magic Carpet_28,655693911,False,11.1,0,11.1,4.5,25.4
Séance,685754844,False,21.7,1,21.7,46.9,175.1
 _29,685754846,False,5.2,0,5.2,10.5,121.0
