name,id,is_area,difficulty,difficulty_modifier,steepest_pitch,vert,length
Second Thought,5768999,False,28.5,0,28.5,207.5,1670.2
Mission Magic,5773324,False,26.1,0,26.1,100.7,244.7
Point Six Road,5773327,False,10.1,0,10.1,9.7,326.9
Whipper Cream,352692283,False,30.3,0,30.3,174.8,442.7
Far East,352692284,False,37.3,1,37.3,181.7,407.1
 _0,352692285,False,12.0,0,12.0,60.1,461.0
Centennial Trail,352692287,False,13.5,0,13.5,52.0,599.1
 _1,352692288,False,36.8,0,36.8,390.1,836.3
High Roller,352692290,False,16.5,0,16.5,98.9,469.9
West Ridge,352692291,False,34.5,0,34.5,544.7,1103.5
Grizzly,352692292,False,34.2,0,34.2,561.6,1314.6
Upper Hot Fudge,352692294,False,23.9,0,23.9,157.9,614.9
Levitation,352692295,False,31.3,0,31.3,81.9,142.9
Huckleberry,352692296,False,28.8,0,28.8,59.2,134.6
White Bark,352692297,False,13.4,0,13.4,113.7,1279.5
Chicken Chute,352692298,False,30.8,0,30.8,207.5,525.5
 _2,352692299,False,37.9,0,37.9,145.0,282.2
 _3,352692300,False,26.2,0,26.2,43.5,147.9
 _4,352692301,False,13.0,0,13.0,16.6,167.1
Mogul Valley,352692302,False,35.5,0,35.5,206.1,416.2
Nutcracker,352692303,False,26.0,0,26.0,101.0,283.0
 _5,352692304,False,33.2,0,33.2,150.1,299.3
Purgatory,352692305,False,29.9,0,29.9,196.4,463.9
Lower Paradise,352692306,False,23.1,0,23.1,222.2,1083.1
Angelface,352692307,False,33.0,0,33.0,186.4,527.0
Spartan Headwall,352692308,False,38.8,0,38.8,164.8,424.1
Lower High Park,352692309,False,27.0,0,27.0,133.0,462.1
Far Nut,352692310,False,28.1,0,28.1,164.9,550.3
 _6,352692311,False,30.3,0,30.3,125.9,358.4
West Bowls,352692312,False,35.4,0,35.4,408.9,815.9
Grand Stand,352692313,False,22.8,0,22.8,256.1,802.6
Go Big,352692314,False,34.6,0,34.6,142.2,248.1
Longhorn,352692315,False,27.0,0,27.0,369.0,1035.7
Lower Sunrise Bowl,352692316,False,19.1,0,19.1,51.5,195.0
Point Six Road_7,352692318,False,22.1,0,22.1,64.7,556.6
Upper Second Thought,352692321,False,18.4,0,18.4,138.7,860.0
Upper Spartan,352692322,False,22.8,0,22.8,138.7,600.8
Upper Sunrise Bowl,352692323,False,30.2,0,30.2,131.3,287.7
Lower Second Thought,352692325,False,30.0,0,30.0,244.7,2026.0
 _8,352692326,False,7.0,0,7.0,15.2,158.9
 _9,470368940,False,25.0,0,25.0,35.0,122.8
 _10,470368941,False,21.0,0,21.0,150.8,626.0
East Bowls,470368942,False,32.8,0,32.8,246.9,656.8
Fox Trot,470368943,False,20.6,0,20.6,28.3,249.8
Upper Paradise,470368944,False,25.7,0,25.7,202.1,701.9
North Dakota Downhill,470368945,False,17.9,0,17.9,301.1,1903.3
First Run,470368947,False,10.2,0,10.2,19.6,139.6
Upper High Park,470368948,False,20.7,0,20.7,104.6,377.0
 _12,470368949,False,3.1,0,3.1,3.5,178.4
Lower Hot Fudge,470368950,False,17.5,0,17.5,88.3,421.4
Come One Down,766574852,False,15.2,0,15.2,294.3,2961.8
Yabba Dabba Doo,766574853,False,18.1,0,18.1,287.7,1823.8
Evergreen Terrace,766574854,False,28.0,0,28.0,249.1,945.4
Laugh Track,766574855,False,18.4,0,18.4,84.3,757.0
Two Thumbs Up,766574856,False,24.9,0,24.9,303.2,1028.3
Sunset Strip,766574857,False,23.6,0,23.6,312.8,1080.1
Sunset Strip_13,766574858,False,28.7,0,28.7,120.1,357.6
Sock it to Me,766574859,False,23.2,0,23.2,355.9,1131.6
Happy Trails,766574860,False,19.3,0,19.3,96.8,853.0
Twilight Zone,766574861,False,32.9,0,32.9,203.7,483.2
Cheers,766574862,False,21.9,0,21.9,72.5,353.5
Yada Yada Yada,766574863,False,24.1,0,24.1,96.2,283.9
Bada Bing Bada Boom,766574864,False,28.8,0,28.8,144.7,351.4
