name,id,is_area,difficulty,difficulty_modifier,steepest_pitch,vert,length
Marshmallow,160695433,False,16.3,0,16.3,227.0,1215.4
 _0,160695436,False,14.7,0,14.7,115.3,1140.4
 _1,160695437,False,31.0,0,31.0,515.5,1515.4
 _2,160695438,False,19.4,0,19.4,142.6,600.1
 _3,160695439,False,25.1,0,25.1,364.9,1589.9
 _4,160695440,False,24.6,0,24.6,153.3,642.8
 _5,161136431,False,35.2,0,35.2,284.9,968.0
 _6,161136432,False,20.3,0,20.3,139.1,1274.2
 _7,163681301,False,23.4,0,23.4,336.5,1456.4
 _8,163681302,False,22.6,0,22.6,338.4,1750.7
 _9,163681303,False,19.9,0,19.9,71.7,234.3
 _10,163681304,False,27.5,0,27.5,179.8,630.6
 _11,163681305,False,12.4,0,12.4,15.0,356.3
 _12,163681309,False,24.1,0,24.1,144.5,675.6
 _13,163681310,False,20.5,0,20.5,189.3,1064.1
 _14,163902394,False,18.5,0,18.5,139.6,917.4
 _15,163902395,False,27.8,0,27.8,251.5,914.5
 _16,163902396,False,25.0,0,25.0,294.0,1177.0
 _17,163902398,False,23.2,0,23.2,394.5,1451.4
 _18,163902399,False,17.2,0,17.2,184.0,1309.1
 _19,163902400,False,0.8,0,0.8,0.6,41.4
 _20,163902401,False,17.4,0,17.4,30.4,217.7
 _21,163902402,False,22.9,0,22.9,279.4,1153.9
 _22,163902404,False,14.7,0,14.7,38.3,215.6
 _23,163902405,False,16.0,0,16.0,85.9,593.4
 _24,163902406,False,16.6,0,16.6,32.8,165.4
 _25,163902407,False,25.4,0,25.4,146.9,468.4
 _26,163902408,False,22.3,0,22.3,100.0,424.4
Thunderbird,163902409,False,25.2,0,25.2,406.2,1480.5
 _27,163902410,False,29.9,0,29.9,157.7,417.0
 _28,163902411,False,29.4,0,29.4,200.1,670.3
 _29,163902412,False,23.6,0,23.6,192.0,635.1
 _30,163902413,False,18.2,0,18.2,125.8,660.7
 _31,163902414,False,27.1,0,27.1,178.3,544.1
 _32,163902415,False,15.8,0,15.8,75.3,491.5
 _33,163902416,False,24.7,0,24.7,202.9,819.0
 _34,163902417,False,30.1,0,30.1,630.5,1942.7
 _35,163902418,False,20.0,0,20.0,127.5,662.8
Coffee,209483171,False,26.6,0,26.6,387.6,1500.7
 _36,209483172,False,30.5,0,30.5,477.2,1372.0
 _37,209483174,False,29.6,0,29.6,393.4,1111.6
Olympian,209483175,False,22.7,0,22.7,367.0,1653.9
 _38,209483176,False,27.8,0,27.8,500.3,1336.1
 _39,209483179,False,23.2,0,23.2,250.4,1017.8
 _40,209711995,False,21.9,0,21.9,38.5,142.2
 _41,209711997,False,32.4,0,32.4,409.0,1320.0
 _42,209711999,False,7.9,0,7.9,4.3,38.4
