name,id,is_area,difficulty,difficulty_modifier,steepest_pitch,vert,length
Big Dipper,143902290,False,20.2,0,20.2,60.9,309.8
Moon Walk,143902291,False,17.9,0,17.9,41.5,194.7
Little Dipper,143902292,False,22.0,0,22.0,157.5,815.3
Big Dipper_0,143902293,False,21.9,0,21.9,209.8,1337.1
Beartrap,143902295,False,25.9,0,25.9,115.3,399.2
Sunspot,143902296,False,12.4,0,12.4,37.0,226.8
One Small Step,143902297,False,10.6,0,10.6,16.2,158.7
Cloud Nine,143902298,False,19.1,0,19.1,155.6,752.3
Thanks Walt,143902299,False,19.2,0,19.2,263.1,1403.4
Shooting Star,143902300,False,15.3,0,15.3,110.0,666.7
Milky Way,143902301,False,14.4,0,14.4,81.9,598.1
Jaws,143903017,False,28.9,0,28.9,181.9,471.3
Committed,143903018,False,21.8,0,21.8,73.2,353.3
Ripcord,143903019,False,37.3,0,37.3,140.0,337.6
Jaws_1,143903020,False,26.4,0,26.4,28.8,172.1
Second Thoughts,143903021,False,13.0,0,13.0,30.3,245.5
River Run,143903022,False,24.2,0,24.2,133.3,959.4
Plummet,143903023,False,27.6,0,27.6,285.4,863.5
Challenger,143904431,False,23.5,0,23.5,173.0,544.1
Fallen Timbers,143904433,False,23.5,0,23.5,258.8,857.7
Boulder Pile,143904435,False,26.3,0,26.3,63.2,189.2
Olympic,143904437,False,23.7,0,23.7,311.0,1260.7
PDF,143904439,False,25.2,0,25.2,75.4,237.8
Free Fall,143904440,False,25.1,0,25.1,297.9,973.2
Chute,143904442,False,25.3,0,25.3,308.1,1148.6
Little Steep,143904444,False,29.7,0,29.7,42.5,114.9
Cascade,143916386,False,22.5,0,22.5,200.3,814.2
Ledge,143916388,False,21.4,0,21.4,184.9,750.5
High Traverse,143916390,False,18.2,0,18.2,114.9,715.9
Link,143916391,False,17.7,0,17.7,88.7,806.4
Canyon,143916392,False,23.2,0,23.2,304.4,1513.4
Drifter,143916393,False,19.3,0,19.3,129.8,538.1
River Run_2,143916394,False,0.7,0,0.7,0.3,36.7
Little John,263969440,False,14.5,0,14.5,89.4,470.1
Uncle's,263969441,False,22.3,0,22.3,174.2,751.8
Cut Off,263969442,False,19.9,0,19.9,86.9,340.7
Hop,263969443,False,26.6,0,26.6,180.6,718.9
Low Traverse,263969444,False,16.7,0,16.7,109.8,984.1
Deer Run,263969445,False,12.3,0,12.3,127.2,804.9
Somerset Road,263969446,False,9.7,0,9.7,77.5,1043.6
Exhibition,263969447,False,25.7,0,25.7,484.3,2154.2
Ridge,263969448,False,21.6,0,21.6,320.0,1605.7
Cooper's Junction,263969449,False,16.8,0,16.8,83.3,464.3
Long John,263969450,False,17.2,0,17.2,484.9,3185.0
Ego Alley,263972832,False,22.6,0,22.6,234.5,1098.7
Shootout,263972833,False,18.7,0,18.7,150.0,597.9
Switchback,263972834,False,12.6,0,12.6,22.5,241.6
Tram Line,263972835,False,16.3,0,16.3,77.7,402.5
South Bowl,263972836,False,23.2,0,23.2,357.3,1581.8
Lodge,263972837,False,23.7,0,23.7,309.8,1377.8
Sweet 16,263972838,False,15.4,0,15.4,98.3,671.5
Yard Sale,263973836,False,27.9,0,27.9,55.6,200.1
 _3,263973837,False,11.8,0,11.8,19.3,145.7
Ledge_4,263973838,False,19.4,0,19.4,125.5,568.3
Snowdance Pitch,263973839,False,19.4,0,19.4,55.3,325.3
Charlie's Chase,263973840,False,20.2,0,20.2,119.9,637.4
Beaver Hill,263973841,False,15.3,0,15.3,56.4,294.8
Pat's Pitch,263973842,False,22.1,0,22.1,56.8,264.8
 _5,263973843,False,17.4,0,17.4,40.3,191.4
Drop,263973844,False,19.0,0,19.0,55.3,432.8
N.E. Time,263975276,False,12.6,0,12.6,57.5,424.2
Skyline,263975284,False,4.9,0,4.9,8.8,227.9
Rollercoaster,263975286,False,19.1,0,19.1,212.5,1037.2
Launch Pad,263975292,False,10.9,0,10.9,17.3,105.3
Overbrook,263975294,False,21.1,0,21.1,256.3,1217.1
Choke,263975298,False,19.9,0,19.9,132.7,520.1
Illusion,263975303,False,17.2,0,17.2,103.7,506.0
Inferno,263977234,False,21.4,0,21.4,174.4,911.5
Prospector,263977235,False,11.2,0,11.2,56.4,452.4
 _6,263977236,False,14.5,0,14.5,31.6,147.7
Tin Lizzy,263977237,False,4.2,0,4.2,9.0,303.8
Narrow Gauge,263977238,False,20.7,0,20.7,167.4,855.9
Nitro,263977239,False,20.6,0,20.6,290.1,1517.7
Rusty Nail,263977240,False,17.3,0,17.3,98.6,604.6
 _7,263977243,False,8.7,0,8.7,7.5,92.3
Season Pass,263977245,False,16.4,0,16.4,80.1,684.4
Grommet,263977247,False,8.2,0,8.2,15.8,184.0
The Gulch,263977250,False,17.1,0,17.1,167.4,867.3
Iron Run,263977251,False,24.6,0,24.6,151.7,738.4
Upper Fool's Gold,263977252,False,17.1,0,17.1,177.8,949.8
Mine Shaft,263977253,False,21.2,0,21.2,117.2,685.1
Tin Lizzy_8,442932775,False,8.7,0,8.7,3.8,23.9
Tin Lizzy_9,442932776,False,8.8,0,8.8,9.2,173.8
One More Time,546706343,False,19.5,0,19.5,195.1,1014.6
Snowdance,546706446,False,18.4,0,18.4,227.8,1224.7
Under Pressure,546707248,False,17.9,0,17.9,47.7,240.2
The Farm,546708522,False,26.2,0,26.2,119.8,580.6
Tunnel Vision,546708523,False,12.5,0,12.5,40.3,363.3
Moon Beam,562635779,False,15.4,0,15.4,44.4,230.9
Half Pipe,893990544,False,19.2,0,19.2,58.3,242.8
