name,id,is_area,difficulty,difficulty_modifier,steepest_pitch,vert,length
Sunrise Glade,205277301,False,23.9,1,23.9,113.0,331.0
Upper Cataract,205277302,False,21.5,0,21.5,97.1,345.3
Upper Wingding,205277303,False,18.2,0,18.2,88.4,404.0
Lower Cataract,205277304,False,20.3,0,20.3,65.5,290.2
Lower Wingding,205277305,False,18.8,0,18.8,95.6,480.6
Kartwheel,205277306,False,21.4,0,21.4,72.0,265.3
Stovepipe,205277307,False,16.5,0,16.5,45.3,303.0
Fox Run,205277308,False,15.7,0,15.7,80.3,668.1
Williamson Trail,205277309,False,14.6,0,14.6,245.6,1548.5
Porky's,205277310,False,19.4,0,19.4,25.3,234.2
Skyway Ledges,205277311,False,22.9,0,22.9,47.8,229.1
Middle Wingding,205277312,False,21.8,0,21.8,129.1,528.3
Cataract Glades,205277313,False,24.7,1,24.7,173.0,628.6
Hawes's Hideout,205277314,False,24.5,1,24.5,97.6,292.0
Sundance,205277315,False,17.2,0,17.2,53.2,270.4
Skyway,205281818,False,20.3,0,20.3,156.4,598.0
Eastside (Terrain Park),205281819,False,16.7,0,16.7,72.7,393.1
Crossover,205281820,False,8.8,0,8.8,18.8,175.9
Westside,205281821,False,20.3,0,20.3,104.1,498.1
Lift Line,205281822,False,19.6,0,19.6,98.1,353.0
Toboggan Chute,205297765,False,14.1,0,14.1,77.7,602.0
Upper Ridge,205297766,False,18.3,0,18.3,290.3,1710.5
Eggbeater,205297767,False,18.6,0,18.6,97.5,439.2
Upper Blast-Off,205297768,False,23.4,0,23.4,192.1,747.0
Goose Bumps,205297769,False,28.3,0,28.3,198.8,580.3
Lower Flying Goose,205297770,False,19.5,0,19.5,98.3,392.7
Outer Ridge,205297771,False,18.2,0,18.2,105.8,652.0
Lower Blast-Off,205297772,False,18.0,0,18.0,213.3,1160.6
Portage,205297773,False,16.1,0,16.1,33.4,177.2
Upper Hansen Chase,205297774,False,20.2,0,20.2,48.0,192.2
Lower Ridge,205297775,False,15.3,0,15.3,131.5,823.1
Kick Back,205297776,False,16.5,0,16.5,53.5,210.1
Hansen Chase,205297777,False,21.8,0,21.8,186.8,747.0
Chipmunk,205297778,False,19.8,0,19.8,276.9,1255.5
Jet Stream,205297779,False,20.5,0,20.5,125.5,622.7
Pipeline,205297780,False,17.1,0,17.1,121.7,544.3
Beck Brook,205297781,False,18.7,0,18.7,72.1,530.0
Bonanza,205297782,False,24.1,0,24.1,171.7,749.5
Upper Flying Goose,205297783,False,24.3,0,24.3,192.3,552.4
Guster,205297784,False,10.1,0,10.1,30.0,306.6
North Peak Pass,205297785,False,7.7,0,7.7,11.5,398.1
Lynx,205297786,False,25.6,0,25.6,284.1,944.6
Byway,205297787,False,15.4,0,15.4,69.3,376.9
Elliot Slope,205297788,False,19.3,0,19.3,127.3,765.5
Chase Ledges,205297790,False,23.6,0,23.6,46.9,220.9
Fly Way,260538091,False,6.0,0,6.0,17.5,456.0
Ridge Glades,260538092,False,23.1,1,23.1,101.5,482.8
Sunnyside Down,260538093,False,10.7,0,10.7,32.0,213.1
Promenade,260538094,False,8.6,0,8.6,15.1,108.0
Fin,260538095,False,7.7,0,7.7,10.8,185.5
Flip Flop,260538096,False,8.8,0,8.8,14.9,111.3
Summit Glades,260538097,False,23.4,1,23.4,79.3,390.9
Lime,260538098,False,12.5,0,12.5,23.5,228.8
Province,260538099,False,16.1,0,16.1,110.9,702.7
Smooth Sail'n,260538100,False,12.3,0,12.3,50.5,348.6
Paradise,260538101,False,10.6,0,10.6,49.6,372.2
Lemon,260538102,False,10.2,0,10.2,20.5,161.6
Coconut Grove,260538103,False,10.2,0,10.2,19.6,165.9
Paradise Glades,260538104,False,11.4,1,11.4,16.3,134.5
Spinnaker,260538105,False,21.1,0,21.1,70.4,271.5
Explorer,260538106,False,15.6,0,15.6,93.8,641.1
Calypso,260538107,False,18.7,0,18.7,69.6,397.3
Old Goat,266012690,False,13.4,0,13.4,24.8,145.7
Dare Ya,266012691,False,22.2,1,22.2,79.4,349.2
 _0,655024263,False,5.4,0,5.4,6.1,99.6
 _1,655024264,False,4.2,0,4.2,2.8,44.8
 _2,655024265,False,6.9,0,6.9,3.8,39.2
 _3,655024266,False,3.2,0,3.2,1.8,40.9
 _4,825281925,False,14.4,0,14.4,20.3,136.2
Double Dare Ya,877333349,False,22.2,1,22.2,39.7,139.8
