name,id,is_area,difficulty,difficulty_modifier,steepest_pitch,vert,length
Nashoba Trail,267927771,True,13.2,0,13.2,54.8,303.3
Indian Run,267927772,True,16.4,0,16.4,62.0,361.5
 _0,267927773,True,7.4,0,7.4,9.1,102.4
Sundance,267927774,True,15.3,0,15.3,64.1,387.6
Nashoba Glades,267927775,True,15.6,1,15.6,64.4,357.2
Snowboard Learning Area,267927776,True,6.9,0,6.9,6.6,83.0
Nashoba Slope,267927777,True,16.4,0,16.4,67.2,378.2
Wow,267927778,True,8.0,0,8.0,9.1,80.0
Pow,267927779,True,8.6,0,8.6,8.5,75.0
Papoose,267927780,True,7.9,0,7.9,7.9,73.9
Dog Leg,267927782,True,22.1,0,22.1,52.3,199.7
Wardance,267927783,True,22.1,0,22.1,67.2,288.7
Bull Run,267927784,True,21.2,0,21.2,68.0,290.2
Chief,267927785,True,20.7,0,20.7,66.6,294.6
Warrior,267927786,True,20.6,0,20.6,66.6,303.5
Big Bow,267927787,True,12.1,0,12.1,15.0,87.9
Terrain Glade,267927788,True,12.7,1,12.7,14.0,72.6
Lobo,267927789,True,19.6,0,19.6,30.1,95.9
