name,id,is_area,difficulty,difficulty_modifier,steepest_pitch,vert,length
Westridge,155734545,False,16.3,0,16.3,192.2,1098.8
Luggi's,155736222,False,16.8,0,16.8,96.9,514.9
Upper Pioneer,215895710,False,17.4,0,17.4,69.3,325.9
Lower Pioneer,215895713,False,18.8,0,18.8,198.0,903.5
The Face,215895714,False,20.9,0,20.9,91.9,358.4
Drop Off,215945365,False,24.7,0,24.7,198.6,771.9
Logger's Loop,215945368,False,24.3,0,24.3,355.1,2060.8
Condo Run,215945369,False,9.0,0,9.0,40.4,413.6
Woodchuck,215945370,False,20.2,0,20.2,129.7,672.7
Skid Trail,215945371,False,13.2,0,13.2,108.2,769.8
Cat's Face,215945373,False,18.9,0,18.9,52.7,183.6
Village Run,215945374,False,14.3,0,14.3,45.0,549.3
Cascades,215945375,False,15.4,0,15.4,89.4,439.0
Surprise,215945376,False,23.5,0,23.5,142.9,480.2
Ax Handle,215950950,False,22.0,0,22.0,194.4,847.9
Follow Me,215950951,False,30.6,0,30.6,117.4,406.7
Castle Peak,215950952,False,22.5,0,22.5,431.7,1695.7
Sierra Grande,215950954,False,28.1,0,28.1,393.2,1529.6
Challenger,215950955,False,25.5,0,25.5,362.4,1843.7
Burnout,215950956,False,25.1,0,25.1,440.2,1299.4
Lower Burnout,215950957,False,14.5,0,14.5,112.4,701.9
Drifter,215950958,False,20.6,0,20.6,333.9,1380.8
Christmas Tree,216067711,False,16.4,0,16.4,53.9,237.0
Northern Lights,216067712,False,21.2,0,21.2,232.0,940.8
Backdoor,216067713,False,7.9,0,7.9,76.2,1254.5
Home Run,216067715,False,19.2,0,19.2,166.7,930.2
The Stash,216067716,False,20.6,0,20.6,177.1,773.9
Iron Horse,216067717,False,24.9,0,24.9,517.8,1710.2
Washoe,216067719,False,25.4,0,25.4,390.2,1390.6
Boca,216067721,False,33.7,0,33.7,346.7,754.3
Lumberjack,216067722,False,13.4,0,13.4,183.3,1060.5
Promised Land,216067724,False,28.7,0,28.7,218.8,593.7
Stampede,216067725,False,36.8,0,36.8,455.7,1281.3
Prosser,216067726,False,30.6,0,30.6,522.6,1559.6
Upper Lion's Way,216067727,False,17.1,0,17.1,161.2,969.4
Martis,216067728,False,26.7,0,26.7,376.0,1165.2
Lookout Bypass,216067729,False,18.2,0,18.2,211.0,2029.7
Hoot Owl,216067730,False,19.8,0,19.8,105.8,462.2
Lookout,216067733,False,13.1,0,13.1,62.8,714.0
The Gully,216067734,False,17.5,0,17.5,230.4,894.1
Lower Main Street,216067736,False,14.2,0,14.2,61.0,398.1
Rail Splitter,216067737,False,24.6,0,24.6,356.1,1148.1
Sodergren's,216067738,False,20.7,0,20.7,207.4,828.9
Flying Squirrel,216067740,False,24.1,0,24.1,160.7,624.9
Polaris,216067742,False,24.5,0,24.5,543.6,1703.7
Tonini's,216074656,False,27.9,0,27.9,177.8,744.9
Magic Moguls,216074661,False,18.4,0,18.4,80.4,329.7
Jibboom,216074663,False,30.3,0,30.3,167.4,619.5
Pinball,216074668,False,18.3,0,18.3,260.4,1082.6
Forerunner,216074671,False,18.7,0,18.7,115.9,535.1
East Ridge,216074674,False,21.0,0,21.0,187.5,1558.9
The Chute,216074677,False,25.0,0,25.0,143.1,586.9
Grouse Alley,216074680,False,30.7,0,30.7,226.7,899.6
Moonshine,216074681,False,23.4,0,23.4,238.5,919.9
Pipeline,216074683,False,22.7,0,22.7,193.0,896.2
Powder Bowl,216074684,False,26.3,0,26.3,218.1,1075.2
Delight,216074687,False,25.7,0,25.7,67.1,241.0
Dutchman,216074688,False,26.7,0,26.7,102.1,384.0
Crosscut,216074690,False,28.5,0,28.5,116.4,446.7
Sidewinder,216074692,False,24.3,0,24.3,241.0,1023.9
Hornet's Nest,216074694,False,22.5,0,22.5,127.7,514.7
Woodcutter,216078143,False,12.5,0,12.5,48.0,532.1
Rapids,248168610,False,26.5,0,26.5,526.5,1548.5
The Islands,248169276,False,22.4,0,22.4,320.5,1161.5
Monument glade,248172853,True,24.7,1,24.7,382.8,1131.9
Sugar Pine glade,248173500,False,25.8,1,25.8,345.8,1079.2
Springboard,248415956,False,25.5,0,25.5,134.7,524.5
Stump Alley,248415957,False,19.2,0,19.2,117.9,520.4
The Plunge,248415958,False,25.0,0,25.0,121.8,403.7
Camp Glade,249412787,False,26.6,1,26.6,310.8,1034.8
Sawmill Glade,249412788,False,24.5,1,24.5,235.8,1270.6
The Gulch,249412789,False,12.3,0,12.3,91.5,715.8
White Rabbit,249412790,False,36.2,0,36.2,333.6,884.6
Boondocks,249412791,False,20.8,0,20.8,187.5,697.8
The Woods,249412792,False,18.8,0,18.8,223.3,1374.5
Down Under,311995420,False,16.3,0,16.3,89.3,561.8
Upper Main Street,311995421,False,16.3,0,16.3,66.7,354.2
 _2,837285906,False,11.5,0,11.5,58.0,565.5
Upper Martis,837285907,False,24.0,0,24.0,92.8,402.0
 _3,837400911,False,10.2,0,10.2,7.7,45.3
 _4,837400912,False,2.3,0,2.3,1.9,109.6
Village Run_5,837420591,False,3.9,0,3.9,4.3,85.8
Village Run_6,837420592,False,11.8,0,11.8,71.2,593.5
 _7,837420621,False,10.3,0,10.3,26.1,178.4
