name,id,is_area,difficulty,difficulty_modifier,steepest_pitch,vert,length
Pony Slope,407066058,False,6.3,0,6.3,9.3,112.5
Pony Slope_0,407066060,False,9.6,0,9.6,14.7,116.3
Slalom,407066062,False,23.5,0,23.5,94.1,392.0
Terrain Park,407066064,False,10.0,0,10.0,23.0,202.8
Ken's Way,407066066,False,8.5,0,8.5,34.9,348.2
Acorn,407066069,False,11.5,0,11.5,60.0,562.3
Bob's Bowl,407069335,False,13.6,0,13.6,25.9,122.9
Robber Oak,407069336,False,15.5,0,15.5,42.7,216.6
Knox,407069337,False,20.0,0,20.0,62.8,235.1
Dutchman,407069340,False,18.4,0,18.4,89.9,471.1
Ridge Run,407069344,False,17.8,0,17.8,80.3,345.7
Lift Line,407069349,False,25.2,0,25.2,72.7,202.1
J-Bar Line,407069352,False,19.7,0,19.7,76.8,333.3
John's Cliff,407069356,False,21.9,0,21.9,38.8,122.3
Glade,407069359,True,25.8,1,25.8,54.1,156.0
