name,id,is_area,difficulty,difficulty_modifier,steepest_pitch,vert,length
High Voltage,248605728,False,28.9,0,28.9,218.2,601.2
Shirley Bowl,248605914,False,29.0,0,29.0,131.7,409.7
Magoos,248605917,False,38.5,0,38.5,119.5,226.0
Mountain Run,248606026,False,20.8,0,20.8,550.9,3436.5
75 Chute,248622077,False,40.0,0,40.0,352.6,696.2
Dead Tree,248622078,False,40.5,0,40.5,283.6,600.7
Fingers,248622079,False,54.3,0,54.3,130.9,148.5
West Face Alternates,248622080,False,44.7,0,44.7,375.6,725.6
Bullet,248622081,False,28.8,0,28.8,447.9,1909.9
Rock Garden,248622082,False,41.4,0,41.4,339.8,786.9
Moseley's (aka West Face),248622084,False,37.6,0,37.6,342.3,601.8
The Slot,248622377,False,42.6,0,42.6,286.5,765.0
Horse Trails,248622378,False,32.5,0,32.5,128.1,482.7
Headwall Face,248622379,False,38.1,0,38.1,188.0,405.9
Hogsback,248622441,False,36.6,0,36.6,160.7,399.2
Mystery,249112992,False,26.5,0,26.5,109.5,470.9
Emigrant,249112993,False,20.6,0,20.6,120.8,531.0
Funnel,249112994,False,36.8,0,36.8,234.7,528.5
Freeway,249143240,False,31.8,0,31.8,200.9,1095.6
Reuter's 6th,249143241,False,28.6,0,28.6,143.3,552.2
Rainbow Bowl,249143242,False,35.9,0,35.9,155.5,718.0
Atkinson's - 3rd,249143336,False,27.9,0,27.9,149.1,510.3
Hill's - 2nd,249143338,False,35.0,0,35.0,189.2,740.4
Tomlinson's - 1st,249143339,False,31.7,0,31.7,206.4,741.1
Bailey's,249143578,False,11.8,0,11.8,107.9,1443.2
Sun Bowl,249144508,False,32.0,0,32.0,260.5,1309.9
Newport,249144509,False,25.5,0,25.5,238.8,1201.7
Montezuma's Revenge,249144511,False,29.4,0,29.4,134.4,392.2
Women's Downhill,249144512,False,36.7,0,36.7,261.3,776.8
GS Bowl,249144513,False,40.5,0,40.5,140.6,321.4
Siberia Run,249144516,False,23.1,0,23.1,215.9,968.6
Far East,249144517,False,25.0,0,25.0,145.4,518.9
 _0,249144518,False,28.1,0,28.1,151.1,358.4
Julia's Gold,249144519,False,27.8,0,27.8,247.0,775.7
Heidi's,249144520,False,35.1,0,35.1,158.2,333.1
Red Dog Ridge,249144521,False,32.3,0,32.3,189.3,1133.1
Easy Street,249144524,False,14.4,0,14.4,248.0,1845.8
Schimmelpfennig Bowl,249144525,False,34.8,0,34.8,113.8,265.9
Tamara's,249144526,False,36.4,0,36.4,259.1,532.5
Sunnyside,249144527,False,25.8,0,25.8,505.4,2646.0
 _1,249144528,False,32.3,0,32.3,226.7,502.7
Strawberry Fields,249144529,False,34.0,0,34.0,127.4,434.1
 _2,249144530,False,35.7,0,35.7,188.8,444.8
Dip o' Death,252953389,False,9.6,0,9.6,5.8,46.8
Nose,258146614,False,36.5,0,36.5,252.8,706.2
Snow King Road,439919804,False,19.0,0,19.0,159.7,1136.9
 _5,452731560,False,4.6,0,4.6,2.9,112.2
 _6,452731561,False,5.7,0,5.7,11.2,185.3
Skateboard Alley,452731562,False,18.5,0,18.5,82.2,355.7
 _7,452731563,False,38.2,0,38.2,213.1,544.0
 _8,452731564,False,40.6,0,40.6,221.6,547.2
 _9,452731565,False,28.9,0,28.9,151.1,429.4
 _10,452731566,False,30.1,0,30.1,87.7,179.3
 _11,452731567,False,35.4,0,35.4,95.6,221.7
 _12,452731568,False,47.3,0,47.3,127.4,271.5
 _13,452731569,False,36.2,0,36.2,141.3,267.8
 _14,452731570,False,53.0,0,53.0,142.3,151.8
 _15,452731571,False,40.2,0,40.2,117.8,205.9
 _16,452731572,False,37.0,0,37.0,116.2,222.4
 _17,452731573,False,35.1,0,35.1,87.4,146.3
 _18,452731574,False,28.1,0,28.1,97.0,233.4
 _19,452731575,False,38.0,0,38.0,135.7,211.9
 _20,452731577,False,28.0,0,28.0,40.6,78.8
 _21,452731578,False,41.1,0,41.1,78.7,111.4
 _22,452731579,False,43.5,0,43.5,101.1,141.1
 _23,452731580,False,50.4,0,50.4,99.2,107.7
 _24,452731581,False,45.1,0,45.1,92.6,100.5
 _25,452731582,False,44.5,0,44.5,85.5,126.7
NC,452731583,False,53.7,0,53.7,49.4,49.7
Marenka,452731584,False,51.0,0,51.0,52.4,64.5
The Castle,452731585,False,47.3,0,47.3,104.4,120.0
