name,id,is_area,difficulty,difficulty_modifier,steepest_pitch,vert,length
Willie Wynkin Woodlands,1024912202,False,16.8,0,16.8,75.7,436.8
Finsbury Field,1024912203,False,19.1,0,19.1,84.5,406.4
Nottingham's Notch,1024912204,False,14.9,0,14.9,82.8,431.8
Long Bow,1024912205,False,19.0,0,19.0,94.6,527.7
Robin Hood's Retreat,1024912206,False,16.0,0,16.0,97.8,676.8
Cross Bow,1024912207,False,20.6,0,20.6,75.0,381.0
Catapult,1024912208,False,14.8,0,14.8,31.3,151.3
Quarterstaff,1024912209,False,19.1,0,19.1,56.0,294.6
Ox Bow,1024912210,False,17.5,0,17.5,44.7,212.7
Friar Tuck's Trek,1024919048,False,13.7,0,13.7,60.3,571.3
Will O' The Wisp,1024919049,False,17.5,0,17.5,92.1,522.2
Race Arena,1024919050,False,14.6,0,14.6,45.0,250.1
Sherwood Meadow,1024919051,False,17.3,0,17.3,70.7,389.1
Sherwood Glade,1024919052,False,6.2,1,6.2,4.4,71.6
Alan-A-Dale,1024919053,False,14.4,0,14.4,97.6,613.9
King Richard's Willy-Nilly,1024990057,False,13.3,0,13.3,82.5,548.8
Kensington Cross,1024990058,False,8.7,0,8.7,12.5,133.9
Doncaster Trail2,1024990059,False,16.7,0,16.7,90.9,588.8
Oxford Way2,1024990060,False,14.5,0,14.5,87.6,519.5
Maid Marian's,1024990061,False,11.0,0,11.0,23.4,152.2
Little John's Jaunt,1024990062,False,10.2,0,10.2,22.4,167.3
Castle Lea,1024990063,False,11.7,0,11.7,23.1,160.0
Arden Wood,1024990064,False,9.7,0,9.7,18.4,142.1
Greenwood Forest Trail,1024990065,False,13.6,0,13.6,85.2,578.5
Canterbury Trail,1024990066,False,14.5,0,14.5,79.5,473.1
