name,id,is_area,difficulty,difficulty_modifier,steepest_pitch,vert,length
Lower Pike,267910959,False,18.5,0,18.5,107.5,580.9
Swinger,267910960,False,13.5,0,13.5,124.9,941.5
A Slope,267910961,False,19.2,0,19.2,100.6,448.6
A Slope Cutoff,267910962,False,21.5,0,21.5,79.5,289.1
A Slope_0,267910963,False,30.4,0,30.4,88.4,204.6
B Slope Cutoff,267910964,False,17.0,0,17.0,71.7,446.2
Bushwacker,267910965,False,14.0,0,14.0,62.2,647.8
B Slope,267910966,False,26.0,0,26.0,189.4,743.3
Sunset 71,273715148,False,25.3,0,25.3,162.5,446.0
Lower Sunset 71,273715149,False,15.9,0,15.9,124.4,551.3
Forty Niner,273715150,False,23.6,0,23.6,381.9,1492.9
Forty Niner_1,273715153,False,20.1,0,20.1,44.3,201.9
Middle Pike,273715155,False,19.0,0,19.0,243.5,1230.6
Upper K.A.,273715157,False,27.5,0,27.5,219.3,649.0
Easy Street,273715159,False,16.8,0,16.8,69.6,495.0
Middle K.A.,273715163,False,17.0,0,17.0,123.5,585.2
Upper Pike,273715165,False,29.1,0,29.1,228.2,641.9
Forty Niner_2,273715167,False,14.0,0,14.0,31.6,221.6
Lower K.A.,273715444,False,14.5,0,14.5,88.4,671.0
Sunset Schuss,273715445,False,13.1,0,13.1,113.2,814.8
C Slope,273715446,False,17.1,0,17.1,87.6,472.5
Gold Rush,273716416,False,19.9,0,19.9,130.1,614.2
Outpost Run,273716417,False,7.9,0,7.9,33.6,416.1
Poma Woods,273716418,False,17.7,1,17.7,99.2,665.4
Wrangler,273716419,False,23.0,0,23.0,123.3,434.5
Birch Glades,273716420,False,20.5,1,20.5,172.9,771.4
Prospector,273716422,False,21.0,0,21.0,78.7,452.4
Summit Glades,273716425,False,22.1,1,22.1,248.4,917.3
Stampede,273716426,False,15.3,0,15.3,36.5,197.2
Fool's Gold,273716427,False,17.3,0,17.3,132.2,823.0
Lower Giant Killer,273716428,False,16.2,0,16.2,130.3,701.8
Doozie,273716429,False,22.8,1,22.8,133.1,420.3
Bronco,273716430,False,24.2,0,24.2,134.1,429.1
Pipeline,273716431,False,24.8,0,24.8,135.4,416.5
Gold Rush_3,273716432,False,10.8,0,10.8,39.3,383.4
Upper Giant Killer,273716433,False,30.8,0,30.8,225.2,614.8
That A Way,273716434,False,15.7,0,15.7,24.6,451.5
Poma Loop,273716435,False,11.3,0,11.3,42.2,437.4
Birch Woods,273716436,False,19.3,1,19.3,141.0,588.9
Sidewinder,273716437,False,22.8,0,22.8,144.7,483.2
Summit Glades West,273716438,False,12.2,1,12.2,57.2,442.6
Expressway,273716439,False,18.5,0,18.5,133.1,611.6
Sunset Woods,273716440,False,20.2,1,20.2,89.8,391.6
Panhandler,273716441,False,17.5,0,17.5,82.7,361.8
 _4,273716810,False,18.4,0,18.4,75.4,304.2
The Draw,273716811,False,14.3,0,14.3,34.6,289.0
Sundowner,273716813,False,19.2,0,19.2,109.8,582.4
Triple Slope,273716814,False,18.4,0,18.4,110.6,519.7
Ace of Clubs,273716815,False,20.5,0,20.5,109.8,537.1
GLM,273716816,False,6.9,0,6.9,10.3,146.7
Bonanza 1,273716818,False,14.7,0,14.7,14.8,153.6
Bonanza 2,273716820,False,11.5,0,11.5,13.6,164.1
Lift Line,273716821,False,18.8,0,18.8,105.7,451.8
Charlie's Highway,556878761,False,9.7,0,9.7,9.7,306.0
Outlaw,556881011,False,25.0,0,25.0,118.3,389.5
Summit Glades East,556882196,False,13.8,1,13.8,108.7,795.3
Lasso,907937060,False,7.5,0,7.5,19.6,212.3
Exhibition,907937061,False,15.6,0,15.6,53.2,249.2
Peekaboo,907937062,False,13.0,0,13.0,24.3,217.6
Expressway_5,907937063,False,10.2,0,10.2,28.4,204.1
Home Run,907947826,False,4.7,0,4.7,10.6,243.9
Home Run_6,907947827,False,17.3,0,17.3,118.7,956.7
Summit Glades_7,907947828,False,21.5,1,21.5,40.0,110.1
Forty Niner_8,907947829,False,12.5,0,12.5,23.7,162.0
Upper Giant Killer_9,907947830,False,6.3,0,6.3,5.4,61.0
Forty Niner_10,907947831,False,14.5,0,14.5,33.5,183.3
Forty Niner_11,907947832,False,13.9,0,13.9,17.4,80.5
Forty Niner_12,907947833,False,16.4,0,16.4,38.5,182.5
