name,id,is_area,difficulty,difficulty_modifier,steepest_pitch,vert,length
sidewinder (blue),274653746,False,28.5,0,28.5,246.5,1178.0
powder country boundary,274688089,False,31.4,0,31.4,360.6,1592.5
powder country boundary_0,274688090,False,32.9,0,32.9,472.9,2261.3
East 40,766578650,False,22.6,0,22.6,385.5,2148.3
Lodge Trail,766578651,False,13.0,0,13.0,186.6,1699.4
Runaway,766578652,False,29.0,0,29.0,90.2,358.6
Drifter,766578653,False,19.2,0,19.2,240.8,1408.7
Powder Keg,766578654,False,25.9,0,25.9,145.1,519.1
Dynamite,766578655,False,31.3,0,31.3,120.4,393.0
Hidden Valley,766578656,False,30.9,0,30.9,122.9,441.2
Booger Valley,766578657,False,26.2,0,26.2,104.7,394.4
Burntwood,766578658,False,19.1,0,19.1,292.2,1475.0
Burntwood_1,766578659,False,19.9,0,19.9,91.0,441.6
White Pine,766578660,False,23.2,0,23.2,309.8,1268.7
Main Line,766578661,False,27.2,0,27.2,176.6,892.2
Dillay Dally Alley,766578662,False,20.6,0,20.6,192.8,850.4
Breakaway,766578663,False,26.6,0,26.6,142.5,445.2
Whiskey Springs,766578664,False,26.5,0,26.5,142.9,430.0
Hidden Lake,766578665,False,20.8,0,20.8,212.3,1093.0
Cornice,766578666,False,25.8,0,25.8,89.3,408.0
Boarder Cross,766578667,False,19.3,0,19.3,84.4,437.9
3 Mile,766578668,False,15.1,0,15.1,308.3,2810.3
 _2,766578669,False,21.0,0,21.0,47.9,343.6
Meadow's Express,766578670,False,19.9,0,19.9,219.4,1718.2
Rendezvous,766578671,False,16.3,0,16.3,316.2,2254.3
Serenity,766578672,False,14.7,0,14.7,191.3,1480.0
Confidence,770893660,False,15.7,0,15.7,166.7,926.4
Dead Horse,770893661,False,16.9,0,16.9,56.8,297.5
Shotgun,770893662,False,23.1,0,23.1,113.0,383.1
Winchester,770893663,False,33.9,0,33.9,164.5,620.6
Showdown,770893664,False,30.7,0,30.7,158.7,476.6
Kwick Draw,770893665,False,27.2,0,27.2,168.6,575.8
Slow Poke,770893666,False,19.1,0,19.1,177.4,1758.8
Ambush,770893667,False,24.1,0,24.1,139.6,429.1
Boot Hill,770893668,False,22.7,0,22.7,113.3,369.2
Gateway,770893669,False,21.6,0,21.6,114.8,891.9
Sunslope,770893670,False,26.2,0,26.2,156.0,538.0
Sidewinder,770893671,False,8.0,0,8.0,19.9,231.0
Ojeebus,771502658,False,20.9,0,20.9,249.1,1364.0
Left is Right,771502659,False,20.7,0,20.7,183.8,1550.2
Tuck and Roll,771502660,False,22.4,0,22.4,171.8,577.0
Down the Line,771502661,False,22.7,0,22.7,193.1,750.4
Poncho's,771502662,False,19.4,0,19.4,163.7,1048.0
Easy Peasy,771502663,False,13.4,0,13.4,84.6,598.1
Cherry Ridge,771502664,False,19.5,0,19.5,180.8,1064.6
Send It,771502665,False,24.7,0,24.7,184.7,770.2
Wonderland,771502666,False,16.9,0,16.9,263.0,1576.9
Illusion,771502667,False,21.6,0,21.6,222.6,1104.6
Big Gulp,771502668,False,22.8,0,22.8,186.8,819.1
Hairy Mary,771502669,False,18.6,0,18.6,177.3,842.1
Hippie hill,771502670,False,21.8,0,21.8,193.3,1358.6
Ojeebus_3,771502671,False,13.0,0,13.0,42.8,332.2
Sunrise,771502672,False,17.8,0,17.8,250.1,1572.0
Sunrise_4,771502673,False,20.7,0,20.7,125.6,479.5
Picnic,771502674,False,16.8,0,16.8,193.4,883.4
Mushroom Valley,771502675,False,19.4,0,19.4,226.0,1322.7
Dr. C,771502676,False,23.9,0,23.9,174.0,676.0
Clair's Run,771502677,False,23.3,0,23.3,250.0,1042.7
Catcher's Road,771502678,False,16.3,0,16.3,79.0,770.9
Sanctuary,771502679,False,26.2,0,26.2,449.0,2753.5
Cat Walk,771502680,False,14.9,0,14.9,86.3,630.5
Kobabe Canyon,771502681,False,15.0,0,15.0,465.5,3736.3
On Your Mark,771502682,False,20.5,0,20.5,197.5,756.5
North Slope,771502683,False,22.1,0,22.1,204.6,818.6
Lave View 1,778986113,False,28.0,0,28.0,173.5,448.9
