name,id,is_area,difficulty,difficulty_modifier,steepest_pitch,vert,length
Gelande Dead End,52128635,False,46.2,0,46.2,149.4,331.1
Styx,52128770,False,28.7,0,28.7,391.4,1472.6
Lower Hades,52128843,False,35.6,0,35.6,260.7,843.7
Ray's Ridge,52172063,False,23.9,0,23.9,191.2,638.4
Boudreaux's,52172067,False,30.5,0,30.5,124.1,345.7
Blackburn's Bash,52172069,False,36.0,0,36.0,451.8,1434.4
BD&amp;M Expressway,52172071,False,18.1,0,18.1,91.4,1058.0
BD&amp;M Expressway_1,52172075,False,9.7,0,9.7,98.5,1318.8
 _2,52172077,False,22.0,0,22.0,64.9,279.3
 _3,52172079,False,25.2,0,25.2,181.4,719.8
Lower Demon,52172082,False,21.0,0,21.0,117.6,503.1
Mercy,52172084,False,19.2,0,19.2,187.3,1267.3
Elliott's,52172092,False,30.6,0,30.6,439.6,1482.7
Upper Hades,52172095,False,21.6,0,21.6,182.5,914.1
No Mercy,52172096,False,20.7,0,20.7,109.9,404.8
 _4,52172097,False,22.7,0,22.7,26.7,164.3
Lower Pandemonium,52172098,False,21.6,0,21.6,52.3,249.6
Paradise,52172099,False,21.9,0,21.9,194.3,994.0
Chet's,52172505,False,25.9,0,25.9,339.2,1367.3
Sally's Run,52172530,False,24.8,0,24.8,295.9,1250.8
Vincent's,52172532,False,27.9,0,27.9,287.1,1235.5
Cathedral Freeway,52172547,False,20.8,0,20.8,222.3,924.8
Lower Bull Run,52172656,False,34.8,0,34.8,230.7,877.1
Wapiti,52172705,False,30.2,0,30.2,342.4,1161.4
Legends,52172725,False,22.8,0,22.8,293.1,2194.6
Bottom's Chute,52172737,False,28.3,0,28.3,104.8,369.7
Siegele Street,52172738,False,29.6,0,29.6,124.3,409.8
Dead Spike,52174208,False,24.8,0,24.8,348.4,1400.1
Snag,52174214,False,25.6,0,25.6,286.2,1237.2
Peace,52174221,False,18.4,0,18.4,325.5,1690.1
Harris Hill Run,52174297,False,25.3,0,25.3,164.4,757.9
Boogie,52174550,False,22.6,0,22.6,336.3,1799.2
Where,52174914,False,17.6,0,17.6,346.9,1972.5
Zinfandel,52175028,False,22.5,0,22.5,243.6,1450.4
Airmail,52175030,False,21.3,0,21.3,138.6,569.2
 _5,52175372,False,10.3,0,10.3,135.6,1755.2
Upper Demon,52175377,False,21.2,0,21.2,144.3,781.4
What,52182060,False,21.0,0,21.0,111.2,598.9
Silvertip,52182329,False,16.8,0,16.8,61.6,654.4
Pitchfork,52182914,False,22.5,0,22.5,87.4,364.4
Limbo,52183069,False,23.1,0,23.1,133.9,705.1
Westfork,52183254,False,20.9,0,20.9,109.1,564.3
 _6,52186525,False,18.4,0,18.4,129.3,845.2
Salvation,52186622,False,16.6,0,16.6,67.4,579.7
Hermosa Parkway,52186800,False,15.4,0,15.4,145.0,1227.6
Gateway,52186896,False,18.8,0,18.8,59.6,343.8
Joan's Jubilee,52186957,False,10.0,0,10.0,31.3,407.9
 _7,378450078,False,10.8,0,10.8,102.1,863.5
 _8,378450079,False,14.1,0,14.1,87.3,732.1
 _9,378450080,False,5.4,0,5.4,9.3,116.2
Path to Peace,378450082,False,17.2,0,17.2,124.1,565.8
 _10,378450084,False,26.0,0,26.0,123.5,529.6
Ambassador's Glade,378450085,False,22.3,1,22.3,153.4,653.2
Catharsis,378450086,False,22.9,0,22.9,109.1,354.1
Cherub,378450087,False,18.3,0,18.3,114.6,687.5
Cool It,378450088,False,21.5,0,21.5,76.1,296.2
Nirvana,378450089,False,12.6,0,12.6,76.9,647.4
Pandemonium,378450090,False,26.1,0,26.1,173.4,447.7
Sa's Psyche,378450091,False,14.1,0,14.1,74.3,412.9
Upper Bank,378450092,False,15.7,0,15.7,156.2,867.4
Upper Catharsis,378450093,False,27.7,0,27.7,155.6,707.7
 _11,378472000,False,23.1,0,23.1,92.8,394.4
Bull Run,378472001,False,16.3,0,16.3,47.6,212.1
Grizzly Gulley,378472002,False,30.1,0,30.1,125.2,380.6
Gunsight,378472003,False,24.0,0,24.0,53.3,130.2
Hoody's,378472004,False,25.7,1,25.7,148.3,518.0
McCormarck's Maze,378472005,False,26.7,1,26.7,240.1,863.4
Paul's Park,378472006,False,37.0,1,37.0,228.4,770.3
Poets Glade,378472007,False,24.1,1,24.1,75.7,238.7
 _12,684260659,False,4.9,0,4.9,6.6,140.5
 _13,684260660,False,14.1,0,14.1,29.8,220.4
Angel's Road,775615154,False,18.8,0,18.8,141.3,1022.2
Divinity,775615155,False,17.5,0,17.5,167.3,1264.2
Columbine,775615156,False,10.1,0,10.1,77.9,609.3
Bank,775615157,False,10.9,0,10.9,48.4,546.4
Lower Bank,775615158,False,23.2,0,23.2,137.6,651.8
Lower Divinity,775615159,False,26.6,0,26.6,120.6,537.6
Lil's Toot,775615160,False,16.9,0,16.9,64.0,333.5
Yellow Brick Road,775615161,False,22.1,0,22.1,196.1,1950.3
Major Fun,775615162,False,23.9,0,23.9,178.4,781.3
Jame's Gang,775615163,False,22.0,0,22.0,77.0,232.1
Legends_14,775615164,False,22.1,0,22.1,83.2,600.6
Dirty's Secret,775615165,False,35.5,0,35.5,119.0,336.6
