name,id,is_area,difficulty,difficulty_modifier,steepest_pitch,vert,length
 _0,153647392,False,5.6,0,5.6,4.6,121.4
Upper Lafeyette Leap,153647395,False,24.1,0,24.1,70.8,324.2
Fanny Hill,153647398,False,12.2,0,12.2,65.6,457.9
Gunbarrel,153647402,False,35.0,0,35.0,175.8,645.5
Minuteman,153647403,False,21.7,0,21.7,135.8,688.5
Exhibition,153647405,False,22.2,0,22.2,137.1,574.5
Susquehanna,153647412,False,18.1,0,18.1,111.3,583.9
Barrett's trail,153647414,False,20.7,0,20.7,70.6,365.2
 _1,153647419,False,0.2,0,0.2,0.1,12.8
 _2,153647420,False,0.7,0,0.7,0.3,17.2
 _3,153647421,False,1.0,0,1.0,0.5,9.6
 _4,153647426,False,1.7,0,1.7,1.2,13.8
Ramrod,153647427,False,28.3,0,28.3,175.8,691.6
 _5,153647432,False,2.8,0,2.8,1.5,43.6
 _6,153647433,False,11.5,0,11.5,7.5,49.6
 _7,153647435,False,13.5,0,13.5,26.5,155.1
 _8,153647441,False,7.0,0,7.0,12.3,124.7
Fife and Drum,153647444,False,16.3,0,16.3,66.5,411.7
Recruit,153647447,False,17.2,0,17.2,98.5,466.7
Lower Lafeyette Leap,153647448,False,14.1,0,14.1,63.4,333.3
Powderhorn,153784271,False,8.8,0,8.8,26.1,306.4
 _9,153784272,False,8.0,0,8.0,15.5,173.0
 _10,153784273,False,12.6,0,12.6,15.3,113.1
Drummer Boy,390542264,False,13.4,0,13.4,56.7,409.4
Half Pipe,390542266,False,11.0,0,11.0,15.6,101.9
