name,id,is_area,difficulty,difficulty_modifier,steepest_pitch,vert,length
Goosebumps Slope,256469170,False,2.3,0,2.3,1.4,11.8
Avalanche Slope,256470581,False,25.4,0,25.4,135.4,482.8
Tyrol Slope,256470747,False,24.8,0,24.8,118.4,400.3
Stowe Trail,256471149,False,5.9,0,5.9,13.3,262.9
Stowe Slope,256471187,False,18.9,0,18.9,23.3,73.7
Cortina Trail,256472144,False,18.9,0,18.9,75.7,436.4
Wagner Slope,256481024,False,20.8,0,20.8,94.2,415.3
Phillip's Run,256487279,False,11.0,0,11.0,151.5,1393.8
Alpine Pass Trail,256488149,False,18.5,0,18.5,55.4,401.8
Blitzen Slope,256488320,False,21.2,0,21.2,90.6,475.9
Deer Pass Trail,256488580,False,13.2,0,13.2,66.1,502.3
Alpine Meadows Slope,256489518,False,22.3,0,22.3,83.9,306.3
Sunbowl Trail,256489606,False,18.6,0,18.6,62.1,250.5
North Face Bypass Trail,256490016,False,14.8,0,14.8,45.4,385.8
Sunset Slope,256490458,False,22.4,0,22.4,91.4,414.4
Little North Face Slope,256490521,False,20.1,0,20.1,123.7,512.8
North Face Slope,256491314,False,27.6,0,27.6,178.0,722.4
Giant Boulder Slope,256491891,False,17.9,0,17.9,205.5,1222.4
Northwest Passage Trail,256492027,False,7.8,0,7.8,21.8,246.9
Little Boulder Trail,256492638,False,22.4,0,22.4,46.9,156.2
Giant Steps Slope,256494117,False,23.9,0,23.9,217.9,921.6
Gunnar Chair Line Slope,256495556,False,23.5,0,23.5,216.8,906.9
Gunnar Slope,256497373,False,21.9,0,21.9,215.7,909.6
Yodeler Trail,256498053,False,22.2,0,22.2,201.5,855.4
Great Western Trail,256500568,False,8.7,0,8.7,34.4,291.4
Yodeler By Pass,256501143,False,15.6,0,15.6,32.4,160.5
Boomerang Trail,256503125,False,9.1,0,9.1,16.8,158.7
 _3,391426979,False,4.1,0,4.1,3.2,29.3
 _4,391426980,False,1.7,0,1.7,1.1,12.5
 _5,391426981,False,4.7,0,4.7,4.1,95.1
 _6,391426982,False,9.9,0,9.9,3.4,29.1
 _7,391426983,False,5.4,0,5.4,3.0,35.7
Arctic Blast Children's Park,391426984,False,24.9,0,24.9,50.9,818.6
Lost Boy Trail,391426985,False,20.0,0,20.0,185.7,1226.7
Lost Girl Trail,391426986,False,22.9,0,22.9,205.8,1418.5
Santa's Beard Terrain Park,391426990,False,12.1,0,12.1,33.9,471.0
The Alley,391426994,False,22.4,0,22.4,74.0,366.7
Yodeler Trail_8,391426995,False,4.6,0,4.6,4.7,64.9
 _9,391686900,False,5.4,0,5.4,7.6,87.5
Alpine Meadows Glades,391686901,False,23.4,1,23.4,93.8,365.9
Avalanche Slope_10,391686902,False,5.8,0,5.8,4.7,46.6
Boomerang Trail_11,391686903,False,12.3,0,12.3,129.6,979.0
E Southwind Village Trail,391686904,False,12.5,0,12.5,35.0,565.5
Fawn Lane Trail,391686905,False,14.4,0,14.4,89.4,659.0
Goosebumps Slope_12,391686906,False,23.8,0,23.8,112.6,397.6
Southwind Village Trail,391686913,False,14.3,0,14.3,38.5,401.5
Soutwind Village Trail,391686914,False,7.4,0,7.4,13.4,184.5
Stowe Beginner Bowl,391686915,False,6.7,0,6.7,32.8,493.4
Stowe Beginner Bowl_13,391686916,False,5.8,0,5.8,6.1,78.8
Stowe Slope_14,391686918,False,18.5,0,18.5,49.8,245.4
Stowe Slope_15,391686919,False,23.2,0,23.2,104.8,366.4
Tyrol Slope_16,391686920,False,6.1,0,6.1,3.3,32.2
Village Trail,391686921,False,8.7,0,8.7,137.2,1925.3
Wagner Slope_17,391686922,False,9.8,0,9.8,5.9,37.2
