name,id,is_area,difficulty,difficulty_modifier,steepest_pitch,vert,length
Parmalee's,199805876,False,22.5,0,22.5,52.2,154.9
Sunset Boulevard,199805877,False,15.1,0,15.1,72.1,520.3
Upper Haggett's,199805878,False,22.9,0,22.9,77.3,238.9
West Slope,199827044,False,17.2,0,17.2,115.4,525.7
Rabbit Run,199827045,False,10.6,0,10.6,31.0,218.9
Poacher's Paradise,199827046,False,25.0,0,25.0,75.2,169.5
Mohawk,199827048,False,18.5,0,18.5,61.7,267.6
The Crossover,199827050,False,7.0,0,7.0,18.4,284.4
Wizard,199827052,False,22.3,0,22.3,46.8,134.5
The Gut,199827053,False,25.1,0,25.1,105.2,278.9
T-Line,199827054,False,18.4,0,18.4,106.8,363.6
The Main,199827055,False,21.5,0,21.5,161.4,556.4
Yee Haw,199827056,False,23.3,0,23.3,82.0,221.8
Riley's Run,199827057,False,20.5,0,20.5,88.9,335.0
Lower Appalachian,199827058,False,19.9,0,19.9,145.7,540.0
The Vain,199827059,False,24.1,0,24.1,72.8,207.0
Upper Appalachian,199827060,False,23.6,0,23.6,101.9,350.6
The Headwall,199827061,False,24.5,0,24.5,81.1,209.0
Happiness Is,199827062,False,18.5,0,18.5,101.8,493.9
Slide Chute,199827063,False,18.5,0,18.5,27.7,103.9
Tycoon,199827064,False,25.3,0,25.3,97.7,230.6
Pinnacle East,199827065,False,16.8,0,16.8,18.3,106.1
Lower Roosevelt,199827066,False,18.2,0,18.2,103.0,528.4
Lower Haggett's,199827067,False,26.4,0,26.4,63.5,239.2
East Slope,199827068,False,17.0,0,17.0,46.3,156.8
Fat and Happy,199827069,False,21.8,0,21.8,93.3,286.9
Jack Spratt,199827070,False,24.2,0,24.2,101.1,336.3
Beeline,199827071,False,17.7,0,17.7,48.6,175.4
SHERWOOD FOREST,199827072,False,11.7,0,11.7,13.5,75.0
Easy Turns,199827073,False,10.3,0,10.3,15.1,92.0
Peter's Plunge,199827074,False,27.7,0,27.7,46.9,109.5
Cooley's,199827075,False,23.1,0,23.1,85.1,241.9
Evergreen,199827076,False,13.4,0,13.4,60.0,512.0
Pine Slope,199827078,False,18.6,0,18.6,128.0,483.5
Upper Roosevelt,199827079,False,15.0,0,15.0,73.0,524.3
Exit 48,199827080,False,12.3,0,12.3,29.4,218.2
Lower Kancamangus,199827082,False,21.0,0,21.0,204.4,830.4
The Horn,199827084,False,18.6,0,18.6,54.3,192.8
Upper Kancamangus,199828822,False,21.8,0,21.8,126.9,479.9
East Glades,199828823,False,18.9,1,18.9,41.8,140.1
Cody's Caper,199828824,False,18.7,0,18.7,26.6,87.7
Chicken,199828825,False,16.1,0,16.1,26.2,104.5
Dungeons,199828826,False,11.6,0,11.6,10.1,55.0
