name,id,is_area,difficulty,difficulty_modifier,steepest_pitch,vert,length
S'no Way,205403967,False,17.6,0,17.6,27.1,133.7
Big Bend,205403968,False,10.2,0,10.2,38.8,331.7
Gunbarrel,205403969,False,23.0,0,23.0,170.4,658.9
Sensation,205403970,False,11.4,0,11.4,28.7,172.2
Tom's Treat,257451033,False,18.7,0,18.7,83.9,838.1
Canyon Run,257451308,False,16.0,0,16.0,130.6,829.2
Nor' Easter,257451783,False,16.7,0,16.7,77.2,351.6
Stinger,257453457,False,21.8,0,21.8,134.4,506.9
Temptor,257453587,False,20.7,0,20.7,102.8,444.1
Exhibition,257453784,False,18.8,0,18.8,38.0,187.7
Breezeway,257454700,False,9.5,0,9.5,12.4,113.5
Little Joe,257454888,False,15.5,0,15.5,19.4,91.2
Satan's Stairway,336692106,False,26.5,0,26.5,109.8,330.1
Panhandle,423975891,False,11.0,0,11.0,27.7,326.4
