name,id,is_area,difficulty,difficulty_modifier,steepest_pitch,vert,length
Slo Road,64126757,False,14.3,0,14.3,79.9,872.1
Boardwalk,64126795,False,15.0,0,15.0,56.7,558.8
Penny Lane,132191176,False,11.9,0,11.9,101.6,1176.1
Main Street,132503544,False,21.9,0,21.9,413.9,1862.4
25th Street,322779849,False,32.1,0,32.1,64.7,190.9
Bear Wallow,322779850,False,25.2,0,25.2,136.4,463.7
Dwayne's,322779851,False,29.0,0,29.0,162.4,574.4
Willow Springs,322779852,False,28.4,0,28.4,208.3,759.1
Carnhan's,322781544,False,30.1,0,30.1,133.7,350.8
Elk Ridge,322781545,False,26.3,0,26.3,386.2,1574.3
The Diamond,322781546,False,27.7,0,27.7,286.0,792.8
Middle Bowl Traverse,322782444,False,23.4,0,23.4,125.4,823.1
Needles Run,322782445,False,21.0,0,21.0,28.8,103.0
Porcupine Traverse,322782446,False,22.5,0,22.5,243.7,1346.1
 _0,322782518,False,9.2,0,9.2,21.0,207.7
Elk Ridge_1,770947034,False,29.0,0,29.0,469.8,2234.0
Main Street_2,770947035,False,21.5,0,21.5,115.0,729.0
Main Street_3,770947036,False,39.9,0,39.9,244.2,643.9
White Room,770947037,False,34.1,0,34.1,218.6,612.0
Sowback,770947038,False,38.6,0,38.6,257.7,735.3
Hohmann's,770947039,False,29.0,0,29.0,222.8,685.5
Hohmann's_4,770947040,False,24.4,0,24.4,91.0,314.8
Last Chance,770947041,False,10.4,0,10.4,92.8,1148.0
Bear Springs,770947042,False,24.4,0,24.4,323.5,1500.8
Strawberry Traverse,770947043,False,22.0,0,22.0,131.4,954.2
Sun King,770947044,False,27.5,0,27.5,117.1,447.5
Coyote Bowl,770947045,False,23.5,0,23.5,353.7,1538.5
Pinhole Ridge,770947046,False,28.6,0,28.6,175.4,1001.7
Smokey's,770947047,False,31.3,0,31.3,101.0,281.2
Sunshine Bowl,770947048,False,30.1,0,30.1,198.0,569.1
Pfeffalina,770947049,False,33.5,0,33.5,172.2,412.4
Bear Hallow,770947050,False,26.1,0,26.1,189.1,1116.8
Snowshoe,770947051,False,16.1,0,16.1,77.4,426.2
Penny Lane_5,770947052,False,23.4,0,23.4,102.5,695.5
School Hill,770947053,False,20.0,0,20.0,182.5,806.8
Becker Face,770947054,False,18.3,0,18.3,163.6,723.9
Harold's,770947055,False,20.1,0,20.1,55.0,206.4
Stein's,770947056,False,26.9,0,26.9,200.6,920.4
Littlecat,770947057,False,7.8,0,7.8,48.0,552.9
Wildcat Bowl,770947058,False,26.4,0,26.4,349.5,1093.4
Wildcat Ridge,770947059,False,18.4,0,18.4,83.3,466.2
BAsh,770947060,False,34.8,0,34.8,297.8,809.7
Centennial,770947061,False,31.6,0,31.6,118.3,258.6
Mt. Ogden Road,770947062,False,28.3,0,28.3,280.0,1338.1
Wildflower Downhill,770947063,False,31.3,0,31.3,444.7,1205.0
Blue Grouse,770947064,False,25.1,0,25.1,263.9,1164.2
City Hall,770947065,False,24.9,0,24.9,142.6,586.7
Wildflower Finish,770947066,False,26.5,0,26.5,108.7,473.5
Showboat,770947067,False,21.5,0,21.5,106.0,450.6
Orson's,770947068,False,24.0,0,24.0,120.4,607.3
Parson's,770947069,False,26.3,0,26.3,160.6,481.4
Sweet Revenge,770947070,False,27.9,0,27.9,337.0,1543.5
Dan's Run,770947071,False,33.0,0,33.0,222.3,1076.0
Moose Mound,770947072,False,25.9,0,25.9,148.8,717.4
LMM,770947073,False,19.6,0,19.6,58.6,298.4
Pineview,770947074,False,33.0,0,33.0,105.8,332.5
Bullwinkle,770947075,False,26.4,0,26.4,115.9,476.3
Rocky J,770947076,False,28.1,0,28.1,87.9,264.0
Blue Grouse_6,770947077,False,19.3,0,19.3,141.4,811.1
Beck's,770947078,False,33.8,0,33.8,153.5,427.7
3 skis,770947079,False,23.2,0,23.2,118.3,384.2
Herbert's,770947080,False,25.4,0,25.4,154.7,845.3
119,770947081,False,28.2,0,28.2,81.8,359.6
119_7,770947082,False,24.4,0,24.4,119.4,477.6
Two Bit Street,770947083,False,14.4,0,14.4,56.5,305.7
Eas A Long,770947084,False,19.0,0,19.0,138.9,778.5
Sunny Side,770947085,False,27.0,0,27.0,109.5,428.6
Beaver Slide,770947086,False,24.8,0,24.8,82.9,314.5
Middle Bowl Traverse_8,770947087,False,20.2,0,20.2,57.0,268.8
Porky Face,770947088,False,29.9,0,29.9,150.6,523.8
Grizzly Start,773903363,False,41.9,0,41.9,151.8,328.0
Grizzly Downhill,773903364,False,33.4,0,33.4,435.4,1375.8
Grizzly Finish,773903365,False,35.1,0,35.1,337.9,973.5
Wildflower Start,773903366,False,38.6,0,38.6,214.5,815.5
Powderhound Bowl,773903367,False,30.6,0,30.6,143.7,601.8
The Flank,773903368,False,38.3,0,38.3,140.0,586.0
Mt. Ogden Bowl,773903369,True,54.9,0,54.9,333.7,887.7
No Name,773903370,False,37.3,0,37.3,487.4,1357.8
Snow King,773903371,False,35.0,0,35.0,410.0,1072.1
Easter Bowl,773903372,False,36.4,0,36.4,223.0,464.7
Shooting Star,773903373,False,38.8,0,38.8,360.6,654.4
FTS,773903374,False,35.3,0,35.3,309.9,980.8
The Burn,773903375,False,38.1,0,38.1,324.2,540.4
Ellison's,773903376,False,37.2,0,37.2,282.7,472.2
Deanne's,773903377,False,39.1,0,39.1,203.2,393.7
Janis,773903378,False,35.3,0,35.3,179.2,391.7
Lower Pyramids,773903379,True,44.0,0,44.0,690.3,1414.1
Surprise,773903380,False,31.3,0,31.3,116.0,478.7
Pork Barrel,773903381,False,39.5,0,39.5,118.1,355.1
Cirque,773903382,False,21.8,0,21.8,41.6,123.4
Grizz,773903383,False,33.5,0,33.5,120.7,222.7
Lone Tree,773903384,False,43.0,0,43.0,159.7,427.2
Gordon's,773903385,False,31.0,0,31.0,148.6,627.3
Moonshine Bowl,773903386,False,35.3,0,35.3,278.8,952.7
WFO,773903387,False,34.1,0,34.1,277.8,1028.4
Last Chance_9,773903388,False,23.1,0,23.1,58.9,390.4
White Lightning,773903389,False,37.2,0,37.2,230.3,564.4
Gordon's Gully,773903390,False,28.7,0,28.7,183.2,637.9
Twist and Shout,773903391,False,27.2,0,27.2,164.4,588.9
Gun Tower,773903392,False,32.8,0,32.8,161.8,390.1
Sister's Bowl,773903393,True,42.7,0,42.7,427.3,1408.5
Middle Bowl Cirque,773903394,True,51.1,0,51.1,311.2,784.7
Strawberry Fields,773903395,False,35.5,0,35.5,150.0,474.7
 _10,773903396,False,12.5,0,12.5,17.6,270.9
The Walrus,773903397,False,22.8,0,22.8,86.0,307.6
