name,id,is_area,difficulty,difficulty_modifier,steepest_pitch,vert,length
Cabin,556749560,False,24.4,0,24.4,375.5,1564.6
 _1,556749563,False,15.7,0,15.7,57.7,307.7
Nor Way,556749565,False,16.2,0,16.2,69.6,370.8
Monkshood,556749568,False,19.9,0,19.9,112.2,663.1
Lower Banzai,556749569,False,27.9,0,27.9,349.8,1591.9
Blue Grouse,556749570,False,29.0,0,29.0,294.4,1350.8
Scooper (Lower),556749571,False,22.2,0,22.2,128.7,541.9
Hal's Hollow (Upper),556749572,False,23.5,0,23.5,103.4,397.3
Hal's Hollow (Lower),556749573,False,16.4,0,16.4,107.1,540.7
Scooper (Upper),556749574,False,15.2,0,15.2,67.7,500.3
Velvet Falls (Lower),556749575,False,18.4,0,18.4,116.6,608.4
Velvet Falls (Upper),556749577,False,26.2,0,26.2,133.1,580.2
Fanny Hill,556749580,False,13.1,0,13.1,94.1,731.2
Dawdler,556749583,False,16.6,0,16.6,217.3,1885.2
Cookies,556749587,False,22.8,0,22.8,82.9,475.8
Camp Three,556749590,False,23.3,0,23.3,150.6,521.3
Rio,556749592,False,33.8,0,33.8,202.1,672.6
A-Line,556749593,False,31.4,0,31.4,420.9,1555.9
Split Tree,556749594,False,31.5,0,31.5,699.5,3521.2
Long Shot,556749595,False,26.3,0,26.3,839.8,3803.7
East Branch,556749596,False,18.8,0,18.8,232.0,1926.0
Cascade (Upper),556749597,False,24.0,0,24.0,250.3,1147.5
West Fork,556749598,False,20.0,0,20.0,196.6,1135.4
Eddy Out,556749599,False,18.1,0,18.1,222.5,1470.5
Galavant,556749600,False,10.5,0,10.5,37.2,575.4
 _2,556749601,False,15.2,0,15.2,111.0,525.4
Bottoms Up,556749602,False,24.4,0,24.4,157.7,654.6
Funnel,556749603,False,25.5,0,25.5,109.3,395.8
Funnel Bypass,556749604,False,20.1,0,20.1,408.4,3192.1
Cascade (Lower),556749605,False,20.3,0,20.3,85.5,384.1
Creekside (Upper),556749606,False,28.1,0,28.1,287.0,1352.4
Creekside (Lower),556749607,False,8.8,0,8.8,128.1,1312.9
Drumstick,556749608,False,14.0,0,14.0,69.2,557.9
Sandy Park,556749609,False,22.4,0,22.4,367.4,2239.4
Gunner's View,556749610,False,16.7,0,16.7,324.3,1717.2
Bear Bottom,556749611,False,21.3,0,21.3,389.6,1750.3
Grey Wolf,556749612,False,25.8,0,25.8,471.0,2259.3
Bull Run,556749613,False,27.0,0,27.0,448.3,2167.0
 _3,556749614,False,15.7,0,15.7,88.5,611.0
 _4,556749615,False,11.1,0,11.1,30.4,312.3
Coffee Pot,556749616,False,24.7,0,24.7,430.3,2205.9
Adams' Avenue (Lower),556749617,False,18.6,0,18.6,206.8,1494.4
Tom's Trace,556749618,False,24.9,0,24.9,152.3,669.5
Log Deck,556749619,False,26.4,0,26.4,242.7,1058.3
Lodgepole,556749620,False,21.6,0,21.6,193.8,808.9
Lunkerville,556749621,False,26.8,0,26.8,466.9,2319.2
Naked Lady,556749622,False,21.2,0,21.2,443.8,2147.6
Assay Hill,556749623,False,11.6,0,11.6,65.6,477.8
Slider,556749624,False,24.3,0,24.3,479.7,2403.4
Adams' Avenue (Upper),556749625,False,14.1,0,14.1,136.6,1019.4
The Edge,556749626,False,27.9,0,27.9,420.8,1390.9
Turkey Trot,556749627,False,23.1,0,23.1,230.1,1906.6
Jack of Hearts,556749628,False,18.9,0,18.9,97.7,341.1
Green Cabin (Upper),556749629,False,30.9,0,30.9,513.1,2109.5
Pipeline,556749630,False,23.2,0,23.2,76.6,214.6
Lunchline (Upper),556749631,False,17.9,0,17.9,155.1,1177.9
Showcase,556749632,False,28.1,0,28.1,398.4,1268.3
Reidar's,556749635,False,30.4,0,30.4,402.9,1292.8
Granite,556749638,False,26.2,0,26.2,226.2,1093.8
Grinder,556749641,False,33.5,0,33.5,505.7,1609.0
Green Cabin (Lower),556749644,False,26.9,0,26.9,441.8,2395.7
Rocky Mountain High,556749651,False,17.0,0,17.0,239.9,1328.4
Glissade,556749654,False,27.4,0,27.4,114.9,282.1
Free Fall,556749656,False,34.0,0,34.0,118.2,240.5
West Face,556749659,False,30.9,0,30.9,87.8,278.5
Garrett Gulch,556749661,False,29.5,0,29.5,583.8,2172.3
Mick's Gully,556749665,False,24.1,0,24.1,524.6,1970.1
Bearclaw,556749669,False,33.0,0,33.0,541.7,1778.1
Powderhorn,556749672,False,32.7,0,32.7,716.8,2985.5
Dallas Freeway,556749675,False,23.0,0,23.0,575.2,2145.7
Max Park,556749677,False,20.6,0,20.6,207.9,1181.2
Whispering Jesse,556749680,False,26.3,0,26.3,349.1,1227.4
Wineskin,556749682,False,24.2,0,24.2,420.6,1548.5
Timberline,556749683,False,24.6,0,24.6,568.2,2189.6
Shear Bliss,556749687,False,27.4,0,27.4,630.9,2558.2
Trestle,556749689,False,17.2,0,17.2,91.4,761.0
Moonshine,556749691,False,27.8,0,27.8,259.7,1084.4
Sunnyside,556749693,False,20.3,0,20.3,191.2,747.3
Sneaky's,556749694,False,18.4,0,18.4,413.0,1896.5
Campground (Upper),556749695,False,24.3,0,24.3,291.5,924.9
Slot (Upper),556749696,False,26.5,0,26.5,356.2,1072.3
Lunchline (Lower),556749697,False,20.1,0,20.1,87.4,625.2
Fast Draw,556749699,False,26.4,0,26.4,169.2,438.8
Promenade,556749701,False,28.0,0,28.0,261.9,762.3
Zugspitze,556749703,False,25.8,0,25.8,357.7,1141.4
Ute Chute,556749705,False,26.6,0,26.6,222.5,627.3
Coney Glade,556749706,False,26.0,1,26.0,135.2,507.8
Banzai Ridge,556749709,False,17.9,0,17.9,141.1,642.6
 _5,556749710,False,28.5,0,28.5,157.5,485.9
Wildcat (Lower),556749711,False,14.5,0,14.5,126.6,736.5
 _6,556749713,False,20.1,0,20.1,78.4,631.5
Howler,556749714,False,26.8,0,26.8,150.8,406.3
Wildcat,556749717,False,27.3,0,27.3,291.1,791.1
Slot (Lower),556749720,False,30.4,0,30.4,366.7,1644.9
Campground (Lower),556749723,False,28.0,0,28.0,431.7,1598.6
High Pass,772798770,False,17.3,0,17.3,188.6,1607.1
Cirque Headwall,772798771,False,38.2,0,38.2,683.2,2675.9
East Wall,772798772,False,31.4,0,31.4,138.7,928.4
 _7,772798773,False,37.5,0,37.5,104.4,261.0
Gowdy's,772798774,False,36.0,0,36.0,259.2,854.9
 _8,772798775,False,21.0,0,21.0,92.0,623.2
Ptarmigan,772798776,False,28.8,0,28.8,106.7,346.5
AMF,772798777,False,36.0,0,36.0,158.7,456.0
Sheer Bliss,772798778,False,22.4,0,22.4,178.0,776.3
KT Gully,772798779,False,34.5,0,34.5,157.3,558.0
 _9,772798780,False,18.9,0,18.9,68.0,373.5
 _10,772798781,False,23.5,0,23.5,105.0,480.1
Hanging Valley,772798782,True,46.5,0,46.5,546.0,1781.7
