name,id,is_area,difficulty,difficulty_modifier,steepest_pitch,vert,length
Powder Monkey,321578116,False,11.5,0,11.5,83.8,600.9
Log Slide,321578117,False,14.9,0,14.9,117.6,773.8
Progression Park,321578118,False,14.7,0,14.7,105.4,618.9
Ballhooter,321578121,False,20.0,0,20.0,207.3,1052.7
Grabhammer,321578123,False,20.6,0,20.6,131.0,544.6
Skip Jack,321578124,False,18.6,0,18.6,149.2,690.0
Choker,321578125,False,20.3,0,20.3,84.3,339.2
Gandy Dancer,321578126,False,20.7,0,20.7,100.9,409.4
Singletree,321578127,False,17.7,0,17.7,59.7,356.2
Moonshine,321578128,False,16.5,0,16.5,48.1,199.6
 _0,321578129,False,1.6,0,1.6,0.7,7.7
Lower Shay's Revenge,321579509,False,29.5,0,29.5,248.2,1167.4
Upper Hootenanny,321579544,False,10.7,0,10.7,53.8,486.0
Lower Flume,321600414,False,9.7,0,9.7,49.0,551.2
Sawmill,321600418,False,23.3,0,23.3,188.1,907.5
J Hook,321600419,False,19.9,0,19.9,110.8,473.0
 _1,321600420,False,13.5,0,13.5,52.2,360.0
Widowmaker,321600421,False,24.1,0,24.1,151.5,520.4
Camp 99,321600422,False,23.8,0,23.8,149.2,598.0
 _2,321606898,False,5.1,0,5.1,2.0,57.2
Evolution Park,321914692,False,17.5,0,17.5,132.9,846.3
Cupp Run,321923565,False,24.7,0,24.7,442.4,1930.0
Heisler Way,321923579,False,11.8,0,11.8,67.4,702.8
Lower Hootenanny,326137944,False,14.6,0,14.6,123.6,873.7
Camp 4,392359446,False,12.0,0,12.0,40.0,453.0
Crosscut,392359447,False,12.7,0,12.7,33.2,310.9
Grab Hook,392359448,False,13.7,0,13.7,34.7,179.9
Knot Bumper Glades,392359449,False,24.3,1,24.3,113.4,462.6
Knot Bumper,392359450,False,23.2,0,23.2,100.4,376.6
Mid Flume,392359451,False,11.1,0,11.1,84.9,719.1
Shay's Revenge,392359452,False,19.3,0,19.3,196.2,936.1
Skidder,392359453,False,6.6,0,6.6,20.0,206.6
Spruce,392359454,False,18.5,0,18.5,116.8,488.3
Whiffletree,392359457,False,11.1,0,11.1,51.1,487.0
Upper Flume,546224038,False,11.8,0,11.8,69.2,706.3
 _3,546353555,False,9.8,0,9.8,2.1,19.6
Powderidge,546353557,False,9.3,0,9.3,31.9,348.8
Gangway,546353559,False,16.9,0,16.9,58.7,446.0
Whistlepunk,547363406,False,8.7,0,8.7,37.7,418.4
Stemwinder,547363407,False,19.3,0,19.3,53.4,213.3
