name,id,is_area,difficulty,difficulty_modifier,steepest_pitch,vert,length
Roller Coaster,618345132,False,24.4,0,24.4,242.5,941.7
Timberline,618345944,False,27.3,0,27.3,152.2,545.4
Summit Access East,618347450,False,17.5,0,17.5,61.9,580.8
Zip-A-Dee,618347713,False,31.2,0,31.2,72.3,268.2
Polaris,618348956,False,23.5,0,23.5,84.1,362.0
North Star,618349553,False,21.8,0,21.8,193.1,955.3
Sensation,618350487,False,28.5,0,28.5,158.2,642.7
South Star,618350971,False,15.0,0,15.0,42.1,202.3
Back Door,618352217,False,27.1,0,27.1,117.0,565.4
Dynamite,618355795,False,31.5,0,31.5,530.8,2727.8
Liberty,618355989,False,29.8,0,29.8,121.2,372.3
Front Door,618356428,False,32.3,0,32.3,85.4,203.9
Cathedral Cirque,618358881,False,44.4,0,44.4,226.7,885.7
Middle Slope,618358883,False,42.1,0,42.1,281.6,744.0
Parachute,618358884,False,41.6,0,41.6,325.0,770.7
Milk Run,618358885,False,45.8,0,45.8,274.7,534.9
Diamond Lane,618358886,False,29.5,0,29.5,219.8,631.7
Powderhorn Cirque,618358887,False,42.3,0,42.3,341.9,788.2
Summit Access West,618363708,False,25.9,0,25.9,116.2,419.8
Concord,618363709,False,32.5,0,32.5,277.9,618.5
Diamond Lane_0,618363710,False,31.0,0,31.0,114.2,259.3
Paradise Lost,618363712,False,37.1,0,37.1,191.9,428.6
Vertigo,618363713,False,35.8,0,35.8,215.2,433.8
Paradise,618363714,False,31.8,0,31.8,142.2,280.4
Corner Chute,618365029,False,39.5,0,39.5,176.7,532.3
Shaft,618365031,False,33.5,0,33.5,102.3,261.5
Headwall Forrest,618365032,False,32.4,0,32.4,135.4,357.5
Evergreen Peak,618366500,False,39.0,0,39.0,110.6,384.3
Broadway,618391941,False,33.8,0,33.8,114.0,460.7
Evening Star,618391942,False,26.7,0,26.7,76.4,182.3
TBD,618391944,False,33.5,0,33.5,245.1,831.2
Blue Spruce,618391945,False,28.0,0,28.0,197.1,647.0
Last Run,618391946,False,23.2,0,23.2,228.1,1252.1
Fleet Street,618395014,False,27.1,0,27.1,101.9,382.3
Wall Street,618395015,False,23.3,0,23.3,121.9,372.9
Fluid Drive,618395017,False,25.5,0,25.5,123.0,403.9
Main Street,618395018,False,19.1,0,19.1,130.4,646.5
Little Dollie,618395019,False,17.1,0,17.1,187.0,978.0
Tude-Dudes,618395020,False,12.3,0,12.3,37.2,232.7
Same Street,618395021,False,16.8,0,16.8,158.3,979.6
Easy Street,618395022,False,8.7,0,8.7,43.4,397.1
Dean's Dash,618395023,False,14.2,0,14.2,40.2,235.0
Tude-Dudes_1,618403576,False,21.0,0,21.0,87.9,297.1
Home Run,618403577,False,26.0,0,26.0,88.7,316.5
Hal's Hollow,618403578,False,21.0,0,21.0,152.4,668.3
Shady Lane,618403579,False,24.9,0,24.9,104.1,337.5
Postcard,618403580,False,24.7,0,24.7,111.8,552.0
Rhapsody,618403581,False,30.5,0,30.5,198.1,518.0
Gary's Glade,618403582,False,32.6,1,32.6,180.3,480.0
Olympia,618403583,False,30.3,0,30.3,203.8,538.5
Sunshine Bowl,618403584,False,26.5,0,26.5,160.3,549.3
Sundancer,618403585,False,28.9,0,28.9,339.6,1247.6
Challanger,618576405,False,31.2,0,31.2,309.1,974.9
Serenity/F.I.S.,618576407,False,31.9,0,31.9,94.6,265.9
Serenity/F.I.S._2,618576409,False,28.7,0,28.7,182.1,549.8
Inspiration,618576410,False,31.4,0,31.4,155.5,342.7
Inspiration_3,618576411,False,21.9,0,21.9,181.2,732.9
Stumble,618576412,False,30.7,0,30.7,115.7,302.3
Stumble_4,618576413,False,28.3,0,28.3,164.5,544.6
Grumble,618576414,False,34.1,0,34.1,72.5,164.8
Wanderer,618576416,False,14.8,0,14.8,27.5,400.2
Grumble_5,618576419,False,24.6,0,24.6,150.0,518.0
Rumble,618576423,False,33.4,0,33.4,141.9,303.6
Rumble_6,618576425,False,25.2,0,25.2,138.6,490.9
Solbright,618578232,False,28.7,0,28.7,325.8,2332.5
Waggon Wheel,618578796,False,25.6,0,25.6,41.1,252.4
Barrett's Glade,618578797,False,18.3,1,18.3,45.0,310.3
Wood Lawn,618584850,False,36.2,0,36.2,426.9,2038.1
Black Forrest,618584851,False,39.6,0,39.6,112.1,210.7
Buckeye Junior,618584852,False,28.7,0,28.7,93.5,216.5
Fantasy Ridge,618584853,False,58.9,0,58.9,140.1,269.3
Fantasy Ridge_7,618584854,False,43.1,0,43.1,68.2,244.8
Black Bess,618584855,False,31.1,0,31.1,64.1,136.8
Voltaire,618584856,False,27.5,0,27.5,87.1,232.5
Prince Of Wales,618584857,False,37.5,0,37.5,139.7,256.9
Honetcomb Peak,618584858,False,33.7,0,33.7,79.6,179.4
Honeycomb Peak,618584859,False,52.8,0,52.8,95.7,123.5
Crystal Point,618586004,False,45.9,0,45.9,197.4,333.9
No Man's Land,618586005,False,35.7,0,35.7,170.9,346.3
Boundry Chutes,618586006,False,42.3,0,42.3,190.2,320.8
Here Be Dragons,618586009,False,38.5,0,38.5,175.4,277.9
Navarone,618586010,False,45.7,0,45.7,173.7,239.8
Queen Bess,618586011,False,34.4,0,34.4,132.1,232.0
 _8,863627863,False,14.6,0,14.6,61.5,633.6
Queen Bess Trail,863627864,False,13.0,0,13.0,71.1,829.0
 _10,992936356,False,9.0,0,9.0,41.7,431.4
Honeycomb Return Trail,992936358,False,6.2,0,6.2,12.5,152.0
Eagle Ridge,992936360,False,18.2,0,18.2,202.9,1131.5
