name,id,is_area,difficulty,difficulty_modifier,steepest_pitch,vert,length
Crossover,48666235,False,11.8,0,11.8,125.4,1444.5
Cliff Trail,84506944,False,21.5,0,21.5,136.1,547.5
Upper National,84506945,False,35.9,0,35.9,139.0,253.5
North Slope,84506946,False,22.8,0,22.8,263.2,897.8
Upper Goat,84506947,False,34.5,0,34.5,134.1,263.1
Upper Nosedive,84506948,False,26.8,0,26.8,285.5,759.1
Midway,84506950,False,16.6,0,16.6,74.9,382.1
Main Street,84506951,False,29.0,0,29.0,134.7,577.4
Main Street_0,84506952,False,31.6,0,31.6,186.5,664.9
Upper Smugglers,84506953,False,24.7,0,24.7,109.8,485.8
Houghton's,84506954,False,15.2,0,15.2,87.2,979.7
Upper Hayride,84506955,False,26.9,0,26.9,110.5,284.9
Sterling,84506956,False,17.2,0,17.2,182.8,915.7
Liftline,84506957,False,32.7,0,32.7,337.8,765.6
Standard,84506958,False,21.7,0,21.7,157.8,600.9
Midway_1,84506959,False,19.6,0,19.6,74.2,365.2
Centerline,84506960,False,26.1,0,26.1,109.1,301.8
Upper Gondolier,84506962,False,21.8,0,21.8,104.5,361.2
Lullaby Lane,84506963,False,18.6,0,18.6,157.5,898.3
Jug Handle,84506964,False,23.6,0,23.6,80.9,316.4
Upper Main Street,84506965,False,31.7,0,31.7,219.9,871.8
 _2,84506966,False,15.5,0,15.5,28.6,240.5
Upper Smugglers_3,84506967,False,26.5,0,26.5,199.1,745.4
Hayride Loop,84506968,False,17.0,0,17.0,62.5,293.0
Switchback,84506969,False,19.7,0,19.7,65.7,261.5
Upper Sterling,84506971,False,17.1,0,17.1,173.8,972.7
Lower Gondolier,84506972,False,22.5,0,22.5,184.2,649.4
Lower Smugglers,84506973,False,18.1,0,18.1,61.9,331.9
Lord,84506974,False,23.2,0,23.2,132.2,472.5
 _4,84506977,False,6.8,0,6.8,6.7,67.6
Tyro,84506978,False,20.6,0,20.6,147.0,619.3
Whirlaway,84506979,False,24.0,0,24.0,146.1,562.9
Lower Ridgeview,84506980,False,18.3,0,18.3,58.2,276.9
Midway_5,84506981,False,15.2,0,15.2,25.2,247.6
Upper Lord,84506982,False,15.9,0,15.9,126.7,669.5
Easy Street,85361162,False,16.9,0,16.9,73.6,409.0
Upper Starr,85361165,False,37.9,0,37.9,111.3,190.0
Shftr's Shot,85361171,False,12.8,0,12.8,16.5,178.5
Ridgeview,85361172,False,19.3,0,19.3,82.4,428.5
Ridge Run,85361179,False,17.5,0,17.5,50.9,323.5
West Smugglers,85361184,False,23.5,0,23.5,37.5,150.2
Lower Liftline,85361188,False,24.7,0,24.7,148.4,689.6
Toll Road,85361196,False,14.1,0,14.1,395.2,3426.1
Meadows,85361246,False,14.1,0,14.1,74.2,383.8
Side Street,85361248,False,14.3,0,14.3,22.1,182.1
Chin Clip Runout,85361251,False,14.9,0,14.9,161.3,936.8
West Run,85361257,False,17.8,0,17.8,47.0,321.8
Townhouse,85361265,False,15.8,0,15.8,52.4,290.0
 _6,85361267,False,10.7,0,10.7,7.5,98.7
Tollhouse,85361273,False,18.4,0,18.4,61.6,377.6
Lower Nosedive,85361276,False,21.1,0,21.1,160.2,746.0
Freddie's Chute,85361280,False,23.6,0,23.6,59.9,226.2
Lower Starr,85361285,False,20.7,0,20.7,99.6,360.2
Lower National,85361298,False,19.8,0,19.8,138.6,538.5
West Run_7,85361304,False,18.0,0,18.0,93.1,484.5
Last Exit,85361310,False,12.4,0,12.4,30.6,168.5
Chin Clip,85361312,False,27.9,0,27.9,367.0,1164.2
 _8,85361324,False,3.9,0,3.9,3.3,114.6
Side Street_9,85361326,False,21.2,0,21.2,189.3,902.3
Waterfall,203680886,False,29.3,0,29.3,56.6,124.8
NASTAR Hill,203680887,False,23.6,0,23.6,102.7,367.1
Upper Meadows,203680888,False,19.6,0,19.6,32.7,107.7
Catwalk,203680889,False,10.8,0,10.8,53.1,399.0
#2 Cut Across,203822049,False,31.7,0,31.7,59.2,281.6
Spruce Line,203822051,False,27.8,0,27.8,121.2,413.3
Lower Main Street,203822052,False,20.3,0,20.3,61.7,330.4
Slalom Hill,203822053,False,24.4,0,24.4,93.0,310.9
Lower Sterling,203822054,False,17.7,0,17.7,85.0,602.5
Inspiration,203822056,False,6.5,0,6.5,34.9,351.3
East Run,203822057,False,22.6,0,22.6,114.9,544.2
Main Street Headwall,203822058,False,28.1,0,28.1,94.2,353.2
