name,id,is_area,difficulty,difficulty_modifier,steepest_pitch,vert,length
Lower Happy Thought,97632282,False,20.2,0,20.2,115.5,639.3
Ophir Loop,97632284,False,15.8,0,15.8,25.4,131.6
Silvercloud,97633726,False,37.5,0,37.5,207.2,441.3
Majestic,97633727,False,36.7,0,36.7,164.9,482.0
 _0,97634410,False,19.6,0,19.6,43.4,283.9
Woozley's Way,97634411,False,26.8,0,26.8,209.2,1157.8
Lower Woozley's Way,97634412,False,25.8,0,25.8,170.4,988.1
Polar Queen,97634684,False,22.8,0,22.8,284.0,1551.7
Lower Boomerang,97634759,False,14.9,0,14.9,98.3,724.9
Cake Walk,97635745,False,25.0,0,25.0,76.6,562.6
Ophir Loop_1,97718352,False,21.4,0,21.4,213.3,1023.4
Dew Drop,97718353,False,22.6,0,22.6,206.8,937.4
Apex,97719182,False,32.8,0,32.8,273.8,642.7
Magnolia,97855642,False,27.0,0,27.0,289.8,1580.4
Sandia,97855643,False,21.8,0,21.8,200.1,1391.3
Magnolia Headwall,97855645,False,33.0,0,33.0,48.3,93.5
Sundance,528936636,True,26.8,0,26.8,253.8,1375.0
Sundance_2,528936637,True,20.7,0,20.7,134.3,1028.5
The Peaks,528943975,True,7.4,0,7.4,32.6,295.6
San Joaquin,528949746,True,22.4,0,22.4,106.4,784.5
Holy Cow,528949747,True,26.9,0,26.9,155.3,673.6
Enchanted Forest,528949748,True,13.1,1,13.1,115.0,779.1
Runaway Train,528949749,True,27.2,0,27.2,71.9,234.8
Lower Galloping Goose,528949750,True,31.3,0,31.3,322.2,2452.2
Bridges,528949751,True,19.0,0,19.0,136.8,1019.6
Marmot,528949752,True,17.1,0,17.1,220.4,1449.9
Nellie,529141259,True,9.8,0,9.8,74.8,759.2
Headwall,529676649,True,26.6,0,26.6,56.5,151.7
Lower Milk Run,529676652,True,41.8,0,41.8,241.8,479.6
Milk Run,529813950,True,32.1,0,32.1,260.2,636.1
Pandora,529813952,True,32.7,0,32.7,149.1,280.2
Bailout,529824977,True,18.2,0,18.2,70.9,347.9
Double Cabins,529858078,False,20.1,0,20.1,499.2,3899.2
Meadows,529858079,False,10.6,0,10.6,115.5,948.2
Meadows_3,529858080,False,8.9,0,8.9,3.3,46.5
Meadows_4,529858081,False,5.3,0,5.3,5.2,73.3
Village,530147889,False,13.0,0,13.0,50.3,747.9
Cake Walk_5,530147891,False,5.4,0,5.4,4.3,96.6
Cake Walk_6,530147892,False,9.0,0,9.0,5.0,39.9
Sheridan Headwall,530147893,False,29.1,0,29.1,61.2,189.0
Dew Drop_7,530459912,False,20.0,0,20.0,68.6,537.1
Silvertip,530459913,False,31.5,0,31.5,75.1,223.3
Palmyra,530459915,False,27.0,0,27.0,136.2,360.8
Alta,530459916,False,27.0,0,27.0,80.1,227.7
Gold Rush,530459918,False,23.1,1,23.1,133.9,448.0
Ophir Loop_8,530459919,False,16.6,0,16.6,28.6,153.2
