name,id,is_area,difficulty,difficulty_modifier,steepest_pitch,vert,length
Glade,48946322,False,14.8,1,14.8,194.4,1306.4
 _0,48946323,False,14.8,0,14.8,45.2,241.7
Christine's,48946324,False,16.0,0,16.0,58.3,310.5
Mustang Sally,48946325,False,18.2,0,18.2,189.5,1159.0
Jojami,48946326,False,18.1,0,18.1,141.8,897.6
Brother Beau,48946327,False,16.6,0,16.6,82.0,467.5
 _1,48946328,False,3.6,0,3.6,3.3,138.2
Alpine,48946329,False,20.5,0,20.5,548.8,4075.7
Lift Line,48946356,False,23.6,0,23.6,145.8,782.6
Main Run Pucci,48948145,False,16.3,0,16.3,67.2,403.7
Main Run Pucci_2,48948147,False,10.5,0,10.5,22.5,213.0
EZ Way,49396712,False,14.9,0,14.9,38.6,320.2
Otto Lang,49396713,False,19.9,0,19.9,312.3,1804.1
Gordo's Mile,49396714,False,17.2,0,17.2,334.2,1752.8
Coffel's run,49475237,False,20.7,0,20.7,236.2,1173.3
Conway's,50427209,False,14.5,0,14.5,157.1,917.7
Timberline West Leg Road,50427210,False,8.0,0,8.0,256.6,4456.0
 _3,50427212,False,9.9,0,9.9,19.4,132.9
Main Run Pucci_4,50427213,False,18.6,0,18.6,79.0,444.7
Wingel's Wiggle,50427214,False,28.0,0,28.0,52.1,245.5
Vicky's Run,50427217,False,25.1,0,25.1,248.7,1563.6
Molly's Run,50427219,False,24.8,0,24.8,107.2,562.3
 _5,50427223,False,6.3,0,6.3,18.8,240.5
Paintbrush,50612343,False,14.6,0,14.6,145.7,886.6
Pete's Plunder,52549430,False,13.3,0,13.3,62.0,376.1
Joszi,52549431,False,24.9,0,24.9,67.0,284.0
Wy'East,52549432,False,29.2,0,29.2,58.1,282.2
Huck Bowl,52549433,False,28.6,0,28.6,80.0,469.4
 _6,52559091,False,14.2,0,14.2,35.4,325.7
 _7,52559092,False,6.9,0,6.9,5.3,97.4
 _8,52559093,False,26.9,0,26.9,44.4,147.5
West Run,52559094,False,11.8,0,11.8,51.0,355.3
Bob Elmer,52559297,False,23.8,0,23.8,58.5,230.0
The Bonezone,53542866,False,15.2,0,15.2,148.4,906.4
Norm's,53542867,False,15.2,0,15.2,235.0,1298.2
 _9,53542868,False,12.4,0,12.4,25.5,251.9
 _10,54583689,False,14.1,0,14.1,84.1,647.9
Thunder,54583691,False,23.3,0,23.3,134.8,735.9
Phlox,54583692,False,11.1,0,11.1,31.7,246.1
Uncle Jon's Band,54583693,False,23.5,0,23.5,187.8,1002.9
Kruser,55555923,False,17.9,0,17.9,426.6,2745.1
 _11,55555924,False,12.2,0,12.2,47.3,525.4
Willis,55555926,False,23.0,0,23.0,464.0,1548.5
Bean's Run,55555928,False,28.4,0,28.4,456.9,1842.4
West Pitch,94678982,False,33.8,0,33.8,61.8,205.4
Back Way,94678983,False,17.8,0,17.8,81.8,725.8
Cut Off,94678985,False,26.7,0,26.7,37.9,125.5
Buzz Cut,105202505,False,29.7,0,29.7,44.1,190.2
Kipp's Run,114640772,False,18.7,0,18.7,252.5,1185.2
 _12,139809940,False,23.8,0,23.8,166.1,752.3
Yellow Jacket,149478636,False,14.4,0,14.4,57.3,392.4
Bumblebee,149478666,False,10.9,0,10.9,90.8,766.1
Spraypaint,151455223,False,16.3,0,16.3,102.6,556.4
Timberline West Leg Road_14,909155604,False,9.2,0,9.2,209.0,2908.0
 _15,1000962989,False,10.4,0,10.4,38.0,296.1
Yellow Jacket_16,1000962991,False,9.4,0,9.4,32.7,337.8
