name,id,is_area,difficulty,difficulty_modifier,steepest_pitch,vert,length
Simba,95396490,False,19.4,0,19.4,323.5,1527.6
Bwana,95398938,False,23.4,0,23.4,437.3,1754.7
Born Free,95401207,False,27.3,0,27.3,328.0,1357.4
Born Free_0,95401573,False,12.6,0,12.6,56.5,380.0
Born Free_1,95401574,False,17.7,0,17.7,158.7,780.9
Showboat,95403813,False,25.2,0,25.2,351.2,1247.3
Faro,95403816,False,29.7,0,29.7,194.7,547.6
Ouzo,95403818,False,27.4,0,27.4,214.6,571.1
Lost Boy,95403821,False,19.8,0,19.8,36.3,155.0
Deuces Wild,95403823,False,27.2,0,27.2,180.6,490.9
Lost Boy_2,95403830,False,20.4,0,20.4,356.7,2269.3
Game Trail,95403834,False,20.8,0,20.8,154.3,1176.7
Wow,95407541,False,30.0,0,30.0,442.3,1226.8
Ptarmigan Ridge,95407544,False,21.6,0,21.6,149.7,1271.8
O.S.,95407547,False,31.5,0,31.5,269.8,1019.6
Morning Side Ridge,97557211,False,32.6,0,32.6,278.0,668.1
Overeasy,97562395,False,17.2,0,17.2,113.2,626.2
Avanti,97562613,False,20.9,0,20.9,178.3,754.0
Riva Catwalk,97563538,False,19.1,0,19.1,162.4,1080.8
Tourist Trap,97563539,False,31.2,0,31.2,112.5,280.1
Riva Ridge,97563540,False,23.0,0,23.0,179.0,849.6
Riva Ridge_3,97563542,False,19.9,0,19.9,73.2,288.4
Little Ollie,97567845,False,27.5,0,27.5,268.5,797.8
The Divide,97567847,False,26.7,0,26.7,564.2,2433.7
Whiskey Jack,97569124,False,22.2,0,22.2,155.2,789.7
Lindsey's,137921997,False,27.0,0,27.0,260.2,861.6
Head First,137922001,False,34.0,0,34.0,148.5,459.3
Bear Tree,137922004,False,22.5,0,22.5,187.8,773.3
38,137922009,False,28.9,0,28.9,105.4,298.6
Giant Steps,137922012,False,27.9,0,27.9,216.7,710.9
Upper Lion's Way,137922015,False,18.1,0,18.1,236.5,1835.5
Riva Ridge_4,186005970,False,25.7,0,25.7,242.1,765.8
Christmas,186005981,False,19.5,0,19.5,217.5,872.4
Prima,186005987,False,32.7,0,32.7,383.2,985.6
Swingsville,186006004,False,21.0,0,21.0,324.4,1511.9
Pronto,186006006,False,29.5,0,29.5,81.1,201.4
Cascade Way,190560473,False,14.1,0,14.1,119.9,859.8
Timberline Catwalk,190568973,False,10.8,0,10.8,137.5,1463.4
Highline,190568974,False,30.9,0,30.9,516.3,1829.9
Boomer,190568975,False,15.0,0,15.0,44.2,272.0
Boomer_5,190568976,False,16.8,0,16.8,145.8,716.8
Sourdough,190568978,False,17.6,0,17.6,120.5,544.9
Tin Pants,190568980,False,9.9,0,9.9,21.8,239.5
Roger's Run,190568981,False,27.3,0,27.3,301.3,998.5
Tin Pants_6,190568982,False,17.0,0,17.0,127.5,756.0
Blue Ox,190568983,False,27.5,0,27.5,426.8,1522.5
Simba_7,190598909,False,20.2,0,20.2,102.2,462.2
Safari,190598910,False,30.8,0,30.8,100.4,237.5
Cheetah,190598911,False,19.8,0,19.8,116.0,496.7
Safari_8,190598912,False,29.4,0,29.4,87.7,274.0
Simba_9,190598913,False,30.0,0,30.0,101.4,275.6
Safari_10,190598914,False,24.6,0,24.6,284.0,1034.3
Bwana Loop,190601947,False,12.5,0,12.5,62.8,590.4
Pride,190601949,False,25.8,0,25.8,256.7,1049.0
The Preserve,190601951,False,20.5,0,20.5,86.6,346.5
Bwana_11,190601952,False,29.6,0,29.6,98.9,237.0
The Preserve_12,190601953,False,25.6,0,25.6,101.2,289.9
Born Free_13,190601954,False,21.4,0,21.4,113.9,413.2
Cubs Way,190601955,False,16.6,0,16.6,301.2,3113.2
The Preserve_14,190601956,False,21.0,0,21.0,127.4,486.9
Avanti_15,190609322,False,26.1,0,26.1,102.9,308.6
Pickeroon,190609323,False,21.6,0,21.6,159.7,702.8
Berries,190609324,False,21.5,0,21.5,169.4,760.4
Vail Viliage Catwalk,190609325,False,14.4,0,14.4,67.8,541.6
Eagle's Nest Ridge,190609329,False,10.6,0,10.6,189.0,1853.6
Cookshack,190609332,False,27.2,0,27.2,118.5,345.1
Avanti_16,190609334,False,19.8,0,19.8,140.4,763.0
Pickeroon_17,190609336,False,27.5,0,27.5,126.6,382.4
Cold Feet,190609338,False,16.7,0,16.7,44.6,320.2
Columbine,190613827,False,25.4,0,25.4,273.8,1261.5
Old 9 Line,190613828,False,33.1,0,33.1,158.6,428.5
Lodgepole,190613829,False,21.2,0,21.2,370.6,1659.1
Ledges,190613830,False,26.3,0,26.3,146.3,414.0
Minnie's,190613831,False,30.8,0,30.8,170.1,508.0
 _18,191547017,False,8.4,0,8.4,38.4,724.6
Ruder's Run,191547018,False,19.9,0,19.9,305.8,1246.2
Skid Road,191547020,False,10.9,0,10.9,73.1,690.6
Skid Road_19,191547021,False,10.4,0,10.4,53.3,658.3
Prima_20,191547022,False,20.9,0,20.9,101.1,336.7
Compromise,191547023,False,22.4,0,22.4,73.8,285.2
Brisk Walk,191547024,False,11.5,0,11.5,157.4,2102.9
Gopher Hill,191547025,False,13.9,0,13.9,35.2,243.3
Whippersnapper,191547026,False,18.1,0,18.1,60.3,241.1
Golden Peak Terrain Park,191547027,False,22.4,0,22.4,300.8,1243.3
Whippersnapper_21,191547028,False,20.2,0,20.2,171.0,786.7
Ranger Racoon's Escape,191547030,False,21.0,0,21.0,95.3,407.2
Golden Peak Race,191547031,False,28.4,0,28.4,352.4,1468.1
Klickity Klack,191548845,False,26.4,0,26.4,66.0,162.2
Northface Catwalk,191548846,False,14.5,0,14.5,98.2,759.9
Northface Catwalk_22,191548848,False,10.6,0,10.6,76.1,819.1
Trans Montane,191548849,False,7.6,0,7.6,80.8,1247.0
Choker Cut Off,191548850,False,11.4,0,11.4,47.7,493.6
Gitalong Road,191548852,False,13.2,0,13.2,539.4,6282.6
Log Chute,191548855,False,28.8,0,28.8,93.5,225.8
South Rim,191553127,False,33.4,0,33.4,123.1,316.4
Gandy Dancer,191553128,False,29.9,0,29.9,299.9,980.4
Snag Park,191553129,False,27.4,0,27.4,46.1,244.2
Prima Cornice,191553130,False,46.3,0,46.3,245.9,523.8
First Step,191553131,False,31.3,0,31.3,77.8,269.5
Ramshorn,191553132,False,23.9,0,23.9,295.3,1193.2
Northwoods,191553133,False,31.0,0,31.0,232.5,763.5
Northstar,191553134,False,25.7,0,25.7,251.0,1021.5
Snag Park_23,191553135,False,28.7,0,28.7,84.0,449.8
S. Look Ma,191557297,False,27.7,0,27.7,69.3,189.2
Kangaroo Cornice,191557298,False,24.4,0,24.4,65.2,185.3
Look Ma,191557299,False,33.2,0,33.2,95.2,265.9
Powerline Glade,191557301,False,18.2,1,18.2,152.6,647.8
Challenge,191557302,False,33.2,0,33.2,84.7,229.8
The Meadows,191557304,False,19.6,0,19.6,177.8,1196.8
Windows Road,191557306,False,11.8,0,11.8,81.4,776.1
Hunky Dory,191557308,False,17.2,0,17.2,74.5,272.9
Mid Vail Express,191557311,False,22.0,0,22.0,156.1,699.1
The Skipper,191557312,False,33.3,0,33.3,92.1,317.6
Ramshorn_25,191557313,False,16.3,0,16.3,78.0,441.0
Ouzo Glade,191557314,False,17.2,1,17.2,114.2,459.4
Cow's Face,191567781,False,30.2,0,30.2,306.2,772.0
The Slot,191567782,False,25.5,0,25.5,309.0,944.0
Ricky's Ridge,191567783,False,30.2,0,30.2,295.0,779.4
Windows,191567784,False,28.0,0,28.0,264.1,651.8
Sundown Catwalk,191567785,False,16.1,0,16.1,165.9,1016.4
Forever,191567786,False,29.2,0,29.2,514.0,1485.7
