name,id,is_area,difficulty,difficulty_modifier,steepest_pitch,vert,length
Fluke,252758692,False,21.1,0,21.1,89.6,396.0
Jonahs Revenge,252759364,False,24.9,0,24.9,139.6,572.4
Leviathan,252759528,False,15.0,0,15.0,64.3,374.9
Lower Ivory Run,252759634,False,10.0,0,10.0,46.3,447.0
Blubber,252759911,False,14.8,0,14.8,41.9,195.6
Upper Ivory Run,252762250,False,15.3,0,15.3,150.5,1187.1
Davey Jones Locker,252762911,False,16.6,0,16.6,38.2,190.3
Y.O.O.Y.M.,252767182,True,26.9,1,26.9,134.9,393.1
Belly up,252768353,True,16.2,1,16.2,26.0,119.0
Jawbone,252769911,False,25.9,0,25.9,113.9,312.8
The Barnacles,252773799,True,25.0,1,25.0,46.7,156.5
Upper Whaletail,252774645,False,10.3,0,10.3,51.7,436.7
Flipper,252775065,False,16.7,0,16.7,49.0,305.2
Dorsal,252775066,False,18.3,0,18.3,72.1,287.4
Ambergris,252776464,False,22.4,0,22.4,72.6,305.7
Beluga,252776465,True,22.1,1,22.1,42.3,173.1
Fin,252776874,False,15.2,0,15.2,25.1,118.7
Spout,252776875,False,16.6,0,16.6,50.8,277.8
Spout_0,252777669,False,15.0,0,15.0,33.0,163.0
Lower Whaletail,252777795,False,13.4,0,13.4,30.0,203.3
Bouganvillea,252777924,False,22.3,0,22.3,72.7,235.2
Spout_1,252778076,False,18.7,0,18.7,77.6,329.7
Scrimshaw,252778307,False,16.4,0,16.4,80.1,516.1
Harpoon,252778607,True,18.3,1,18.3,30.9,130.5
Rib Cage,252779933,False,11.7,0,11.7,21.6,127.1
Ishmael's Alley,252779934,False,12.8,0,12.8,11.8,83.9
Blow Hole,252782849,False,28.5,0,28.5,155.1,431.7
Whaleback,252782948,False,12.3,0,12.3,40.5,250.4
Upper Face,252783585,False,30.8,0,30.8,104.8,241.5
Lower Face,252783586,False,22.9,0,22.9,51.4,185.0
 _4,654064425,False,1.8,0,1.8,0.5,40.4
 _5,654064426,False,1.9,0,1.9,0.6,55.9
Canyon,654064427,False,13.2,0,13.2,44.6,218.5
 _6,654065692,False,6.0,0,6.0,6.5,180.0
 _7,654065693,False,3.6,0,3.6,3.3,54.0
Kraken,654539995,True,27.0,1,27.0,143.1,356.4
