name,id,is_area,difficulty,difficulty_modifier,steepest_pitch,vert,length
Upper Polecat,250179029,False,18.1,0,18.1,205.2,1360.5
TopCat,250181890,False,16.8,0,16.8,86.4,698.0
Upper Polecat_0,250181891,False,17.2,0,17.2,58.4,325.2
Middle Polecat,250183671,False,17.0,0,17.0,182.7,1222.0
Stray-Cat,250187684,False,17.8,0,17.8,146.0,774.1
Lower-Polecat,250187685,False,17.4,0,17.4,144.8,860.6
Easy Way,250187860,False,13.9,0,13.9,32.9,161.4
Catnap,250189445,False,16.8,0,16.8,93.6,507.2
Upper-Lynx,250192339,False,23.5,0,23.5,167.7,770.3
Lynx Lair,250193394,False,23.9,0,23.9,21.2,83.3
Middle Lynx,250194059,False,29.2,0,29.2,178.9,643.8
Lower Lynx,250194246,False,23.2,0,23.2,188.5,702.0
Tomcat-Schuss,250195197,False,26.1,0,26.1,160.1,448.5
Cat-Walk,250208159,False,14.5,0,14.5,33.5,975.4
Cat-Track,250208160,False,16.9,0,16.9,71.2,497.2
Lynx-Connection,250209915,False,18.9,0,18.9,67.0,319.3
Feline,250210263,False,26.4,0,26.4,103.2,249.7
Alls-Folly,250212229,False,28.8,0,28.8,90.4,281.1
Midway,250212230,False,22.2,0,22.2,63.7,230.2
Hairball,250212233,False,28.6,0,28.6,71.5,167.8
Catenary,250212924,False,22.3,0,22.3,175.4,696.1
Lower-Catenary,250213231,False,24.9,0,24.9,39.5,136.5
Cougar,250213726,False,21.4,0,21.4,144.6,553.2
Annie's Alley,250215139,False,16.7,0,16.7,57.8,379.3
Top-Cat,250216250,False,28.1,0,28.1,222.2,654.3
Starr-Line,250216736,False,32.8,0,32.8,184.3,461.2
Panther,250219132,False,20.9,0,20.9,121.0,458.6
Sphynx,250220608,False,22.2,0,22.2,88.5,295.0
The-Chutes,250220759,False,19.8,0,19.8,17.7,110.2
Lift-Lion,250222751,False,30.6,0,30.6,224.5,670.3
Lift-Lion_1,250222752,False,15.8,0,15.8,21.8,121.7
Upper-Catapult,250223210,False,20.1,0,20.1,238.2,1201.0
Upper-Wildcat,250225442,False,22.8,0,22.8,250.8,959.9
Upper-Wildcat_2,250225646,False,25.3,0,25.3,29.1,107.1
CAt-Catofe,250225889,False,6.9,0,6.9,9.9,215.8
Black-Cat,250226216,False,29.8,0,29.8,182.7,453.1
Alley-Cat,250226468,False,20.4,0,20.4,125.9,507.8
Lower-Catapult,250229835,False,21.7,0,21.7,226.4,825.6
Leos-Leap,250229836,False,22.3,0,22.3,31.6,127.1
Wild-Kitten,250356528,False,17.8,0,17.8,221.7,1668.7
Bobcat,250356986,False,22.1,0,22.1,217.8,807.1
Cheetah,250357385,False,22.4,0,22.4,194.4,700.2
Lower cat track,250357704,False,18.2,0,18.2,56.0,241.2
Lower wild cat,250358022,False,20.2,0,20.2,111.5,479.1
Wildcat Pitch,250360320,False,25.8,0,25.8,48.9,147.5
Snowcat trail,250360321,False,12.4,0,12.4,17.9,142.4
Snowcat Slope,250361493,False,13.3,0,13.3,52.0,286.5
Middle Catapult,250363260,False,24.8,0,24.8,105.6,314.5
Middle wildcat,250372569,False,24.4,0,24.4,109.5,416.4
Tree Skiing,250372570,True,18.6,1,18.6,152.9,771.2
Tree Skiing_3,250374751,True,31.1,1,31.1,186.1,643.7
Hainesville Pass,250375604,False,16.1,0,16.1,39.2,213.4
Tree Skiing_4,250376208,True,22.2,1,22.2,116.9,430.9
Tree Skiing_5,250382878,True,25.8,1,25.8,93.8,288.3
Tree Skiing_6,250402292,True,22.3,1,22.3,134.2,483.2
Tree Skiing_7,250413902,True,17.7,1,17.7,14.6,60.6
Tree Skiing_8,250415371,True,13.0,1,13.0,41.2,237.2
