name,id,is_area,difficulty,difficulty_modifier,steepest_pitch,vert,length
Wanderer,256162948,False,17.1,0,17.1,322.8,2203.6
Why Not,256163197,False,23.8,0,23.8,271.4,943.1
Wing'n It,256163561,False,27.1,0,27.1,265.3,831.3
Wigeon,256163648,False,8.9,0,8.9,13.5,105.4
Wicked,256163849,False,30.1,0,30.1,248.2,806.7
World Cup,256164040,False,29.5,0,29.5,236.8,846.3
Upper Wraparound,256165253,False,21.0,0,21.0,167.2,972.2
The Wall,256167376,False,21.1,0,21.1,38.0,112.0
Whistler Chute,256167491,False,16.3,0,16.3,15.2,66.6
Warpath Chute,256167796,False,18.3,0,18.3,23.0,99.0
Waltz,256167820,False,11.1,0,11.1,14.9,129.0
Wizard,256167965,False,18.8,0,18.8,32.7,172.6
Wrangler,256168364,False,11.7,0,11.7,16.7,90.8
Upper Warpath,256169168,False,26.3,0,26.3,106.8,316.3
Upper Whistler,256169368,False,22.7,0,22.7,106.7,325.1
Upper Wiseacres,256169456,False,19.8,0,19.8,42.8,163.5
Upper Whirlwind,256169516,False,24.7,0,24.7,158.0,581.2
Upper Wolverine,256172511,False,29.5,0,29.5,178.2,409.0
Old Wolverine,256172701,False,25.2,0,25.2,129.1,406.6
Upper Wheelchair,256174300,False,29.7,0,29.7,91.2,200.4
Wedel,256174813,False,29.6,0,29.6,177.1,773.6
Warm Up Road,256174874,False,15.9,0,15.9,22.6,354.9
Wall Street,256175180,False,16.1,0,16.1,76.1,604.8
Lower Wraparound,256177052,False,16.8,0,16.8,236.3,1403.1
Way To Go,256177190,False,14.1,0,14.1,68.5,469.6
Wapeka,256177261,False,16.7,0,16.7,44.0,196.8
Where's Charlie,256177307,False,10.2,0,10.2,7.5,160.5
Whiskey Jack,256177479,False,16.3,0,16.3,113.9,549.7
Lower Warpath Park,256177719,False,18.0,0,18.0,119.7,538.9
Lower Wiseacres,256177843,False,21.6,0,21.6,200.1,874.4
Lower Whistler,256177930,False,31.8,0,31.8,190.1,798.3
Mini Wall Bypass,256178146,False,13.7,0,13.7,27.7,126.2
Lower Wolverine,256178569,False,27.4,0,27.4,139.2,588.3
Lower Wheelchair,256179171,False,25.0,0,25.0,230.2,902.6
Warm Up Park,256180267,False,20.2,0,20.2,168.0,755.7
Upper Wall ST,256180552,False,15.2,0,15.2,21.9,172.6
Assembly Line,256180631,False,19.6,0,19.6,132.4,584.2
Wonderama,256180940,False,17.4,0,17.4,203.0,1030.6
Lower Wipeout,256181251,False,14.3,0,14.3,130.9,772.4
White Way,256182386,False,13.4,0,13.4,118.2,881.9
What's Next?,256182560,False,13.2,0,13.2,107.1,674.8
Wilbur Park,256182634,False,18.4,0,18.4,69.0,312.0
Mosie's Way,256182774,False,3.2,0,3.2,2.1,42.7
Willpower,256182822,False,8.2,0,8.2,11.5,111.1
Windfall,256183451,False,27.2,0,27.2,204.4,1253.7
