name,id,is_area,difficulty,difficulty_modifier,steepest_pitch,vert,length
Parsenn Road,17058977,False,16.3,0,16.3,364.6,4859.1
Trestle,86180660,False,24.4,0,24.4,271.2,1072.1
Lower Arrowhead Loop,107391897,False,24.0,0,24.0,287.2,1026.5
 _0,107391900,False,6.3,0,6.3,11.1,340.5
Village Way,107391903,False,11.9,0,11.9,165.4,1574.3
Mary Jane,107391912,False,21.2,0,21.2,390.8,1573.9
OutRigger Trail,107391916,False,27.4,0,27.4,220.3,619.6
Dormouse,107391918,False,4.2,0,4.2,3.4,50.6
Village Way_1,107391923,False,14.2,0,14.2,202.5,2120.9
Hobo Alley,107391933,False,13.8,0,13.8,84.1,494.2
Quick Getaway,107391936,False,18.7,0,18.7,70.8,331.5
Whistlestop,107391938,False,11.0,0,11.0,87.8,677.3
Cranmer,107391940,False,21.5,0,21.5,358.4,1560.1
 _2,107391946,False,10.2,0,10.2,37.2,343.1
Lonesome Whistle,107391948,False,10.6,0,10.6,74.6,553.9
Retta's Run,107391950,False,29.0,0,29.0,273.9,802.1
 _3,107391952,False,20.9,0,20.9,50.7,255.9
Outhouse,107391954,False,29.7,0,29.7,279.3,828.0
Lower Parkway,107391957,False,15.8,0,15.8,77.0,527.2
Dormouse_4,107391959,False,9.9,0,9.9,46.9,471.9
Cramer,107391961,False,6.0,0,6.0,9.8,156.5
March Hare,107391968,False,15.9,0,15.9,148.4,796.6
Dormouse_5,107391970,False,16.3,0,16.3,56.5,374.5
Phantom Bridge,216500110,False,25.0,0,25.0,181.2,475.9
Derailer Upper,216500111,False,22.9,0,22.9,97.4,402.5
Railbender,216500112,False,28.3,0,28.3,362.2,1029.3
Runaway,216500113,False,30.9,0,30.9,159.0,437.6
Needles Eye,216502446,False,30.4,0,30.4,179.5,468.3
Short Haul,216502447,False,27.8,0,27.8,124.3,303.0
Long Haul,216502449,False,27.3,0,27.3,200.1,494.6
Chutes,216502450,False,28.7,0,28.7,80.1,209.7
Derailer Upper_6,216502452,False,25.8,0,25.8,101.7,390.7
Cannonball,216502453,False,27.1,0,27.1,224.7,560.0
Derailer lower,216502454,False,28.8,0,28.8,219.7,645.9
Corona Way,216503101,False,26.1,0,26.1,219.8,2203.2
Coupler,216503102,False,31.9,0,31.9,155.1,404.0
Boiler,216503103,False,32.1,0,32.1,165.7,437.6
Brakeman,216503722,False,28.5,0,28.5,146.7,386.6
Sleeper,216503723,False,26.5,0,26.5,432.6,1515.8
Little Ten,216503724,False,24.4,1,24.4,102.3,296.8
Belmar Bowl,216509673,False,27.1,1,27.1,68.4,189.1
Columbine Lower,216509674,False,31.9,0,31.9,114.4,348.5
Roundhouse,216509675,False,22.1,0,22.1,152.0,637.5
Roundhouse Upper,216509676,False,19.5,0,19.5,90.4,536.4
Runaway_7,216509677,False,21.1,0,21.1,58.8,192.5
Trestle_8,216509678,False,16.9,0,16.9,48.2,210.4
Rollins Ridge,216509679,False,14.7,1,14.7,64.4,523.1
Sidetrack,216509680,False,27.7,0,27.7,96.8,391.5
Sleepy Hollow,216509681,False,25.2,0,25.2,131.5,498.0
Columbine,216509682,False,14.8,0,14.8,37.4,254.5
Bluebell,216509683,False,20.3,0,20.3,271.8,1347.9
Edelweiss,216511172,False,24.6,0,24.6,257.0,1728.5
Wildwood Glade,216511174,False,23.0,1,23.0,149.7,590.9
Primrose,216511175,False,30.8,0,30.8,75.2,415.4
Village Way_9,216511176,False,14.4,0,14.4,298.7,2150.1
Lupin,216511177,False,34.1,0,34.1,152.6,611.2
Olympia Spur,377599446,False,19.2,0,19.2,153.6,632.6
Moose Wallow,377599449,False,15.3,0,15.3,60.5,623.8
Upper Parkway,377599453,False,11.7,0,11.7,38.2,247.1
Bill Wilson's Way,377599455,False,9.5,0,9.5,34.3,323.0
Aces and Eights,377599456,False,27.9,0,27.9,121.6,315.7
Allan Phipps,377599457,False,20.0,0,20.0,175.1,949.1
Ambush,377599458,False,27.4,0,27.4,118.9,477.1
Balch,377599459,False,27.9,0,27.9,280.9,795.7
Big Valley,377599460,False,14.3,0,14.3,125.6,1343.3
Bradley's Bash,377599461,False,28.9,0,28.9,316.4,939.0
Buckaroo,377599462,False,21.5,0,21.5,154.8,1069.7
Butch's Breezeway,377599463,False,21.3,0,21.3,195.9,945.2
Chuck Wagon,377599464,False,25.2,0,25.2,54.0,157.9
Drunken Frenchman,377599466,False,29.9,0,29.9,247.1,684.5
Engeldive,377599467,False,28.6,0,28.6,172.9,627.0
Feebleminded,377599468,False,20.1,1,20.1,105.0,432.1
Gambler,377599469,False,23.4,0,23.4,171.4,555.8
Gandy Dancer,377599470,False,27.5,0,27.5,217.4,675.5
Golden Spike,377599471,False,28.0,0,28.0,220.4,571.7
Gunbarrel,377599472,False,10.9,0,10.9,68.5,780.0
Hughes,377599473,False,27.6,0,27.6,337.7,1134.1
Jack Kendrick,377599476,False,16.1,0,16.1,211.8,1370.0
Larry Sale,377599477,False,22.0,0,22.0,171.9,755.1
Little Pierre,377599478,False,29.3,0,29.3,188.7,493.1
Lonesome Whistle_10,377599479,False,17.4,0,17.4,197.2,1392.3
Lower Egress,377599480,False,17.1,0,17.1,115.4,1209.1
Lower Hughes,377599481,False,25.0,0,25.0,178.8,686.1
Mulligan's Mile,377599483,False,30.9,0,30.9,171.5,435.6
Over'N'Underwood,377599485,False,30.5,0,30.5,157.0,480.3
Pioneer Express Trail,377599487,False,20.7,0,20.7,153.0,594.9
Pioneer Express Trail_11,377599489,False,19.8,0,19.8,72.8,352.9
Quickdraw,377599491,False,18.9,0,18.9,151.6,684.1
Rainbow Cut,377599494,False,26.5,0,26.5,301.4,1005.3
Riflesight Notch,377599499,False,31.7,0,31.7,252.9,685.8
Shoo Fly,377599500,False,11.1,0,11.1,42.5,502.0
Shootout,377599501,False,18.7,0,18.7,122.4,513.8
Ski Papa,377599502,False,10.7,0,10.7,30.4,383.2
Stagecoach,377599503,False,25.4,0,25.4,183.9,619.6
Sterling Way,377599504,False,28.2,1,28.2,226.4,622.6
Sundance,377599505,False,21.7,0,21.7,249.1,984.7
The Siding,377599506,False,10.8,0,10.8,41.4,441.7
Thunderbird,377599507,False,24.8,0,24.8,307.3,995.9
Upper Arrowhead Loop,377599508,False,31.2,0,31.2,116.6,350.3
Wagon Train,377599509,False,15.5,0,15.5,69.1,884.9
Fireberry Glade,410142405,False,21.5,1,21.5,183.8,817.5
Sky Pilot,410142407,False,20.1,0,20.1,226.1,972.9
Larkspur,410142409,False,25.3,0,25.3,255.0,814.1
Forget-Me-Not,410142411,False,23.6,0,23.6,319.7,1252.4
Juniper,410142413,False,19.1,0,19.1,143.1,615.2
Parry's Peek,410142416,False,22.8,0,22.8,476.2,2328.2
Parry's Peek_12,410142419,False,15.3,0,15.3,61.6,337.9
Forever Eva,410142421,False,23.6,0,23.6,201.0,779.3
Forever Eva_13,410142423,False,22.7,0,22.7,131.5,432.1
Johnstone Junction,410142425,False,21.2,1,21.2,158.0,522.4
Kinnikinic,410142427,False,18.8,1,18.8,167.1,680.9
Willett's Way,410142430,False,19.6,1,19.6,167.5,610.9
Calypso,410142432,False,16.7,1,16.7,162.0,760.6
Paintbrush,410142434,False,21.7,0,21.7,190.6,815.8
