name,id,is_area,difficulty,difficulty_modifier,steepest_pitch,vert,length
 _0,392511924,False,7.6,0,7.6,14.8,208.5
 _1,392511926,False,4.7,0,4.7,5.2,149.2
Buttermilk,392511927,False,12.3,0,12.3,23.1,290.8
Cascade,392511928,False,16.9,0,16.9,43.3,262.9
Compromise,392511929,False,11.9,0,11.9,44.8,370.9
Country Roads,392511930,False,13.7,0,13.7,49.0,724.6
Drop Off,392511931,False,24.0,0,24.0,76.8,283.7
Highland Run,392511933,False,13.4,0,13.4,48.9,380.4
Last Chance,392511934,False,11.2,0,11.2,29.5,263.1
Last Run,392511935,False,9.7,0,9.7,37.6,396.1
Look at Me!,392511936,False,20.3,0,20.3,76.6,296.8
Meadows,392511937,False,8.1,0,8.1,29.4,324.9
Milkshake,392511938,False,17.4,0,17.4,67.1,454.2
Nose Dive,392511939,False,26.2,0,26.2,107.6,326.5
Panorama Glades,392511940,False,14.5,1,14.5,48.5,465.0
Plunge,392511941,False,24.1,0,24.1,108.3,362.6
Powder Bowl,392511942,False,21.5,0,21.5,85.9,348.8
Rendezvous Too,392511943,False,12.7,0,12.7,46.7,315.5
Rendezvous,392511944,False,20.5,0,20.5,32.4,139.6
Ridge Runner,392511945,False,13.7,0,13.7,58.0,512.6
Turkey Chute,392511946,False,25.1,0,25.1,93.0,268.5
Wood's Run,392511947,False,14.9,0,14.9,119.9,1022.6
