name,id,is_area,difficulty,difficulty_modifier,steepest_pitch,vert,length
Lower Streak,48452711,False,18.4,0,18.4,68.8,298.6
Broadway,48452713,False,11.7,0,11.7,66.8,520.8
Ridge Runner,48452714,False,2.7,0,2.7,1.6,10.9
Viewfinder (Upper),48452717,False,17.7,0,17.7,49.6,199.3
Midway,48452719,False,18.9,0,18.9,25.7,123.1
Upper Streak,48452720,False,25.6,0,25.6,34.1,98.3
Timber Wolf,48525699,False,19.8,0,19.8,64.1,264.8
 _0,48525701,False,12.7,0,12.7,17.8,242.0
The Howling,48525702,False,14.1,0,14.1,44.5,258.1
The Bowl,48525704,False,30.7,0,30.7,107.5,277.4
Southern Express,48525706,False,20.3,0,20.3,77.3,264.2
Way Out,48554925,False,14.0,0,14.0,39.0,189.2
Viewfinder (Upper)_1,50013437,False,17.6,0,17.6,13.8,72.4
Powder Hill,50013442,False,22.3,0,22.3,61.2,282.1
Whistling Dixie,50013445,False,19.1,0,19.1,42.1,158.5
Broadway_2,50013450,False,6.2,0,6.2,6.3,76.3
Eagle,93135076,False,12.4,0,12.4,28.9,268.4
Ski Tunnel,93135080,False,6.2,0,6.2,3.7,22.8
Ridge Runner_3,93135082,False,3.3,0,3.3,2.6,29.8
Upper Nature View,93135085,False,18.8,0,18.8,60.9,274.8
Side Step,93135087,False,12.9,0,12.9,28.3,156.5
Lower Nature View,93135088,False,13.6,0,13.6,30.3,173.3
Viewfinder (Lower),93135093,False,16.1,0,16.1,17.6,80.2
Nature Cub,93135098,False,8.9,0,8.9,16.2,146.3
Turning Point,93135101,False,6.1,0,6.1,4.6,63.6
Ridge Runner_4,256773248,False,12.3,0,12.3,22.1,295.2
